DropletID,isElipse,CenterX,CenterY,Diameter,OverlappedDropletsID
1,True,1291,275,6,[]
2,True,1632,104,24,[]
3,True,110,173,12,"[421, 700]"
4,True,1305,230,14,[]
5,True,920,126,12,[]
6,True,70,335,10,[]
7,True,1027,237,14,[]
8,True,916,564,4,[]
9,True,1188,294,8,[674]
10,True,878,507,10,[]
11,True,216,567,16,[]
12,True,742,567,20,[451]
13,True,740,495,6,[]
14,True,291,367,16,[634]
15,True,226,447,8,[]
16,True,673,453,4,[]
17,True,1462,500,8,[707]
18,True,1009,528,8,[]
19,True,472,132,12,[]
20,True,1148,372,14,[]
21,True,1298,540,24,[]
22,True,160,564,10,[]
23,True,168,167,6,[561]
24,True,1172,450,12,[]
25,True,958,143,10,[]
26,True,1526,417,22,[]
27,True,1332,489,12,[]
28,True,1584,465,20,[]
29,True,900,141,10,[643]
30,True,516,401,14,[]
31,True,1018,409,24,[]
32,True,1678,384,18,[]
33,True,733,352,16,[415]
34,True,1183,13,12,[]
35,True,1511,56,4,[]
36,True,265,52,8,[]
37,True,1344,511,16,[119]
38,True,326,81,18,[]
39,True,1356,178,12,[356]
40,True,17,125,26,[]
41,True,1361,567,8,[511]
42,True,1426,293,12,"[112, 454]"
43,True,1645,334,14,[]
44,True,155,463,14,[]
45,True,65,348,16,[89]
46,True,1436,230,20,[417]
47,True,890,42,10,[]
48,True,359,266,18,[]
49,True,1516,28,24,[]
50,True,168,141,20,"[133, 285, 610]"
51,True,476,248,24,[]
52,True,1593,450,2,[170]
53,True,894,26,10,[]
54,True,1453,160,12,[]
55,True,1074,470,8,[]
56,True,538,89,20,"[83, 157]"
57,True,814,588,16,[]
58,True,587,189,22,[]
59,True,1243,238,10,[481]
60,True,1221,216,18,"[388, 466]"
61,True,1372,364,8,[]
62,True,1473,323,18,[84]
63,True,404,281,10,[]
64,True,284,496,26,[]
65,True,1030,331,10,[]
66,True,73,504,24,[463]
67,True,1158,100,16,[]
68,True,688,335,20,[]
69,True,214,123,32,[243]
70,True,1338,307,18,[662]
71,True,848,388,6,[]
72,True,789,7,12,[]
73,True,175,221,14,[]
74,True,216,71,18,[565]
75,True,1294,21,4,[]
76,True,1629,143,6,[]
77,True,1323,82,16,[]
78,True,712,36,22,[449]
79,True,143,102,14,[]
80,True,1032,13,8,[]
81,True,638,10,14,[]
82,True,1731,25,8,[]
83,True,531,101,10,[56]
84,True,1482,316,12,[62]
85,True,1683,84,10,[]
86,True,1711,354,24,"[107, 146]"
87,True,1180,419,8,[]
88,True,806,471,16,[315]
89,True,77,353,16,"[45, 101, 594]"
90,True,1473,300,22,[186]
91,True,410,18,18,[]
92,True,506,174,6,[]
93,True,1118,312,14,[213]
94,True,877,560,18,[]
95,True,765,450,10,[]
96,True,660,35,20,[]
97,True,753,270,8,[]
98,True,390,132,16,[506]
99,True,498,404,18,[]
100,True,428,449,14,[]
101,True,65,365,18,"[89, 503]"
102,True,1547,56,18,[]
103,True,1130,91,24,"[196, 684]"
104,True,955,38,6,[]
105,True,66,300,12,[]
106,True,1269,378,18,[]
107,True,1715,344,28,[86]
108,True,347,319,16,"[378, 719]"
109,True,1544,430,18,[]
110,True,542,317,12,[351]
111,True,204,458,26,[257]
112,True,1426,301,8,[42]
113,True,964,136,8,[596]
114,True,1355,143,6,[]
115,True,1194,34,14,[]
116,True,18,507,6,[]
117,True,1272,316,26,[563]
118,True,1167,558,12,[]
119,True,1346,499,16,[37]
120,True,1665,404,14,[560]
121,True,1261,65,22,[369]
122,True,703,122,24,[]
123,True,902,286,12,[318]
124,True,1430,181,14,[]
125,True,1513,483,6,[]
126,True,582,65,12,[]
127,True,478,214,20,[604]
128,True,1371,156,20,[342]
129,True,1375,588,6,[]
130,True,1514,126,16,[]
131,True,1581,41,20,[]
132,True,728,192,16,[]
133,True,159,137,18,"[50, 610]"
134,True,1192,386,22,[513]
135,True,847,112,14,[]
136,True,1278,453,12,[715]
137,True,1210,388,10,[]
138,True,710,330,14,[]
139,True,967,28,20,"[222, 617]"
140,True,733,302,12,[]
141,True,979,370,6,[]
142,True,168,52,22,"[150, 583]"
143,True,51,329,12,[]
144,True,1413,183,20,[]
145,True,931,460,26,[]
146,True,1709,365,8,[86]
147,True,199,78,14,[]
148,True,1079,303,22,[468]
149,True,267,392,6,[]
150,True,175,63,18,"[142, 583]"
151,True,1500,239,22,[]
152,True,581,513,20,[]
153,True,626,452,12,[729]
154,True,1269,25,10,[]
155,True,332,522,30,[246]
156,True,176,107,28,[525]
157,True,545,74,26,[56]
158,True,1541,279,6,[]
159,True,816,313,14,[489]
160,True,619,26,16,[]
161,True,635,94,6,[]
162,True,573,421,24,[]
163,True,321,131,20,[711]
164,True,1441,569,20,[413]
165,True,1454,122,14,[]
166,True,1709,176,10,[]
167,True,21,97,10,[]
168,True,1372,108,14,[]
169,True,1664,374,8,[]
170,True,1592,448,10,[52]
171,True,1573,190,16,[]
172,True,1404,569,16,[]
173,True,1662,420,6,[560]
174,True,166,501,20,[]
175,True,1532,209,6,[]
176,True,769,514,22,"[620, 667]"
177,True,957,227,12,[]
178,True,1429,255,18,"[417, 638]"
179,True,248,203,18,[330]
180,True,1581,62,16,[]
181,True,929,511,16,[]
182,True,1556,179,24,[]
183,True,746,139,8,[]
184,True,546,588,8,[]
185,True,75,441,8,[]
186,True,1471,284,16,"[90, 475]"
187,True,409,362,12,[432]
188,True,1720,244,18,[]
189,True,910,273,18,[318]
190,True,741,331,6,[]
191,True,247,233,4,[]
192,True,17,419,14,[]
193,True,103,365,6,[]
194,True,750,581,12,[]
195,True,364,333,6,[]
196,True,1122,84,20,"[103, 684]"
197,True,365,177,10,[]
198,True,1144,425,16,[308]
199,True,139,59,18,[]
200,True,698,65,14,[]
201,True,68,16,10,[553]
202,True,1149,64,24,[]
203,True,1537,343,10,[]
204,True,261,570,12,[]
205,True,1099,381,10,[]
206,True,1586,9,12,[333]
207,True,828,452,16,[]
208,True,781,123,24,[]
209,True,289,131,10,[]
210,True,662,17,12,[]
211,True,467,8,8,[]
212,True,1740,136,4,[]
213,True,1114,312,12,[93]
214,True,674,364,6,[]
215,True,1255,126,16,[]
216,True,156,292,24,[]
217,True,1326,521,18,[]
218,True,1351,86,10,[]
219,True,86,34,6,[]
220,True,1441,206,12,[]
221,True,523,521,12,[242]
222,True,960,23,18,[139]
223,True,1678,457,10,[379]
224,True,644,44,12,[]
