DropletID,CenterX,CenterY,Area,OverlappedDropletsID
1,2,50,4,[]
2,4,102,7,[]
3,4,431,14,[]
4,5,15,10,[5]
5,5,18,10,[4]
6,5,184,17,[]
7,7,353,11,[]
8,9,37,20,[]
9,10,87,11,[]
10,10,268,10,[]
11,11,244,19,[]
12,12,309,19,[14]
13,14,169,8,[]
14,14,308,22,[12]
15,15,1,17,[]
16,17,160,13,[]
17,18,397,16,[]
18,19,424,17,"[19, 23]"
19,19,432,11,[18]
20,21,277,19,[]
21,24,118,9,[]
22,25,146,22,[29]
23,25,421,14,[18]
24,27,31,6,[28]
25,27,85,18,"[34, 38]"
26,27,177,21,[37]
27,27,241,12,[]
28,28,24,26,[24]
29,28,140,8,[22]
30,28,434,12,[36]
31,29,222,9,[40]
32,29,253,11,[]
33,29,458,7,[]
34,30,78,9,[25]
35,30,299,18,[]
36,30,434,18,[30]
37,31,177,11,[26]
38,33,89,13,"[45, 25]"
39,33,414,12,[]
40,34,224,13,[31]
41,34,448,10,[]
42,35,306,6,[]
43,35,344,10,[]
44,36,286,14,[]
45,38,95,14,[38]
46,38,160,9,[]
47,41,111,16,[52]
48,42,337,10,[]
49,43,56,16,"[51, 56]"
50,44,43,17,"[56, 64]"
51,44,55,16,"[49, 56]"
52,44,107,12,[47]
53,44,359,18,"[59, 69]"
54,45,299,19,[]
55,45,313,16,[]
56,46,53,14,"[49, 50, 51]"
57,48,158,17,[]
58,49,215,12,[]
59,49,356,24,"[53, 69]"
60,49,462,18,[]
61,50,135,16,[]
62,51,435,20,[]
63,54,446,10,[]
64,55,42,13,[50]
65,55,168,12,[74]
66,55,376,15,[70]
67,56,79,13,[76]
68,57,316,16,[]
69,57,359,18,"[53, 59]"
70,57,383,20,"[66, 86]"
71,58,152,15,[]
72,58,292,17,[]
73,60,32,12,[84]
74,60,173,23,[65]
75,61,14,10,[]
76,61,73,9,[67]
77,62,369,12,[80]
78,64,93,14,[85]
79,64,107,12,[]
