DropletID,CenterX,CenterY,Area,OverlappedDropletsID,Size
1,0,625,151.5,[3],20
2,1,481,68.0,[],12
3,2,635,189.5,[1],22
4,2,665,78.0,[],14
5,3,535,169.0,[],20
6,5,471,83.5,[10],14
7,5,682,74.0,[],12
8,6,383,155.5,[],19
9,12,202,140.0,[],19
10,13,470,125.5,[6],17
11,15,101,33.0,[],8
12,15,216,129.5,[],17
13,15,444,154.0,[],19
14,16,37,109.0,[],16
15,16,305,91.5,[],15
16,17,518,97.5,[24],15
17,17,592,123.5,[],17
18,19,84,158.0,[],20
19,19,662,114.0,[],17
20,21,689,112.5,[],16
21,22,382,55.0,[],12
22,24,59,95.0,[],15
23,24,110,86.5,[27],14
24,24,520,132.5,[16],18
25,24,560,65.0,[],12
26,25,548,157.5,[],20
27,32,104,89.5,[23],15
28,32,257,103.5,[],16
29,34,608,132.0,[],18
30,35,429,162.0,[],20
31,35,623,118.5,[37],19
32,36,349,119.5,[],18
33,36,467,86.0,[],15
34,37,713,67.0,[],14
35,40,320,67.0,[],14
36,41,119,158.0,[],20
37,41,626,83.0,[31],14
38,42,393,69.5,[40],14
39,42,594,142.5,[],19
40,43,399,89.5,[38],16
41,44,224,70.5,[],13
42,44,521,108.5,[],16
43,45,147,116.0,[],17
44,46,707,126.5,[],19
45,49,658,80.0,[],15
46,52,484,92.0,[],16
47,52,506,75.5,[54],14
48,52,578,136.5,[],19
49,53,308,95.5,[],15
50,54,434,130.0,[53],18
51,55,134,114.5,[],17
52,56,276,123.0,[],18
53,57,431,56.0,"[50, 56]",12
54,58,502,116.5,[47],17
55,61,285,48.0,[],12
56,61,425,82.5,[53],14
57,61,515,91.5,[],15
58,62,20,130.0,[68],18
59,63,448,106.0,[],16
60,64,65,78.5,[],14
61,64,383,137.0,[71],18
62,64,667,140.0,[],19
63,65,53,80.5,[69],15
64,65,599,93.0,[],16
65,66,153,71.0,[],13
66,66,464,151.5,[],19
67,67,696,100.5,[],16
68,71,15,115.0,[58],17
69,72,55,129.0,[63],18
70,72,107,94.0,[],16
71,73,386,106.0,"[61, 81]",16
72,75,40,131.0,[],18
73,75,506,90.5,[],15
74,75,670,57.5,[],12
75,77,428,71.5,[],13
76,77,589,129.0,[],18
77,79,691,38.5,[],10
78,81,257,68.5,[],13
79,81,331,125.5,[],18
80,82,218,88.5,[],14
81,82,380,154.5,[71],19
82,84,167,138.0,[],19
83,85,350,74.5,[],14
84,85,410,126.0,[],17
85,86,467,90.5,[92],14
86,87,113,88.0,[],14
87,88,683,118.5,"[89, 93]",17
88,89,147,182.0,[97],20
89,89,692,96.0,"[87, 93]",16
90,90,18,68.5,[],13
91,90,268,113.5,[],16
92,93,463,83.5,[85],14
93,93,686,57.0,"[87, 89]",12
94,95,289,133.0,[],17
95,97,568,133.0,[],19
96,97,703,153.5,[103],19
97,101,151,67.5,[88],14
98,101,362,122.5,[],18
99,103,206,82.5,[],14
100,106,65,99.5,[],16
101,109,9,81.0,[],14
102,109,398,50.5,[],12
103,109,701,131.5,"[96, 108]",18
104,110,94,51.0,[],11
105,111,180,92.0,[],15
106,111,643,78.0,[],13
107,112,528,93.5,[110],15
108,113,698,192.5,[103],22
109,117,272,99.0,[],16
110,117,521,126.0,[107],17
111,120,427,159.5,[],20
112,121,342,125.5,[],18
113,125,260,112.5,[],16
114,125,697,76.0,[],14
115,126,198,81.0,[],14
116,127,217,113.0,[],16
117,132,509,159.0,[],20
118,134,35,100.0,"[120, 127]",16
119,136,131,89.0,[],15
120,137,43,56.5,"[118, 127]",12
121,139,111,72.5,[],13
122,139,267,103.0,[],16
123,140,159,178.5,[],21
124,140,634,90.5,[],14
125,142,199,68.5,[],13
126,142,494,151.5,[],20
