DropletID,CenterX,CenterY,Area,OverlappedDropletsID,Size
1,2,92,210.0,[],24
2,2,124,207.5,[],22
3,3,904,23.0,[],7
4,5,14,194.0,[],23
5,12,808,195.5,[],22
6,16,403,161.5,[7],20
7,22,406,91.0,[6],15
8,27,507,237.0,"[9, 13]",25
9,30,508,99.5,[8],16
10,32,363,166.0,[],21
11,35,207,162.5,[],20
12,35,697,119.0,[],18
13,36,495,158.0,[8],19
14,39,158,205.0,[],23
15,39,421,126.0,[17],19
16,40,675,247.5,[],24
17,43,413,177.5,[15],22
18,44,129,127.5,[],18
19,50,180,111.0,[],16
20,54,717,228.0,[],24
21,54,906,199.0,[],22
22,61,620,91.0,[],15
23,62,454,98.5,[],17
24,62,834,270.0,[],26
25,66,313,193.0,[],22
26,69,199,131.0,[],18
27,71,757,172.5,[],20
28,73,333,180.5,[],21
29,76,793,235.5,[],25
30,88,59,121.5,[],17
31,93,314,224.5,[],24
32,93,730,126.5,[],18
33,94,104,54.0,[],12
34,94,275,293.0,[],28
35,95,130,81.5,[],14
36,96,152,170.5,[],21
37,100,872,123.0,[],18
38,102,69,137.5,[],20
39,103,18,78.0,[],14
40,106,697,31.5,[],9
41,109,630,56.0,[44],12
42,111,39,188.0,[],21
43,111,414,92.5,[],15
44,112,633,215.0,[41],23
45,120,318,131.0,[],18
46,120,855,103.0,[],16
47,121,243,120.0,[],18
48,126,635,112.5,[],17
49,130,4,204.5,[],23
50,131,43,8.0,[],4
51,133,378,215.0,[],23
52,134,855,149.0,[],19
53,139,108,188.5,[55],22
54,140,189,201.0,[],23
55,143,102,54.5,[53],11
56,143,215,77.5,[],14
57,144,680,100.0,[],16
58,146,424,174.0,[62],21
59,146,577,110.5,[60],17
60,150,580,161.0,[59],20
61,151,223,85.5,[],14
62,155,433,202.0,[58],23
63,160,317,290.5,[],27
64,161,799,110.0,[],17
65,163,160,130.5,[],18
66,166,385,133.5,[],19
67,166,815,175.0,[],21
68,169,224,137.0,[],18
69,171,851,167.5,[],20
70,172,692,156.0,[],19
71,173,732,93.5,[],15
72,175,429,200.0,[81],23
73,178,238,238.0,[],26
74,180,521,85.5,[77],15
75,183,23,239.0,[],22
76,185,682,192.5,[82],22
77,186,522,180.5,[74],22
78,187,485,137.0,[],18
79,187,767,200.0,[],23
80,187,899,150.5,[],19
81,189,422,339.0,[72],30
82,190,681,138.0,[76],18
83,195,239,50.5,[],11
84,196,736,220.5,[],23
85,197,540,280.5,[],28
86,199,561,71.0,[],12
87,201,149,181.5,[],21
88,201,276,104.0,[95],17
89,206,55,122.5,[],19
90,207,622,74.0,[],14
91,208,396,240.0,[],24
92,208,863,99.0,[],15
93,210,9,82.0,[97],14
94,211,890,54.0,[],11
95,212,268,219.5,[88],23
96,220,804,210.0,[],22
97,222,7,185.0,[93],21
98,225,492,101.0,[],15
99,227,510,116.5,[],18
100,228,194,89.0,[],15
101,229,159,220.0,[],24
102,230,529,152.5,[106],19
103,232,78,147.5,"[104, 111]",19
104,234,89,198.5,[103],22
105,234,868,191.0,[],22
106,235,529,221.5,[102],22
107,236,824,205.0,[],24
108,239,707,188.5,[],21
109,242,505,121.5,[],18
110,242,907,54.5,[],12
111,243,75,101.5,[103],15
112,250,152,276.0,[],27
113,253,896,217.5,[],24
114,256,334,204.0,[],24
115,259,212,71.5,[],13
116,259,399,143.0,[],20
117,261,701,125.5,[],18
118,266,623,104.5,[],17
119,268,587,146.0,[127],20
120,269,278,44.0,[121],10
121,271,282,67.5,[120],14
122,275,13,79.0,[],14
123,275,380,86.0,[],14
124,277,72,95.5,[],16
125,279,254,109.5,[],17
126,279,319,237.0,[],24
127,280,597,203.0,[119],22
128,282,421,118.0,[135],16
129,284,140,93.0,[],16
130,284,717,68.5,[],14
131,285,393,197.0,[135],23
132,285,618,119.0,[137],17
133,286,408,92.5,[135],15
134,288,685,75.0,[],13
135,289,409,291.5,"[128, 131, 133]",26
136,298,30,207.0,"[140, 146]",24
137,298,619,222.0,[132],24
138,299,276,187.5,[],23
139,300,231,151.5,[],19
140,301,40,186.5,[136],21
141,301,354,43.0,[],10
142,301,678,96.0,[],15
143,302,584,195.5,[],23
144,302,854,82.5,[],14
145,303,775,185.5,[],21
146,305,23,225.5,[136],25
147,310,93,126.0,[],17
148,315,828,211.0,[],23
149,317,220,214.5,[],23
150,318,645,223.0,[],25
151,325,862,168.5,[],21
152,326,492,182.5,[153],21
153,327,489,224.0,[152],25
154,334,14,131.5,[],19
155,338,753,67.0,[163],13
156,339,167,186.0,[],21
157,341,16,218.5,[164],24
158,341,183,59.5,[],12
159,341,242,159.0,[],20
160,342,682,184.5,[],22
161,343,721,265.5,[],25
162,343,857,139.0,[],19
163,344,757,220.5,[155],25
164,345,22,143.0,[157],19
165,348,440,84.0,[166],15
166,351,438,109.5,"[165, 167]",16
167,354,430,86.5,[166],15
168,356,643,129.0,[],18
169,357,133,121.5,[],18
170,358,43,131.5,[180],18
171,358,739,177.0,[],21
172,360,67,61.5,[176],13
173,360,116,124.5,[],19
174,361,670,215.5,[],24
175,363,843,254.5,[],26
176,364,70,89.0,[172],14
177,366,32,157.0,"[180, 183]",20
178,366,248,293.5,[],27
179,366,528,209.5,[],24
180,367,39,206.5,"[170, 177, 183]",23
181,367,277,209.0,[],23
182,369,629,190.5,[],22
183,372,41,186.0,"[177, 180]",21
184,373,228,216.0,[],22
185,373,440,213.0,[],24
186,385,581,122.5,[],18
187,386,463,98.0,[],16
188,387,200,172.0,[],21
189,389,366,76.5,[],14
190,390,822,205.5,[],23
191,394,96,248.0,[],25
192,398,450,39.0,[194],10
193,398,718,168.0,[],21
194,405,454,183.5,[192],21
195,406,621,178.5,[],21
196,411,270,77.0,[],14
197,415,354,129.0,[],18
198,416,468,219.0,[],24
199,416,881,193.0,[202],22
200,423,345,100.5,[],16
201,425,812,100.0,[],17
202,426,883,132.5,[199],18
203,429,241,125.0,[],18
204,431,295,92.5,[],15
205,431,369,205.5,[],24
206,432,536,130.0,[],18
207,436,158,130.5,[],18
208,439,476,174.0,[],21
209,440,290,58.5,[],12
210,441,449,189.5,[],22
211,442,591,45.5,[],10
212,447,757,118.0,[],18
213,448,567,172.0,[],21
214,451,274,219.5,[217],23
215,451,723,103.0,[],16
216,455,470,160.0,[],19
217,456,266,88.0,[214],14
218,458,512,208.0,[225],24
219,459,297,181.5,[],22
220,461,591,143.5,[],20
221,462,784,81.0,[],14
222,463,343,129.0,[],18
223,464,3,199.0,[],22
224,466,237,131.5,[],17
225,466,509,147.5,[218],19
226,466,744,174.0,[],20
227,472,72,146.5,[233],19
228,472,94,103.0,[231],17
229,473,577,225.0,[],24
230,476,28,143.0,[236],19
231,477,105,196.0,"[228, 237]",22
232,477,772,128.0,[],17
