DropletID,CenterX,CenterY,Area,OverlappedDropletsID,Size
1,1,337,5.0,[],3
2,2,20,98.5,[],2
3,2,115,28.0,[],7
4,2,137,12.5,[],6
5,2,188,89.0,[8],1
6,2,201,16.0,[],6
7,3,10,32.0,[],8
8,4,190,6.0,[5],4
9,7,317,29.5,"[14, 17]",8
10,8,71,89.0,[],2
11,8,159,15.5,[],6
12,8,179,30.0,[],8
13,8,276,27.0,[],7
14,8,319,7.5,"[9, 17]",4
15,8,423,28.5,[],8
16,8,509,11.0,[],5
17,9,319,7.0,"[9, 14]",4
18,9,498,4.5,[],3
19,10,376,26.0,[],7
20,11,198,38.5,[],9
21,11,289,14.0,[],5
22,12,116,35.0,[],9
23,12,280,10.0,[],5
24,12,494,32.5,[],9
25,13,235,16.0,[],6
26,15,243,19.0,[],7
27,15,371,43.5,[],10
28,16,506,22.0,[],7
29,17,182,30.5,[],8
30,17,254,19.5,[],7
31,17,459,11.5,"[35, 39]",5
32,18,124,51.5,[],11
33,18,320,86.5,[],2
34,19,443,15.5,[],6
35,21,461,83.5,"[31, 39]",2
36,22,15,64.0,[],12
37,22,412,13.0,[],5
38,22,450,31.0,[],9
39,23,460,76.5,"[31, 35]",1
40,24,276,86.5,[],2
41,25,223,29.0,[],8
42,25,230,46.0,[],11
43,26,258,34.0,[],8
44,26,312,13.0,[],5
45,26,506,10.5,[],5
46,28,184,4.5,[],3
47,29,467,23.0,[],7
48,32,508,52.0,[],11
49,33,353,38.5,[],10
50,34,5,13.5,[],5
51,34,319,15.5,[],6
52,36,419,23.0,[],7
53,36,456,8.0,[],4
54,37,67,53.0,[63],11
55,37,282,7.5,[64],4
56,37,315,5.0,[],3
57,37,361,91.0,[],15
58,38,449,30.0,[],8
59,39,149,19.0,[],7
60,39,206,46.0,[],11
61,39,510,21.5,[],7
62,40,420,5.0,[],3
63,42,72,57.5,[54],12
64,42,284,95.5,[55],2
65,42,476,26.0,[],7
66,43,0,28.0,[],8
67,44,107,13.0,[68],5
68,44,111,24.0,"[67, 69]",7
69,45,110,4.5,[68],3
70,46,243,4.0,[],3
71,46,427,5.0,[],3
72,47,135,5.0,[],3
73,48,296,36.0,[],9
74,49,56,5.0,[],3
75,49,80,8.0,[],4
76,50,291,15.0,[],6
77,51,15,30.0,[],9
78,51,346,8.0,[],4
79,52,72,5.0,[],3
80,53,262,8.5,[],5
81,54,235,51.0,[],11
82,55,281,50.5,[],11
83,58,84,19.5,[],7
84,59,137,7.5,[],4
85,59,249,110.0,[],15
86,59,511,6.0,[],4
87,60,15,5.0,[],3
88,60,42,8.5,[],4
89,60,149,5.0,[],3
90,60,173,45.0,[],10
91,60,423,76.5,[],2
92,61,70,5.0,[],3
93,61,100,32.0,[],8
94,61,351,60.0,[],12
95,63,277,8.0,[],4
96,64,157,5.0,[],3
97,64,160,10.0,[],5
98,65,0,26.5,[],7
99,65,164,8.5,[],4
100,65,444,89.5,[],2
101,65,476,48.5,[],11
102,67,178,26.5,[],8
103,67,230,36.5,[],9
104,68,341,96.5,[105],2
105,68,342,5.0,[104],3
106,68,361,5.0,[],3
107,68,503,15.5,[],6
108,70,431,40.5,[],10
109,71,248,19.0,[],7
110,71,256,12.5,[120],5
111,72,128,6.0,[],4
112,73,2,45.0,[],10
113,73,45,45.0,[],11
114,75,179,11.0,[117],5
