                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3748,                 2.3701,                0.82743,                0.92045,                0.91874,                0.78271,                0.83091,                0.55596,                0.77118,                0.67189,                0.70522,                0.31761,                 1.0267,                 1.9677,                0.47847,                0.86026,              0.0033148,              0.0033148,              0.0033148
                      2,                 1.3657,                 1.9212,                0.57687,                0.86439,                0.87749,                0.76509,                0.81186,                0.46296,                0.67975,                0.61806,                 0.6426,                0.25036,                  1.437,                 2.3436,                0.61951,                0.92609,              0.0066262,              0.0066262,              0.0066262
                      3,                 1.6012,                  1.963,                0.70365,                0.89013,                0.78153,                0.50897,                0.66577,                0.29121,                  0.482,                0.32526,                0.33564,                0.10158,                 2.0468,                 3.8031,                 1.4585,                 1.0259,              0.0099156,              0.0099156,              0.0099156
                      4,                 1.6804,                 2.0339,                0.71807,                0.90598,                0.88135,                0.73363,                0.79758,                0.44431,                0.73256,                0.60709,                0.64342,                0.25751,                 1.4727,                 2.5154,                0.67199,                0.94432,               0.009901,               0.009901,               0.009901
                      5,                 1.6683,                 2.0632,                0.69954,                0.90998,                0.76743,                0.62526,                0.63686,                0.27133,                0.73623,                 0.6256,                0.60796,                0.23224,                  1.754,                 2.1152,                0.87532,                0.91913,               0.009868,               0.009868,               0.009868
                      6,                 1.6399,                 2.0287,                0.66961,                0.90129,                0.87162,                0.72652,                0.78371,                0.42643,                0.68211,                0.58643,                0.61338,                0.24814,                 1.5303,                 2.0058,                0.64805,                0.88865,               0.009835,               0.009835,               0.009835
                      7,                 1.5944,                 1.9942,                0.66926,                0.89769,                 0.9053,                0.71492,                0.77879,                0.39297,                0.72226,                0.60997,                0.63966,                0.25465,                  1.697,                 2.2421,                0.67971,                0.91463,               0.009802,               0.009802,               0.009802
                      8,                  1.588,                 1.9753,                0.66638,                0.89491,                0.90814,                0.75606,                0.80276,                 0.4603,                 0.8651,                0.74652,                0.78283,                0.38727,                 1.3736,                 1.8738,                0.60941,                0.86108,               0.009769,               0.009769,               0.009769
                      9,                 1.5663,                  1.951,                0.64764,                0.88918,                0.92732,                0.75945,                 0.8137,                0.47627,                0.78649,                0.65166,                0.69805,                0.31399,                 1.3089,                 1.9669,                0.65059,                0.86351,               0.009736,               0.009736,               0.009736
                     10,                 1.5584,                 1.9499,                0.64675,                0.88933,                0.93089,                0.79672,                0.84867,                0.56374,                0.81894,                0.70899,                0.74055,                0.33774,                 1.0972,                 1.8645,                0.57255,                0.86011,               0.009703,               0.009703,               0.009703
                     11,                 1.5375,                 1.9328,                0.63982,                0.88823,                0.93608,                0.77623,                0.83841,                0.47562,                0.74497,                 0.6275,                0.66197,                0.28049,                 1.4855,                  1.958,                0.59972,                0.88754,                0.00967,                0.00967,                0.00967
                     12,                 1.5014,                 1.9208,                0.62455,                0.88607,                0.93105,                0.77626,                0.82108,                 0.5124,                0.87496,                0.74164,                0.77586,                0.40395,                 1.2313,                 1.9056,                0.64197,                0.84955,               0.009637,               0.009637,               0.009637
                     13,                 1.5342,                 1.9443,                0.63175,                0.88801,                0.91756,                0.72914,                0.81341,                0.52704,                0.81321,                 0.6471,                0.70287,                0.30284,                 1.1257,                 1.9042,                0.64288,                0.85749,               0.009604,               0.009604,               0.009604
                     14,                 1.5067,                 1.9308,                0.61917,                0.88739,                0.93448,                0.79117,                0.82956,                0.55458,                0.86612,                0.75717,                0.79565,                0.41107,                 1.0445,                 1.8111,                0.52437,                0.84014,               0.009571,               0.009571,               0.009571
                     15,                 1.5189,                 1.9444,                 0.6205,                0.88597,                0.94088,                 0.7833,                0.83518,                0.50846,                0.75079,                0.62645,                0.65466,                0.27673,                 1.2612,                 1.8077,                0.56486,                0.87889,               0.009538,               0.009538,               0.009538
                     16,                 1.4947,                 1.9049,                0.62177,                0.88695,                0.92414,                0.76532,                0.82518,                0.46388,                0.78987,                0.66163,                0.69626,                0.29259,                 1.3813,                 2.0933,                0.60373,                0.85972,               0.009505,               0.009505,               0.009505
                     17,                 1.4823,                 1.9146,                 0.6088,                0.88651,                0.93572,                0.79402,                0.84013,                0.51637,                0.86406,                0.73642,                0.76282,                0.34966,                 1.1504,                 1.9117,                0.57214,                0.85534,               0.009472,               0.009472,               0.009472
                     18,                 1.4943,                 1.8867,                0.61434,                 0.8845,                0.93069,                0.77971,                0.82902,                0.53713,                0.83865,                0.71385,                0.74424,                0.34073,                 1.1248,                 1.9526,                0.57056,                0.85606,               0.009439,               0.009439,               0.009439
                     19,                 1.4616,                 1.9008,                0.61684,                0.88221,                0.94012,                 0.7819,                0.85208,                0.55856,                0.80626,                0.66984,                0.69993,                0.28786,                  1.193,                 1.8963,                 0.5475,                0.87148,               0.009406,               0.009406,               0.009406
                     20,                 1.4769,                   1.91,                 0.6119,                0.88299,                 0.9416,                0.79034,                0.83471,                0.57125,                0.83836,                0.70946,                 0.7253,                0.32007,                  1.045,                  1.964,                   0.54,                0.86153,               0.009373,               0.009373,               0.009373
                     21,                  1.463,                 1.8765,                0.61139,                 0.8818,                0.93608,                0.79839,                0.84749,                0.54189,                0.74669,                0.64126,                0.65478,                0.27484,                 1.1275,                 1.9494,                0.54454,                0.85742,                0.00934,                0.00934,                0.00934
