                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.48169,                0.79273,                 1.1234,                0.94567,                0.98464,                      1,                  0.995,                0.85478,                0.98464,                      1,                  0.995,                0.94147,                 0.6123,                0.54557,                0.92514,                 1.0305,             0.00065766,             0.00065766,             0.00065766
                      2,                0.54323,                0.27973,                0.55296,                0.94162,                0.90519,                0.88414,                0.96306,                0.79632,                0.90519,                0.88414,                0.96306,                 0.8376,                0.63338,                0.67241,                0.84306,                 1.0855,              0.0012806,              0.0012806,              0.0012806
                      3,                0.56661,                0.33922,                0.54562,                0.96148,                0.05996,                0.09259,                0.01656,                0.00862,                0.07605,                0.11111,                 0.0237,                0.01024,                 2.8528,                 3.3318,                  5.488,                 3.4017,              0.0018596,              0.0018596,              0.0018596
                      4,                0.56479,                0.30111,                0.54559,                0.94688,                0.81013,                0.79023,                0.90699,                0.72876,                0.81013,                0.79023,                0.90699,                0.86129,                 0.7041,                0.21302,                0.81499,                 1.1479,               0.001802,               0.001802,               0.001802
                      5,                0.52632,                0.27335,                0.46229,                0.94636,                 0.9471,                0.99478,                0.99121,                 0.8539,                 0.9471,                0.99478,                0.99121,                0.95611,                0.53482,                0.18455,                0.51794,                0.99448,               0.001736,               0.001736,               0.001736
                      6,                0.47075,                0.25427,                0.42074,                0.91897,                0.94723,                      1,                0.99262,                0.88087,                0.94723,                      1,                0.99262,                 0.9783,                0.45428,                0.18269,                0.47177,                0.93762,                0.00167,                0.00167,                0.00167
                      7,                0.43377,                0.22683,                0.38294,                0.91078,                0.98009,                      1,                  0.993,                 0.8884,                0.98009,                      1,                  0.993,                0.98713,                0.40966,                0.15777,                0.40171,                0.90299,               0.001604,               0.001604,               0.001604
                      8,                0.42542,                0.20942,                0.37976,                0.90279,                0.99761,                      1,                  0.995,                0.93662,                0.99761,                      1,                  0.995,                0.98598,                0.34854,                0.15368,                0.32857,                0.85432,               0.001538,               0.001538,               0.001538
                      9,                0.41153,                0.21955,                0.35548,                0.90048,                 0.9988,                      1,                  0.995,                0.92679,                 0.9988,                      1,                  0.995,                  0.995,                 0.3991,                0.14479,                0.32469,                0.89379,               0.001472,               0.001472,               0.001472
                     10,                0.35683,                0.21346,                0.32536,                0.88071,                0.99859,                      1,                  0.995,                0.96169,                0.99859,                      1,                  0.995,                  0.995,                0.30065,                0.16592,                 0.2649,                0.83592,               0.001406,               0.001406,               0.001406
                     11,                 0.3571,                0.21173,                0.32706,                0.87646,                0.99544,                      1,                  0.995,                0.97564,                0.99544,                      1,                  0.995,                0.99352,                0.31282,                0.14492,                0.29542,                0.84067,                0.00134,                0.00134,                0.00134
                     12,                0.35158,                0.20202,                0.31118,                0.88101,                0.99768,                      1,                  0.995,                0.96896,                0.99768,                      1,                  0.995,                  0.995,                0.27514,                0.12986,                0.24737,                0.83657,               0.001274,               0.001274,               0.001274
                     13,                0.33542,                0.20496,                0.30479,                0.88217,                0.99843,                      1,                  0.995,                0.96989,                0.99843,                      1,                  0.995,                0.99285,                0.27041,                0.12737,                0.25339,                0.82601,               0.001208,               0.001208,               0.001208
                     14,                0.32531,                0.20178,                0.28185,                0.87035,                0.99888,                      1,                  0.995,                0.97873,                0.99888,                      1,                  0.995,                  0.995,                0.29129,                0.12608,                0.25734,                0.84397,               0.001142,               0.001142,               0.001142
                     15,                0.31127,                0.20579,                 0.2759,                0.87274,                0.99838,                      1,                  0.995,                0.97159,                0.99838,                      1,                  0.995,                  0.995,                0.31119,                0.13216,                0.26319,                0.84552,               0.001076,               0.001076,               0.001076
                     16,                0.30349,                0.19348,                0.26854,                0.86887,                0.99896,                      1,                  0.995,                 0.9904,                0.99896,                      1,                  0.995,                0.99414,                 0.2267,                0.13167,                0.22555,                0.80952,                0.00101,                0.00101,                0.00101
                     17,                0.29224,                0.18469,                 0.2541,                0.86178,                0.99894,                      1,                  0.995,                0.96561,                0.99894,                      1,                  0.995,                0.98919,                0.26688,                 0.1326,                0.23107,                0.82835,               0.000944,               0.000944,               0.000944
                     18,                0.27862,                0.17775,                0.24162,                0.86168,                0.99896,                      1,                  0.995,                0.98258,                0.99896,                      1,                  0.995,                0.99396,                0.24071,                0.12673,                0.20958,                0.81456,               0.000878,               0.000878,               0.000878
                     19,                0.28772,                0.19673,                0.24479,                0.86798,                0.99884,                      1,                  0.995,                0.98384,                0.99884,                      1,                  0.995,                0.98998,                0.24718,                0.12879,                0.21256,                0.81731,               0.000812,               0.000812,               0.000812
                     20,                0.28699,                0.20155,                0.24757,                0.86125,                0.99896,                      1,                  0.995,                0.98157,                0.99896,                      1,                  0.995,                  0.995,                0.24406,                 0.1193,                0.19521,                0.82108,               0.000746,               0.000746,               0.000746
