DropletID,CenterX,CenterY,Area,OverlappedDropletsID,,DropletID_GT,CenterX_GT,CenterY_GT,Area_GT,OverlappedDropletsID_GT
0,79.5375,2.9291666666666667,40.0,[],,66.0,55.0,6.0,31.0,[]
1,87.94685990338165,8.457971014492754,172.5,[],,88.0,70.0,29.0,159.5,[97]
2,117.70748299319727,5.308390022675737,147.0,[],,110.0,88.0,8.0,159.5,[100]
3,137.68,1.58,25.0,[],,152.0,120.0,21.0,108.5,"[141, 156]"
4,216.86121919584954,7.3372243839169915,128.5,[],,281.0,201.0,21.0,50.5,[]
5,241.24946236559137,3.50752688172043,77.5,[],,308.0,217.0,7.0,95.0,[]
6,281.1771561771562,3.053613053613054,71.5,[],,389.0,278.0,26.0,125.0,[]
7,362.5325670498084,2.122605363984674,43.5,[],,485.0,354.0,8.0,31.5,[]
8,387.4353963083605,6.1172638436482085,153.5,[],,495.0,363.0,0.0,66.0,[]
9,452.5151515151515,4.427272727272728,55.0,[],,578.0,444.0,20.0,95.0,[]
10,464.95475530932595,6.007386888273315,180.5,[],,578.0,444.0,20.0,95.0,[]
11,508.1539440203563,4.877862595419847,131.0,[],,653.0,508.0,5.0,106.5,[]
12,543.47,3.736666666666667,50.0,[],,671.0,518.0,5.0,12.5,[]
13,689.1828358208955,5.512437810945273,134.0,[],,851.0,685.0,21.0,95.0,[]
14,740.1280602636535,3.998116760828625,88.5,[],,896.0,712.0,10.0,44.0,[884]
15,760.3859649122807,3.1779448621553885,66.5,[],,928.0,740.0,2.0,95.0,[]
16,846.001388888889,4.338888888888889,120.0,[],,1056.0,846.0,3.0,125.0,[]
17,884.9705882352941,4.079831932773109,119.0,[],,1086.0,864.0,18.0,50.5,[1093]
18,927.5258964143426,4.891102257636122,125.5,[],,1176.0,927.0,5.0,106.5,[]
19,1113.9646464646464,4.587542087542087,99.0,[],,1363.0,1087.0,10.0,58.5,[1360]
20,1141.914465408805,7.323270440251573,132.5,[],,1404.0,1114.0,3.0,95.0,[]
21,1163.482617586912,4.104294478527607,81.5,[],,1432.0,1142.0,7.0,95.0,[]
22,1178.1587301587301,2.9404761904761907,42.0,[],,1456.0,1162.0,18.0,22.0,[]
23,1218.1749755620724,7.597262952101661,170.5,[],,1532.0,1218.0,7.0,159.5,[1519]
24,1236.920634920635,1.4444444444444444,10.5,[],,1548.0,1237.0,2.0,5.5,[]
25,1313.2186666666666,3.1093333333333333,62.5,[],,1596.0,1287.0,6.0,95.0,[1607]
26,1356.5493827160494,1.845679012345679,27.0,[],,1683.0,1357.0,0.0,26.5,[]
27,1037.489898989899,6.409090909090909,99.0,[],,1268.0,1011.0,17.0,117.5,"[1278, 1282]"
28,1286.693032015066,6.261770244821092,88.5,[],,1573.0,1265.0,22.0,95.0,[1581]
29,54.85079365079365,5.803174603174604,52.5,[],,66.0,55.0,6.0,31.0,[]
30,168.8585185185185,11.132592592592593,225.0,[],,222.0,168.0,12.0,176.5,[221]
31,353.47222222222223,7.425925925925926,54.0,[],,446.0,330.0,20.0,24.5,[449]
32,137.62790697674419,6.821705426356589,43.0,[],,141.0,111.0,19.0,125.0,"[152, 156]"
33,1082.9799196787149,10.402610441767068,166.0,[],,1354.0,1075.0,21.0,95.0,[]
34,1189.0426829268292,9.239837398373984,82.0,[],,1456.0,1162.0,18.0,22.0,[]
35,106.0,8.704545454545455,44.0,[],,100.0,82.0,3.0,66.0,[110]
36,376.42959001782526,13.794117647058824,187.0,[],,493.0,362.0,30.0,95.0,[]
37,711.8717948717948,9.535897435897436,65.0,[],,851.0,685.0,21.0,95.0,[]
38,953.2407407407406,9.619047619047619,63.0,[],,1176.0,927.0,5.0,106.5,[]
39,1014.755376344086,8.14516129032258,62.0,[],,1247.0,995.0,22.0,57.5,[]
40,729.4943181818181,13.738636363636363,176.0,[],,884.0,704.0,15.0,106.5,"[873, 896]"
41,746.2111436950147,14.100684261974584,170.5,[],,904.0,717.0,19.0,95.0,[]
42,655.3740219092331,13.400625978090767,106.5,[],,790.0,636.0,26.0,58.5,[]
43,814.1280193236715,12.985507246376812,69.0,[],,1012.0,815.0,13.0,41.5,[]
44,875.0542005420054,13.487804878048781,61.5,[],,1060.0,849.0,14.0,55.5,[1068]
45,1290.9686274509802,18.201568627450982,212.5,[],,1607.0,1291.0,17.0,214.5,[1596]
46,701.3449001051525,16.173501577287066,158.5,[],,851.0,685.0,21.0,95.0,[]
47,852.9308510638298,18.68794326241135,188.0,[],,1056.0,846.0,3.0,125.0,[]
