DropletID,CenterX,CenterY,Area,OverlappedDropletsID,,DropletID_GT,CenterX_GT,CenterY_GT,Area_GT,OverlappedDropletsID_GT
4,1340.0,308.0,22.5,[],,1975.0,1344.0,307.0,21.0,[1963]
10,115.0,404.0,23.0,[],,165.0,116.0,404.0,23.0,[]
14,420.0,357.0,24.0,[],,593.0,420.0,357.0,28.0,"[584, 607, 608]"
22,1313.0,450.0,12.0,[],,1933.0,1314.0,451.0,16.0,[1920]
25,899.0,441.0,15.0,[],,1322.0,899.0,441.0,14.0,[]
55,1127.0,5.0,8.0,[],,1666.0,1125.0,5.0,9.0,"[1655, 1668, 1682]"
117,894.0,355.0,10.0,[],,1314.0,895.0,355.0,14.0,[]
208,274.0,447.0,6.0,[],,393.0,275.0,447.0,6.0,[]
400,1102.0,384.0,4.5,[],,1631.0,1103.0,384.0,8.0,[]
569,759.0,34.0,6.0,[],,1100.0,759.0,35.0,3.0,[]
570,704.0,25.0,6.0,[],,1019.0,704.0,26.0,3.0,[]
571,927.0,427.0,6.0,[],,1366.0,927.0,427.0,4.0,[]
572,27.0,368.0,6.0,[],,49.0,27.0,368.0,4.0,[]
575,98.0,21.0,0.0,[],,145.0,99.0,23.0,4.0,[]
579,532.0,203.0,0.0,[],,775.0,533.0,203.0,4.0,[]
582,98.0,23.0,0.0,[],,145.0,99.0,23.0,4.0,[]
599,1313.0,450.0,20.5,[],,1933.0,1314.0,451.0,16.0,[1920]
616,519.0,426.0,18.0,[],,750.0,519.0,426.0,18.0,[]
620,698.0,84.0,15.0,[],,1003.0,699.0,84.0,17.0,[]
621,894.0,355.0,14.0,[],,1314.0,895.0,355.0,14.0,[]
628,274.0,446.0,9.0,[],,393.0,275.0,447.0,6.0,[]
650,20.0,189.0,18.0,[],,34.0,21.0,188.0,15.0,[]
651,894.0,355.0,14.0,[],,1314.0,895.0,355.0,14.0,[]
654,894.0,355.0,14.0,[],,1314.0,895.0,355.0,14.0,[]
