DropletID,isElipse,CenterX,CenterY,Diameter,OverlappedDropletsID,,DropletID_GT,isElipse_GT,CenterX_GT,CenterY_GT,Diameter_GT,OverlappedDropletsID_GT
0,False,1110.0,555.0,13.60167121887207,[],,481.0,True,1112.0,555.0,14.0,[316]
2,False,1353.0,97.0,32.023807525634766,[],,675.0,True,1355.0,97.0,30.0,"[374, 528]"
5,True,529.0,288.0,16.545454545454543,"[6, 7]",,380.0,True,530.0,288.0,18.0,[]
10,True,1409.0,97.0,17.333333333333332,"[11, 12]",,656.0,True,1410.0,98.0,20.0,[678]
12,True,28.0,178.0,24.742857142857137,"[13, 14]",,736.0,True,30.0,178.0,28.0,"[462, 544]"
13,True,1078.0,467.0,28.413793103448274,"[14, 15]",,157.0,True,1079.0,468.0,28.0,"[353, 401]"
14,True,200.0,476.0,14.666666666666668,"[15, 16]",,497.0,True,202.0,476.0,16.0,[155]
15,True,1547.0,393.0,16.5,[16],,325.0,True,1549.0,394.0,20.0,[620]
23,True,876.0,346.0,21.8,[24],,798.0,True,877.0,347.0,26.0,[689]
24,True,537.0,323.0,18.933333333333334,[],,560.0,True,538.0,324.0,22.0,[15]
25,True,1683.0,238.0,25.076923076923077,[26],,140.0,True,1685.0,239.0,30.0,"[152, 491]"
28,True,113.0,556.0,24.857142857142854,"[29, 30]",,709.0,True,111.0,560.0,20.0,[806]
29,True,1615.0,227.0,23.523809523809522,[30],,147.0,True,1614.0,228.0,22.0,"[124, 449]"
32,False,425.0,69.0,11.49068546295166,[],,56.0,True,426.0,70.0,12.0,[63]
33,True,851.0,505.0,22.866666666666667,[34],,251.0,True,853.0,506.0,26.0,[158]
34,True,1562.0,485.0,18.428571428571427,"[35, 36]",,558.0,True,1565.0,485.0,20.0,[217]
35,True,951.0,336.0,18.375,[36],,452.0,True,954.0,336.0,16.0,[658]
36,True,1102.0,267.0,13.0,[37],,812.0,True,1104.0,269.0,12.0,[]
37,True,180.0,378.0,26.81818181818182,[38],,647.0,True,182.0,376.0,30.0,[571]
40,True,1074.0,343.0,20.875,[41],,660.0,True,1076.0,344.0,24.0,[247]
41,True,220.0,539.0,22.8,[42],,456.0,True,218.0,540.0,22.0,"[36, 549]"
43,False,1440.0,569.0,32.922855377197266,[],,587.0,True,1442.0,570.0,32.0,[722]
45,True,505.0,340.0,23.955555555555556,[46],,234.0,True,506.0,340.0,28.0,[800]
46,True,400.0,239.0,26.666666666666668,[47],,232.0,True,400.0,242.0,22.0,[833]
47,True,1615.0,304.0,19.555555555555557,[48],,741.0,True,1618.0,303.0,24.0,[]
50,False,1134.0,492.0,31.412242889404297,[],,167.0,True,1135.0,493.0,30.0,[280]
51,True,1529.0,471.0,24.72,[52],,701.0,True,1530.0,474.0,28.0,"[143, 427, 815]"
59,True,1395.0,400.0,24.6,[60],,13.0,True,1396.0,398.0,26.0,"[611, 791]"
60,True,385.0,572.0,16.0,[61],,733.0,True,386.0,572.0,16.0,"[313, 388]"
61,True,831.0,329.0,21.875,[62],,787.0,True,833.0,329.0,24.0,[487]
62,True,839.0,381.0,16.444444444444443,[63],,392.0,True,840.0,381.0,16.0,[]
63,False,1346.0,387.0,29.029497146606445,[],,774.0,True,1348.0,388.0,28.0,[]
64,False,934.0,200.0,29.029525756835938,[],,808.0,True,936.0,201.0,28.0,[]
65,True,1536.0,223.0,18.0,[66],,135.0,True,1537.0,222.0,20.0,[33]
66,True,1615.0,68.0,17.23076923076923,[67],,532.0,True,1616.0,64.0,18.0,[398]
67,True,1109.0,138.0,20.11111111111111,[68],,297.0,True,1112.0,138.0,22.0,[726]
68,True,1396.0,281.0,19.692307692307693,[69],,96.0,True,1398.0,281.0,18.0,[735]
70,False,1712.0,80.0,28.25224494934082,[],,357.0,True,1714.0,80.0,26.0,[326]
71,True,487.0,523.0,15.0,[72],,329.0,True,488.0,523.0,18.0,[535]
72,True,1639.0,120.0,21.0,[73],,320.0,True,1641.0,121.0,24.0,[226]
73,True,438.0,98.0,14.92114543914795,[],,708.0,True,440.0,97.0,12.0,[196]
74,False,325.0,504.0,27.10918426513672,[],,208.0,True,327.0,505.0,26.0,[]
75,False,68.0,454.0,27.109174728393555,[],,653.0,True,70.0,455.0,26.0,[565]
76,False,1059.0,402.0,27.10916519165039,[],,529.0,True,1061.0,403.0,26.0,[]
77,False,1145.0,288.0,27.10916519165039,[],,749.0,True,1147.0,289.0,26.0,[]
78,False,822.0,274.0,27.10916519165039,[],,405.0,True,824.0,275.0,26.0,[]
