method,precision,recall,f1-score,map50,map50-95,tp,fp,fn,segmentation_time
droplet_synthetic_square_dataset_ccv,0.850767169995129,0.7279436663743477,0.7845775916524342,0.6375632259258494,0.4490831591909293,83838,14706,31333,0.1807692216149271
droplet_real_square_dataset_ccv,0.7880348652931854,0.850727117194183,0.8181818181818181,0.6776480477985662,0.3094555358574672,1989,535,349,0.110769731348211
droplet_synthetic_full_dataset_ccv,0.8369513085184027,0.7278596363966088,0.7786027789228643,0.6202301302839884,0.3323468186451574,80272,15638,30013,7.244806039333343
droplet_real_full_dataset_ccv,0.7424612876935616,0.8586239396795476,0.7963286713286715,0.6133750166240387,0.250889721406796,1822,632,300,11.128076434135435
droplet_synthetic_square_dataset_yolo,0.5706431762096649,0.618262223325286,0.5934990605422322,0.4152701494251268,0.144653962930332,54804,41235,33838,2.5819191454824355
droplet_synthetic_square_dataset_mrcnn,0.9448818897637796,0.217823099512464,0.3540315106580167,0.3108404515335846,0.1423245566590502,22920,1337,82303,13.05160180327196
droplet_synthetic_full_dataset_yolo,0.5253878505974431,0.1732410018092815,0.260563866672192,0.1154903115522048,0.0376549480549309,18863,17040,90020,6.94093968073527
droplet_real_full_dataset_mrcnn,0.6612576064908722,0.2694214876033058,0.3828537874339401,0.1918770279931804,0.0551916625419346,652,334,1768,300.5127465724945
droplet_synthetic_full_dataset_mrcnn,0.9368086511474328,0.1824635024760434,0.3054366841609474,0.2209528589171626,0.0981522783848121,22697,1531,101695,168.3656632622083
droplet_synthetic_square_dataset_cellpose,0.928431562621171,0.7818913579440626,0.8488836891878718,0.7345639245010773,0.3224924478354335,95777,7383,26717,7.2933860089478975
droplet_real_square_dataset_cellpose,0.961835334476844,0.8082882882882882,0.8784021930683374,0.7845931170173511,0.5220427516885193,2243,89,532,7.637032846609752
droplet_synthetic_full_dataset_cellpose,0.924939660503062,0.7832968740762013,0.8482459309531106,0.7128746770085249,0.2692357374332815,92740,7526,25657,75.3545110742251
droplet_real_full_dataset_cellpose,0.9577342047930284,0.8272487768159579,0.8877221324717286,0.7818040396548092,0.435286478734046,2198,97,459,129.27653682231903
droplet_real_square_dataset_mrcnn,0.7074122236671001,0.2423162583518931,0.3609820836098208,0.1500818843465901,0.0416300891786631,544,225,1701,13.180678039126926
droplet_real_square_dataset_yolo,0.4080749819754866,0.2758284600389863,0.3291654550741495,0.1407632605529787,0.0334724199693513,566,821,1486,0.5317284714091908
droplet_real_full_dataset_yolo,0.3922852983988355,0.2808754559666493,0.3273610689341026,0.1553243836594748,0.03233671708263,539,835,1380,14.622532963752748
droplet_real_full_dataset_mrcnn,0.7009102730819246,0.2135499207606973,0.3273610689341026,0.1538450082225625,0.0430376293936624,539,230,1985,296.56525588035583
droplet_real_full_dataset_mrcnn,0.7009102730819246,0.2135499207606973,0.3273610689341026,0.1538450082225625,0.0430376293936624,539,230,1985,296.56525588035583
droplet_real_full_dataset_yolo,0.3922852983988355,0.2808754559666493,0.3273610689341026,0.1553243836594748,0.03233671708263,539,835,1380,14.622532963752748
droplet_synthetic_full_dataset_mrcnn,0.937427769522866,0.1825620744813395,0.3056076967066976,0.2211114874972903,0.098343309766591,22712,1516,101695,168.3656632622083
droplet_synthetic_full_dataset_yolo,0.5594110465605793,0.6323221508446348,0.5936362214925507,0.3716186104928223,0.1236630240509606,53153,41863,30907,40.36400264104207
droplet_real_square_dataset_mrcnn,0.7074122236671001,0.2423162583518931,0.3609820836098208,0.1500818843465901,0.0416300891786631,544,225,1701,13.180678039126926
droplet_synthetic_square_dataset_mrcnn,0.9448818897637796,0.217823099512464,0.3540315106580167,0.3108404515335846,0.1423245566590502,22920,1337,82303,13.05160180327196
droplet_real_full_dataset_mrcnn,0.7009102730819246,0.2135499207606973,0.3273610689341026,0.1538450082225625,0.0430376293936624,539,230,1985,296.56525588035583
droplet_synthetic_full_dataset_mrcnn,0.9374277695228661,0.1825620744813395,0.30560769670669763,0.2211114874972903,0.09834330976659103,22712,1516,101695,168.3656632622083
