method,precision,recall,f1-score,map50,map50-95,tp,fp,fn,segmentation_time
2_Z1_cut_0_0-10_9043250327654,0.98989898989899,0.7480916030534351,0.8521739130434782,0.7199265381083563,0.5126721763085399,98,1,33,8.999551773071289
2_Z1_cut_0_1280-10_9043250327654,0.9864864864864865,0.7156862745098039,0.8295454545454546,0.7174447174447175,0.5122850122850122,73,1,29,8.557207345962524
2_Z1_cut_0_1600-10_9043250327654,1.0,0.7708333333333334,0.8705882352941177,0.7272727272727273,0.5705159705159706,74,0,22,8.133570432662964
2_Z1_cut_0_1920-10_9043250327654,1.0,0.7021276595744681,0.825,0.7272727272727273,0.42520661157024797,66,0,28,7.012949228286743
2_Z1_cut_0_320-10_9043250327654,1.0,0.7777777777777778,0.8750000000000001,0.7272727272727273,0.5204250295159386,77,0,22,8.239775657653809
2_Z1_cut_0_640-10_9043250327654,0.9876543209876543,0.7547169811320755,0.8556149732620321,0.7182940516273849,0.5442199775533109,80,1,26,8.444708347320557
2_Z1_cut_0_960-10_9043250327654,0.9882352941176471,0.7368421052631579,0.8442211055276382,0.718716577540107,0.5347593582887701,84,1,30,8.697461366653442
2_Z1_cut_320_0-10_9043250327654,0.9770114942528736,0.7391304347826086,0.8415841584158417,0.7105538140020898,0.48819226750261224,85,2,30,8.352534294128418
2_Z1_cut_320_1280-10_9043250327654,0.9560439560439561,0.7565217391304347,0.8446601941747574,0.6953046953046953,0.4881118881118881,87,4,28,8.583319425582886
2_Z1_cut_320_1600-10_9043250327654,1.0,0.6989247311827957,0.8227848101265823,0.6363636363636364,0.5068531468531469,65,0,28,8.03648066520691
2_Z1_cut_320_1920-10_9043250327654,1.0,0.8163265306122449,0.898876404494382,0.8181818181818182,0.49250000000000005,80,0,18,7.069390773773193
2_Z1_cut_320_320-10_9043250327654,0.9294117647058824,0.7452830188679245,0.8272251308900523,0.6759358288770053,0.49893048128342243,79,6,27,8.239835739135742
2_Z1_cut_320_640-10_9043250327654,0.9905660377358491,0.813953488372093,0.8936170212765957,0.8104631217838765,0.5818181818181819,105,1,24,8.363977432250977
2_Z1_cut_320_960-10_9043250327654,0.9775280898876404,0.7435897435897436,0.8446601941747572,0.7109295199182839,0.5182839632277834,87,2,30,8.27754259109497
2_Z1_cut_640_0-4_1913499344692005,0.9772727272727273,0.7818181818181819,0.8686868686868686,0.7107438016528925,0.43161157024793406,43,1,12,4.371869802474976
2_Z1_cut_640_1280-4_1913499344692005,0.9830508474576272,0.8405797101449275,0.9062499999999999,0.8043143297380585,0.3942989214175655,58,1,11,4.4796295166015625
2_Z1_cut_640_1600-4_1913499344692005,0.9666666666666667,0.8169014084507042,0.8854961832061069,0.7909090909090909,0.40030303030303027,58,2,13,4.587967157363892
2_Z1_cut_640_1920-4_1913499344692005,0.8823529411764706,0.8653846153846154,0.8737864077669903,0.7219251336898396,0.309982174688057,45,6,7,3.5148026943206787
2_Z1_cut_640_320-4_1913499344692005,0.96,0.8135593220338984,0.8807339449541285,0.7854545454545455,0.43454545454545446,48,2,11,4.323583364486694
2_Z1_cut_640_640-4_1913499344692005,0.9090909090909091,0.847457627118644,0.8771929824561402,0.743801652892562,0.35983471074380163,50,5,9,4.447680473327637
2_Z1_cut_640_960-4_1913499344692005,0.9387755102040817,0.7931034482758621,0.8598130841121495,0.6827458256029685,0.3387755102040816,46,3,12,4.430409669876099
LadoOposto_850_Arv1_15m_cut_0_0-8_593639575971732,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.7575757575757577,0.41136363636363643,10,2,1,8.091190814971924
LadoOposto_850_Arv1_15m_cut_0_320-8_593639575971732,0.95,0.95,0.9500000000000001,0.8636363636363634,0.5918181818181818,19,1,1,8.282170534133911
LadoOposto_850_Arv1_15m_cut_0_640-8_593639575971732,0.9714285714285714,0.8947368421052632,0.9315068493150684,0.7948051948051947,0.5885714285714285,34,1,4,8.15040135383606
LadoOposto_850_Arv1_15m_cut_1280_0-8_593639575971732,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8484848484848485,0.6030303030303029,28,2,2,8.504628896713257
LadoOposto_850_Arv1_15m_cut_1280_320-8_593639575971732,0.8888888888888888,0.9230769230769231,0.9056603773584906,0.8080808080808081,0.5848484848484848,24,3,2,8.173728227615356
LadoOposto_850_Arv1_15m_cut_1280_640-8_593639575971732,1.0,0.9142857142857143,0.955223880597015,0.9090909090909091,0.6051136363636365,32,0,3,8.381803512573242
LadoOposto_850_Arv1_15m_cut_1600_0-8_593639575971732,0.967741935483871,0.9090909090909091,0.9374999999999999,0.8797653958944284,0.5489736070381231,30,1,3,8.306334257125854
LadoOposto_850_Arv1_15m_cut_1600_320-8_593639575971732,0.9714285714285714,1.0,0.9855072463768115,0.9714285714285714,0.6942857142857143,34,1,0,8.213274478912354
LadoOposto_850_Arv1_15m_cut_1600_640-8_593639575971732,0.8717948717948718,0.7906976744186046,0.8292682926829267,0.634032634032634,0.3466200466200466,34,5,9,8.460121870040894
LadoOposto_850_Arv1_15m_cut_1920_0-8_593639575971732,0.8611111111111112,0.8378378378378378,0.8493150684931507,0.7045454545454546,0.37095959595959593,31,5,6,8.13494873046875
LadoOposto_850_Arv1_15m_cut_1920_320-8_593639575971732,0.8275862068965517,0.7741935483870968,0.7999999999999999,0.6018808777429467,0.32163009404388715,24,5,7,8.461337804794312
LadoOposto_850_Arv1_15m_cut_1920_640-8_593639575971732,0.8571428571428571,0.9130434782608695,0.8842105263157894,0.7792207792207791,0.44972170686456403,42,7,4,7.945766687393188
