file,precision,recall,f1_score,map50,map50-95,tp,fp,fn,segmentation_time
2_Z1_cut_0-10_9043250327654,0.6776859504132231,0.8817204301075269,0.7663551401869158,0.5544703230653644,0.26468820435762586,82,39,11,0.7845535278320312
2_Z1_cut_1-10_9043250327654,0.7407407407407407,0.898876404494382,0.8121827411167513,0.606060606060606,0.23712121212121212,80,28,9,0.1835830211639404
2_Z1_cut_10-10_9043250327654,0.8636363636363636,0.9134615384615384,0.8878504672897196,0.7851239669421488,0.37024793388429755,95,15,9,0.1391770839691162
2_Z1_cut_11-4_1913499344692005,0.725,0.58,0.6444444444444445,0.39545454545454545,0.1484090909090909,29,11,21,0.1061716079711914
2_Z1_cut_12-10_9043250327654,0.9381443298969072,0.9381443298969072,0.9381443298969072,0.8528584817244611,0.4559512652296157,91,6,6,0.1729183197021484
2_Z1_cut_13-10_9043250327654,0.7452830188679245,0.8586956521739131,0.7979797979797979,0.6097770154373928,0.27855917667238417,79,27,13,0.1564807891845703
2_Z1_cut_14-4_1913499344692005,0.7884615384615384,0.6949152542372882,0.7387387387387386,0.5017482517482518,0.218006993006993,41,11,18,0.1078991889953613
2_Z1_cut_15-10_9043250327654,0.8764044943820225,0.9176470588235294,0.896551724137931,0.7967313585291115,0.4008171603677222,78,11,7,0.1417534351348877
2_Z1_cut_16-10_9043250327654,0.7710843373493976,0.8648648648648649,0.8152866242038217,0.6308871851040526,0.27973713033954,64,19,10,0.1611695289611816
2_Z1_cut_17-4_1913499344692005,0.7547169811320755,0.6666666666666666,0.7079646017699115,0.4802744425385935,0.1927958833619211,40,13,20,0.1351864337921142
2_Z1_cut_18-10_9043250327654,0.8850574712643678,0.9166666666666666,0.9005847953216374,0.8045977011494254,0.39268547544409615,77,10,7,0.1432626247406005
2_Z1_cut_19-10_9043250327654,0.8571428571428571,0.9176470588235294,0.8863636363636362,0.7792207792207791,0.34085914085914076,78,13,7,0.2114014625549316
2_Z1_cut_2-4_1913499344692005,0.7450980392156863,0.8837209302325582,0.8085106382978724,0.6096256684491979,0.2475935828877005,38,13,5,0.1282010078430175
2_Z1_cut_20-4_1913499344692005,0.7857142857142857,0.673469387755102,0.7252747252747253,0.5,0.15670995670995672,33,9,16,0.1341209411621093
2_Z1_cut_3-10_9043250327654,0.8160919540229885,0.8554216867469879,0.8352941176470587,0.6677115987460815,0.30606060606060603,71,16,12,0.1433110237121582
2_Z1_cut_4-10_9043250327654,0.6346153846153846,0.8918918918918919,0.7415730337078652,0.5192307692307693,0.18575174825174826,66,38,8,0.1502671241760254
2_Z1_cut_5-4_1913499344692005,0.7073170731707317,0.5918367346938775,0.6444444444444445,0.3858093126385809,0.1425720620842572,29,12,20,0.0856707096099853
2_Z1_cut_6-10_9043250327654,0.7448979591836735,0.8902439024390244,0.8111111111111111,0.6094619666048238,0.2884972170686456,73,25,9,0.1433718204498291
2_Z1_cut_7-10_9043250327654,0.8571428571428571,0.9026548672566371,0.8793103448275862,0.7792207792207791,0.33728036669213146,102,17,11,0.219921588897705
