method,precision,recall,f1-score,map50,map50-95,tp,fp,fn,segmentation_time
2_Z1_cut_13-10_9043250327654,0.35294117647058826,0.05555555555555555,0.096,0.03208556149732621,0.008021390374331552,6,11,102,14.667927742004396
2_Z1_cut_15-10_9043250327654,0.5555555555555556,0.11363636363636363,0.18867924528301888,0.10101010101010101,0.019696969696969692,10,8,78,15.930651903152466
2_Z1_cut_5-4_1913499344692005,0.75,0.15517241379310345,0.2571428571428572,0.13636363636363635,0.030303030303030304,9,3,49,17.198842763900757
2_Z1_cut_8-4_1913499344692005,0.6666666666666666,0.06451612903225806,0.1176470588235294,0.0606060606060606,0.025757575757575757,4,2,58,18.030757665634155
LadoOposto_850_Arv1_15m_cut_17-7_250883392226148,0.5,0.5294117647058824,0.5142857142857143,0.2727272727272727,0.056565656565656555,9,9,8,8.436880111694336
LadoOposto_850_Arv1_15m_cut_18-8_593639575971732,0.6470588235294118,0.3333333333333333,0.44,0.23529411764705885,0.07754010695187166,11,6,22,9.807940006256104
LadoOposto_850_Arv1_15m_cut_20-8_593639575971732,0.85,0.5666666666666667,0.68,0.4636363636363636,0.10363636363636364,17,3,13,10.54267930984497
LadoOposto_850_Arv1_15m_cut_27-8_593639575971732,0,0.0,0,0.0,0.0,0,0,1,11.652613401412964
LadoOposto_850_Arv1_15m_cut_28-8_593639575971732,0,0.0,0,0.0,0.0,0,0,1,12.386245489120483
LadoOposto_850_Arv1_15m_cut_5-8_593639575971732,0.631578947368421,0.4444444444444444,0.5217391304347826,0.28708133971291866,0.08038277511961722,12,7,15,13.761879920959473
LadoOposto_850_Arv1_15m_cut_9-8_593639575971732,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.2424242424242424,0.04646464646464646,6,3,12,15.100226163864136
