method,precision,recall,f1-score,map50,map50-95,tp,fp,fn,segmentation_time
2_Z1_cut_0_0-10_9043250327654,0.3050847457627119,0.1978021978021978,0.24,0.05546995377503852,0.011093990755007704,18,41,73,4.1795971393585205
2_Z1_cut_0_1280-10_9043250327654,0.3111111111111111,0.19444444444444445,0.23931623931623933,0.05656565656565657,0.011717171717171716,14,31,58,0.5231449604034424
2_Z1_cut_0_1600-10_9043250327654,0.5098039215686274,0.36619718309859156,0.42622950819672134,0.1853832442067736,0.02976827094474153,26,25,45,0.4768290519714355
2_Z1_cut_0_1920-10_9043250327654,0.4772727272727273,0.29577464788732394,0.3652173913043478,0.13016528925619836,0.030165289256198345,21,23,50,0.3981876373291015
2_Z1_cut_0_320-10_9043250327654,0.5102040816326531,0.3333333333333333,0.4032258064516129,0.1855287569573284,0.029128014842300553,25,24,50,0.4506676197052002
2_Z1_cut_0_640-10_9043250327654,0.3508771929824561,0.2857142857142857,0.31496062992125984,0.09569377990430622,0.018819776714513556,20,37,50,0.5136828422546387
2_Z1_cut_0_960-10_9043250327654,0.3076923076923077,0.20253164556962025,0.24427480916030536,0.08391608391608392,0.015034965034965037,16,36,63,0.5938088893890381
2_Z1_cut_320_0-10_9043250327654,0.4074074074074074,0.25882352941176473,0.3165467625899281,0.1111111111111111,0.01868686868686869,22,32,63,0.4339125156402588
2_Z1_cut_320_1280-10_9043250327654,0.3673469387755102,0.20454545454545456,0.26277372262773724,0.10018552875695734,0.01985157699443414,18,31,70,0.4521248340606689
2_Z1_cut_320_1600-10_9043250327654,0.4318181818181818,0.27941176470588236,0.33928571428571436,0.11776859504132231,0.02809917355371901,19,25,49,0.4870326519012451
2_Z1_cut_320_1920-10_9043250327654,0.36363636363636365,0.22857142857142856,0.2807017543859649,0.09917355371900825,0.015909090909090907,16,28,54,0.4819214344024658
2_Z1_cut_320_320-10_9043250327654,0.4,0.21176470588235294,0.27692307692307694,0.10909090909090911,0.017575757575757578,18,27,67,0.5352592468261719
2_Z1_cut_320_640-10_9043250327654,0.39344262295081966,0.25806451612903225,0.3116883116883117,0.10730253353204172,0.015499254843517135,24,37,69,0.4844396114349365
2_Z1_cut_320_960-10_9043250327654,0.41304347826086957,0.20652173913043478,0.2753623188405797,0.11264822134387352,0.01818181818181818,19,27,73,0.5140345096588135
