file,VMD_pred,VMD_gt,VMD_error,RSF_pred,RSF_gt,RSF_error,CoveragePercentage_pred,CoveragePercentage_gt,CoveragePercentage_error,NoDroplets_pred,NoDroplets_gt,NoDroplets_error,NoOverlappedDroplets_pred,NoOverlappedDroplets_gt,NoOverlappedDroplets_error,OverlappedDropletsPercentage_pred,OverlappedDropletsPercentage_gt,OverlappedDropletsPercentage_error
2_Z1_cut_0_0-10_9043250327654,241.65869013597447,203.46,0.18774545432013398,0.7886862658143047,0.79,0.001662954665437163,4.60302734375,3.79,0.214519088060686,107,132.0,0.1893939393939394,0,0.0,0,0.0,0.0,0
2_Z1_cut_0_1280-10_9043250327654,233.8862718964877,214.08,0.09251808621304039,0.6512547597624979,0.76,0.14308584241776592,2.8076171875,3.16,0.11151354825949371,74,103.0,0.2815533980582524,0,0.0,0,0.0,0.0,0
2_Z1_cut_0_1600-10_9043250327654,271.88726842561596,238.58,0.13960628898321714,0.9881943016134134,0.88,0.12294807001524247,3.5434570312499996,3.64,0.026522793612637516,74,96.0,0.22916666666666666,0,0.0,0,0.0,0.0,0
2_Z1_cut_0_1920-10_9043250327654,232.30058397326155,207.06,0.12189985498532575,0.7682005127848819,0.83,0.07445721351219045,2.7483836206896552,3.05,0.0988906161673261,67,94.0,0.2872340425531915,12,0.0,0,17.91044776119403,0.0,0
2_Z1_cut_0_320-10_9043250327654,244.69854158305435,220.88,0.10783475906851844,0.8488538581591313,0.83,0.022715491757989544,3.26025390625,3.15,0.03500124007936511,82,99.0,0.1717171717171717,0,0.0,0,0.0,0.0,0
2_Z1_cut_0_640-10_9043250327654,257.93491050795865,233.89,0.10280435464516936,0.9051913313367598,0.93,0.026675987809935776,3.853515625,3.83,0.006139849869451678,84,107.0,0.21495327102803738,0,0.0,0,0.0,0.0,0
2_Z1_cut_0_960-10_9043250327654,256.497936037367,225.85,0.13570040308774423,0.7345761738846888,0.89,0.17463351248911377,3.71240234375,3.87,0.04072290859173129,85,115.0,0.2608695652173913,0,0.0,0,0.0,0.0,0
2_Z1_cut_320_0-10_9043250327654,259.36392371736684,219.2,0.18322957900258605,1.265807856016725,0.97,0.30495655259456184,4.6884765625,3.85,0.21778612012987011,90,117.0,0.23076923076923078,0,0.0,0,0.0,0.0,0
2_Z1_cut_320_1280-10_9043250327654,241.65869013597447,225.85,0.06999641415087214,1.0088246415523239,0.97,0.04002540366218959,3.5761718749999996,3.88,0.07830621778350524,93,119.0,0.2184873949579832,0,0.0,0,0.0,0.0,0
2_Z1_cut_320_1600-10_9043250327654,259.36392371736684,224.2,0.15684176501947752,0.7789113194415196,0.95,0.18009334795629514,3.02978515625,3.13,0.032017521964856195,67,93.0,0.27956989247311825,0,0.0,0,0.0,0.0,0
2_Z1_cut_320_1920-10_9043250327654,252.13788011615972,222.55,0.1329493602163995,0.7607098397836136,0.69,0.10247802867190388,4.008081896551724,3.57,0.12271201584081916,82,98.0,0.16326530612244897,16,0.0,0,19.51219512195122,0.0,0
2_Z1_cut_320_320-10_9043250327654,230.70399746644816,212.35,0.08643276414621222,0.9729126223822806,0.75,0.2972168298430408,3.4521484375,3.28,0.05248427972560982,89,112.0,0.20535714285714285,0,0.0,0,0.0,0.0,0
2_Z1_cut_320_640-10_9043250327654,227.47720921525317,210.6,0.08013869522912238,0.7938510579274356,0.84,0.05493921675305282,4.00732421875,4.07,0.015399454852579922,107,130.0,0.17692307692307693,0,0.0,0,0.0,0.0,0
2_Z1_cut_320_960-10_9043250327654,215.8038290696531,196.06,0.1007029943366984,1.0672761290891293,0.8,0.33409516136141154,3.1445312500000004,3.15,0.0017361111111109419,91,119.0,0.23529411764705882,0,0.0,0,0.0,0.0,0
2_Z1_cut_640_0-4_1913499344692005,600.2055218639302,205.27,1.9239807174157464,0.7753097936290768,0.77,0.006895835881917919,4.535060975609756,4.12,0.10074295524508642,50,56.0,0.10714285714285714,0,0.0,0,0.0,0.0,0
2_Z1_cut_640_1280-4_1913499344692005,632.6721711000034,214.08,1.9553072267376839,0.8646548482900452,0.83,0.041752829265114796,6.39354674796748,5.5,0.16246304508499632,63,70.0,0.1,0,0.0,0,0.0,0.0,0
2_Z1_cut_640_1600-4_1913499344692005,596.0228540290195,205.27,1.9036042969212235,0.7599110400121809,0.63,0.20620800001933476,6.086128048780488,5.31,0.14616347434660792,66,73.0,0.0958904109589041,0,0.0,0,0.0,0.0,0
2_Z1_cut_640_1920-4_1913499344692005,624.713713777985,201.64,2.0981636271473176,0.8912441090495705,0.68,0.31065310154348597,6.768993552004486,4.54,0.49096774273226557,61,58.0,0.05172413793103448,16,0.0,0,26.229508196721312,0.0,0
2_Z1_cut_640_320-4_1913499344692005,678.4653178291804,220.88,2.07164667615529,0.7538388772881365,0.65,0.1597521189048253,6.340193089430894,4.55,0.3934490306441526,56,61.0,0.08196721311475409,0,0.0,0,0.0,0.0,0
2_Z1_cut_640_640-4_1913499344692005,583.2949208348493,194.17,2.0040424413392874,0.8749077530859866,0.64,0.36704336419685396,6.098831300813008,4.35,0.40203018409494445,68,64.0,0.0625,0,0.0,0,0.0,0.0,0
2_Z1_cut_640_960-4_1913499344692005,600.2055218639302,190.32,2.1536649950816007,0.7847758734516976,0.82,0.042956251888173556,4.883130081300813,3.95,0.23623546362045886,55,61.0,0.09836065573770492,0,0.0,0,0.0,0.0,0
