file,VMD_pred,VMD_gt,VMD_error,RSF_pred,RSF_gt,RSF_error,CoveragePercentage_pred,CoveragePercentage_gt,CoveragePercentage_error,NoDroplets_pred,NoDroplets_gt,NoDroplets_error,NoOverlappedDroplets_pred,NoOverlappedDroplets_gt,NoOverlappedDroplets_error,OverlappedDropletsPercentage_pred,OverlappedDropletsPercentage_gt,OverlappedDropletsPercentage_error
2_Z1_cut_0-10_9043250327654,219.202523652815,203.46,0.07737404724670688,3.7553497248485246,0.79,3.7536072466437016,5.93896484375,3.79,0.5670091936015831,152,132.0,0.15151515151515152,24,0.0,0,15.789473684210526,0.0,0
2_Z1_cut_1-10_9043250327654,214.0842492426863,219.2,0.023338279002343483,2.6080617029405118,0.97,1.688723405093311,4.72705078125,3.85,0.2278053977272727,127,117.0,0.08547008547008547,12,0.0,0,9.448818897637794,0.0,0
2_Z1_cut_10-10_9043250327654,171.95660700530578,196.06,0.12293886052582993,1.6208025174710956,0.8,1.0260031468388693,3.5283203125000004,3.15,0.12010168650793668,142,119.0,0.19327731092436976,12,0.0,0,8.450704225352112,0.0,0
2_Z1_cut_11-4_1913499344692005,552.4572227913659,190.32,1.9027806998285304,6.672680765772319,0.82,7.137415568015023,8.123729674796747,3.95,1.0566404239991765,69,61.0,0.13114754098360656,8,0.0,0,11.594202898550725,0.0,0
2_Z1_cut_12-10_9043250327654,197.93691916347933,214.08,0.07540676773412126,1.35388154992879,0.76,0.7814230920115657,3.20751953125,3.16,0.015037826344936663,122,103.0,0.18446601941747573,12,0.0,0,9.836065573770492,0.0,0
2_Z1_cut_13-10_9043250327654,212.35074501043127,225.85,0.05977088771117435,1.5686479509334588,0.97,0.6171628360138751,3.5732421875000004,3.88,0.07906129188144316,125,119.0,0.05042016806722689,20,0.0,0,16.0,0.0,0
2_Z1_cut_14-4_1913499344692005,636.6140919233935,214.08,1.9737205340218305,1.628306456241959,0.83,0.9618150075204325,8.673780487804878,5.5,0.5770509977827051,93,70.0,0.32857142857142857,72,0.0,0,77.41935483870968,0.0,0
2_Z1_cut_15-10_9043250327654,233.8862718964877,238.58,0.01967360257989904,1.2060487345573634,0.88,0.3705099256333675,3.2568359375,3.64,0.10526485233516486,109,96.0,0.13541666666666666,16,0.0,0,14.678899082568808,0.0,0
2_Z1_cut_16-10_9043250327654,229.09628451740434,224.2,0.021838913993774994,3.9330570417742856,0.95,3.1400600439729325,4.076171875,3.13,0.30229133386581475,100,93.0,0.07526881720430108,4,0.0,0,4.0,0.0,0
2_Z1_cut_17-4_1913499344692005,671.0501736792421,205.27,2.269109824520106,1.7032031779793853,0.63,1.7034971079037862,8.560721544715447,5.31,0.6121886148240014,75,73.0,0.0273972602739726,8,0.0,0,10.666666666666668,0.0,0
2_Z1_cut_18-10_9043250327654,184.40291726730828,207.06,0.10942278920453839,1.543082691353179,0.83,0.8591357727146736,2.773706896551724,3.05,0.09058790276992644,106,94.0,0.1276595744680851,8,0.0,0,7.547169811320755,0.0,0
2_Z1_cut_19-10_9043250327654,217.50981474049277,222.55,0.022647428710434687,1.6028254801575903,0.69,1.3229354784892615,3.9520474137931036,3.57,0.10701608229498706,111,98.0,0.1326530612244898,8,0.0,0,7.207207207207207,0.0,0
2_Z1_cut_2-4_1913499344692005,587.5682008267535,205.27,1.8624163337397255,1.2038585308576917,0.77,0.5634526374775216,7.5114329268292686,4.12,0.8231633317546768,75,56.0,0.3392857142857143,4,0.0,0,5.333333333333334,0.0,0
2_Z1_cut_20-4_1913499344692005,591.8106256006587,201.64,1.9349862408285,1.7289754246626796,0.68,1.5426109186215877,6.3120269133725815,4.54,0.39031429809968754,67,58.0,0.15517241379310345,8,0.0,0,11.940298507462686,0.0,0
2_Z1_cut_3-10_9043250327654,219.202523652815,220.88,0.007594514429486629,3.0790452379963043,0.83,2.7096930578268728,4.189453125,3.15,0.32998511904761907,107,99.0,0.08080808080808081,16,0.0,0,14.953271028037381,0.0,0
2_Z1_cut_4-10_9043250327654,225.84652719278336,212.35,0.06355793356620373,5.167629245313573,0.75,5.8901723270847635,6.414062500000001,3.28,0.955506859756098,113,112.0,0.008928571428571428,20,0.0,0,17.699115044247787,0.0,0
2_Z1_cut_5-4_1913499344692005,696.6579628858951,220.88,2.1540110597876456,4.348544291229853,0.65,5.69006814035362,7.216717479674798,4.55,0.5860917537746809,57,61.0,0.06557377049180328,8,0.0,0,14.035087719298245,0.0,0
2_Z1_cut_6-10_9043250327654,237.02582542051536,233.89,0.01340726589642727,1.742487803433763,0.93,0.8736427993911429,5.05615234375,3.83,0.32014421507832896,130,107.0,0.21495327102803738,28,0.0,0,21.53846153846154,0.0,0
2_Z1_cut_7-10_9043250327654,197.93691916347933,210.6,0.060128588967334584,1.3637690128555637,0.84,0.6235345391137664,4.05810546875,4.07,0.0029224892506143204,138,130.0,0.06153846153846154,8,0.0,0,5.797101449275362,0.0,0
2_Z1_cut_8-4_1913499344692005,570.2829883650471,194.17,1.937029347299002,1.8110404918299305,0.64,1.8297507684842667,7.351371951219512,4.35,0.6899705634987386,86,64.0,0.34375,12,0.0,0,13.953488372093023,0.0,0
2_Z1_cut_9-10_9043250327654,205.2703861671417,225.85,0.09112071655018059,1.2570788994913487,0.89,0.41244820167567264,3.26904296875,3.87,0.15528605458656333,124,115.0,0.0782608695652174,8,0.0,0,6.451612903225806,0.0,0
LadoOposto_850_Arv1_15m_cut_0-8_593639575971732,269.1546637108562,254.43,0.05787314275382695,1.2595285524756603,0.78,0.6147801954816158,1.0380859375,0.96,0.08133951822916671,21,13.0,0.6153846153846154,4,0.0,0,19.047619047619047,0.0,0
LadoOposto_850_Arv1_15m_cut_1-8_593639575971732,367.8022793831702,373.6,0.015518524134983535,1.1401862901726987,0.78,0.46177729509320337,3.38720703125,4.31,0.21410509715777254,34,33.0,0.030303030303030304,4,0.0,0,11.76470588235294,0.0,0
