file,VMD_pred,VMD_gt,VMD_error,RSF_pred,RSF_gt,RSF_error,CoveragePercentage_pred,CoveragePercentage_gt,CoveragePercentage_error,NoDroplets_pred,NoDroplets_gt,NoDroplets_error,NoOverlappedDroplets_pred,NoOverlappedDroplets_gt,NoOverlappedDroplets_error,OverlappedDropletsPercentage_pred,OverlappedDropletsPercentage_gt,OverlappedDropletsPercentage_error
2_Z1_cut_13-10_9043250327654,207.06317467026074,225.85,0.08318275550028452,1.6908612479516805,0.97,0.743155925723382,0.5576171875,3.88,0.8562842300257731,17,119.0,0.8571428571428571,0,0.0,0,0.0,0.0,0
2_Z1_cut_15-10_9043250327654,222.54932062444445,238.58,0.06719205036279471,1.2202998577652102,0.88,0.3867043838241025,0.6220703125,3.64,0.8291015625,18,96.0,0.8125,0,0.0,0,0.0,0.0,0
2_Z1_cut_5-4_1913499344692005,648.2960588254502,220.88,1.935060027279293,1.4665999226122397,0.65,1.2563075732495994,1.7352642276422765,4.55,0.6186232466720272,14,61.0,0.7704918032786885,0,0.0,0,0.0,0.0,0
2_Z1_cut_8-4_1913499344692005,830.9469184283531,194.17,3.2794814772022103,1.0742549989307009,0.64,0.67852343582922,1.1648882113821137,4.35,0.7322096065788244,7,64.0,0.890625,0,0.0,0,0.0,0.0,0
LadoOposto_850_Arv1_15m_cut_17-7_250883392226148,11152.232149843943,320.69,33.775740278287266,0.9665523443417187,0.8,0.20819043042714827,71.62789351851852,3.45,19.76170826623725,20,26.0,0.23076923076923078,68,0.0,0,340.0,0.0,0
LadoOposto_850_Arv1_15m_cut_18-8_593639575971732,446.7563700455159,315.64,0.415398460415397,0.628157024933505,0.79,0.2048645254006266,1.89599609375,3.79,0.49973717843007914,17,39.0,0.5641025641025641,0,0.0,0,0.0,0.0,0
LadoOposto_850_Arv1_15m_cut_20-8_593639575971732,342.83680068480004,323.54,0.05964270471904561,0.8358542777561047,0.82,0.019334485068420375,1.71826171875,3.55,0.5159826144366197,22,33.0,0.3333333333333333,0,0.0,0,0.0,0.0,0
LadoOposto_850_Arv1_15m_cut_27-8_593639575971732,0,100.5,1.0,0,0.0,nan,0,0.69,1.0,0,1.0,1.0,0,0.0,0,0,0.0,0
LadoOposto_850_Arv1_15m_cut_28-8_593639575971732,0,179.27,1.0,0,0.0,nan,0,2.19,1.0,0,1.0,1.0,0,0.0,0,0,0.0,0
LadoOposto_850_Arv1_15m_cut_5-8_593639575971732,9357.900039880435,363.0,24.779338952838664,0.9666191466117219,0.62,0.5590631396963256,60.14013671875,4.28,13.051433812792055,20,34.0,0.4117647058823529,52,0.0,0,260.0,0.0,0
LadoOposto_850_Arv1_15m_cut_9-8_593639575971732,339.5870894215959,303.03,0.12063851572978236,1.144155309275981,0.54,1.1188061282888537,1.01123046875,2.04,0.5042987898284313,11,21.0,0.47619047619047616,0,0.0,0,0.0,0.0,0
