file,VMD_pred,VMD_gt,VMD_error,RSF_pred,RSF_gt,RSF_error,CoveragePercentage_pred,CoveragePercentage_gt,CoveragePercentage_error,NoDroplets_pred,NoDroplets_gt,NoDroplets_error,NoOverlappedDroplets_pred,NoOverlappedDroplets_gt,NoOverlappedDroplets_error,OverlappedDropletsPercentage_pred,OverlappedDropletsPercentage_gt,OverlappedDropletsPercentage_error
2_Z1_cut_13-10_9043250327654,167.60256847118518,225.85,0.25790317258718093,2.1555542785985287,0.97,1.222220905771679,1.1875,3.88,0.6939432989690721,52,119.0,0.5630252100840336,0,0.0,0,0.0,0.0,0
2_Z1_cut_15-10_9043250327654,138.6358487199655,238.58,0.4189125294661518,1.2076513010829593,0.88,0.37233102395790824,0.9204101562500001,3.64,0.7471400669642857,60,96.0,0.375,16,0.0,0,26.666666666666668,0.0,0
2_Z1_cut_5-4_1913499344692005,199.7955225605649,220.88,0.0954567069876634,1.826345851709165,0.65,1.8097628487833306,1.4151422764227641,4.55,0.6889797194675243,29,61.0,0.5245901639344263,0,0.0,0,0.0,0.0,0
2_Z1_cut_8-4_1913499344692005,115.35199873322411,194.17,0.4059226516288607,4.269696520838742,0.64,5.671400813810534,1.3770325203252034,4.35,0.6834407999252406,29,64.0,0.546875,12,0.0,0,41.37931034482759,0.0,0
LadoOposto_850_Arv1_15m_cut_12-8_593639575971732,164.586126400732,389.84,0.5778110855716909,2.495299498728875,0.47,4.309147869635904,0.8183593750000001,3.36,0.7564406622023809,26,23.0,0.13043478260869565,16,0.0,0,61.53846153846154,0.0,0
LadoOposto_850_Arv1_15m_cut_17-7_250883392226148,243.36721564732994,320.69,0.24111379947198247,1.2253645345041173,0.8,0.5317056681301465,1.005787037037037,3.45,0.7084675254965109,17,26.0,0.34615384615384615,16,0.0,0,94.11764705882352,0.0,0
LadoOposto_850_Arv1_15m_cut_18-8_593639575971732,226.7651071865733,315.64,0.28157043724948266,1.1833966283591661,0.79,0.49797041564451405,0.8115234375,3.79,0.7858777209762533,16,39.0,0.5897435897435898,12,0.0,0,75.0,0.0,0
LadoOposto_850_Arv1_15m_cut_20-8_593639575971732,174.0761151577992,323.54,0.46196416159424125,1.0267539579897407,0.82,0.2521389731582204,0.759765625,3.55,0.785981514084507,27,33.0,0.18181818181818182,8,0.0,0,29.629629629629626,0.0,0
LadoOposto_850_Arv1_15m_cut_27-8_593639575971732,0,100.5,1.0,0,0.0,nan,0,0.69,1.0,0,1.0,1.0,0,0.0,0,0,0.0,0
LadoOposto_850_Arv1_15m_cut_28-8_593639575971732,0,179.27,1.0,0,0.0,nan,0,2.19,1.0,0,1.0,1.0,0,0.0,0,0,0.0,0
LadoOposto_850_Arv1_15m_cut_5-8_593639575971732,226.7651071865733,363.0,0.3753027350232141,0.8317311898623776,0.62,0.3415019191328671,1.234375,4.28,0.7115946261682243,24,34.0,0.29411764705882354,12,0.0,0,50.0,0.0,0
LadoOposto_850_Arv1_15m_cut_9-8_593639575971732,161.77248101468084,303.03,0.466150278801832,1.9250765854975878,0.54,2.5649566398103474,0.41357421875000006,2.04,0.7972675398284313,11,21.0,0.47619047619047616,0,0.0,0,0.0,0.0,0
