method,precision,recall,f1-score,map50,map50-95,tp,fp,fn,segmentation_time
100,0.9751461988304093,0.8707571801566579,0.9199999999999999,0.797846889952153,0.29909622541201486,667,17,99,87.7929892539978
108,0.9199372056514914,0.9127725856697819,0.9163408913213449,0.8363065505922649,0.24576376004947434,1758,153,168,90.46524667739868
109,0.9287939474855362,0.8824524312896406,0.9050303555941024,0.7599223206699842,0.23775134522798075,2087,160,278,93.9160373210907
11,0.7959313413858868,0.6967167501391207,0.743026706231454,0.5065017627001098,0.11899092642894296,1252,321,545,48.21151304244995
111,0.9438444924406048,0.747008547008547,0.833969465648855,0.6864323581386217,0.2730885529157668,2185,130,740,93.5504138469696
112,0.9684418145956607,0.7893890675241158,0.8697962798937111,0.704321319705935,0.31734803657880584,982,32,262,88.4147584438324
113,0.9566294919454771,0.7946474523932063,0.8681473151532189,0.6957305395967106,0.30499605722654055,1544,70,399,89.33617448806763
116,0.9506346967559943,0.7910798122065728,0.8635490070467647,0.6913706885498141,0.29079369149891016,2022,105,534,93.01913118362428
118,0.9568081991215227,0.8220125786163522,0.8843031123139378,0.7828430720085187,0.31319712498336216,1307,59,283,88.22804880142212
120,0.9777227722772277,0.8972174900624645,0.9357417826473201,0.7999549954995498,0.3763613861386138,1580,36,181,90.73012018203735
134,0.9907514450867052,0.9417582417582417,0.9656338028169015,0.9006831318970047,0.4545874934314241,857,8,53,86.8185544013977
138,0.9784747847478474,0.8790055248618784,0.9260768335273574,0.800570278430057,0.3988594431398859,1591,35,219,90.51159405708312
140,0.9382436260623229,0.7617295308187673,0.8408225437928407,0.6823590007725985,0.30991501416430595,1656,109,518,90.26453256607056
142,0.9534510433386838,0.7615384615384615,0.8467569493941554,0.6934189406099519,0.3243397052385817,1782,87,558,92.40950989723206
145,0.9744952178533475,0.8530232558139534,0.9097222222222222,0.7973142691527388,0.4009177857211864,917,24,158,87.23894047737122
15,0.7733199598796389,0.6663785652549697,0.7158774373259054,0.4921127017415884,0.10836600711224584,1542,452,772,50.52529716491699
150,0.8268190018039687,0.5929279862009487,0.6906077348066298,0.45099218280216474,0.12645274148581426,1375,288,944,50.66011333465576
151,0.8823970037453184,0.6490358126721764,0.747936507936508,0.5615253660197481,0.1624174327545114,1178,157,637,48.89124774932861
155,0.9370629370629371,0.5663567202028741,0.7060063224446786,0.5111252383979656,0.18528925619834707,670,45,513,48.51236605644226
162,0.8234398782343988,0.7281292059219381,0.7728571428571429,0.5988653659886537,0.13526359485263595,1082,232,404,49.40251994132996
165,0.7599153886832364,0.7327893931667516,0.7461059190031153,0.5526657372241719,0.11508581318205853,1437,454,524,51.06773042678833
17,0.7453683757001293,0.6794972505891594,0.7109102116293405,0.4743253299909913,0.10348595824683719,1730,591,816,50.99961972236633
171,0.915929203539823,0.7116895874263262,0.8009950248756219,0.666130329847144,0.2045397080795311,1449,133,587,49.728278398513794
186,0.968466060929984,0.8365650969529086,0.8976963091404508,0.7923813225790778,0.36330110295903983,1812,59,354,50.31130480766296
19,0.8166295471417966,0.6870705808869456,0.746268656716418,0.5196733481811433,0.12661807383410945,1100,247,501,50.69399070739746
198,0.9338885996876627,0.6842105263157895,0.789786484701739,0.5942927452557853,0.2568169987222565,1794,127,828,50.150940895080566
199,0.9432624113475178,0.6838046272493573,0.7928464977645305,0.6002578981302386,0.2561803444782168,1862,112,861,49.79316806793213
2,0.7916376306620209,0.6647162083089526,0.7226463104325699,0.503769401330377,0.13315806145074438,1136,299,573,49.578396797180176
200,0.942501481920569,0.7047872340425532,0.806492518387015,0.6854556232149593,0.21516408902301015,1590,97,666,77.24951601028442
205,0.9445644348452124,0.7236624379481522,0.8194878201124298,0.6869559526146999,0.21971333202434717,1312,77,501,74.7202730178833
210,0.9354518371400199,0.7461386138613861,0.8301387970918706,0.6803286088291054,0.21355060034305318,1884,130,641,78.45127511024475
22,0.8551378446115289,0.6960424316605467,0.7674313990103465,0.5441786283891547,0.1565094554568239,1706,289,745,49.40547275543213
224,0.949516648764769,0.8781456953642384,0.9124376397729228,0.7768772580802655,0.2536210656511408,2652,141,368,78.03594899177551
226,0.9664694280078896,0.9380982769623485,0.9520725388601037,0.8786085709162634,0.3048472894626741,1470,51,97,76.12909078598022
230,0.9546174142480212,0.74413821472645,0.8363384188626907,0.6942672103621972,0.25927560566082997,1809,86,622,76.6343092918396
233,0.9784735812133072,0.8237232289950577,0.8944543828264759,0.8005692937199786,0.3003113325031133,1000,22,214,73.90624904632568
250,0.9601092896174863,0.916058394160584,0.9375667022411953,0.8728266269249876,0.29116741182314954,1757,73,161,91.71814012527466
253,0.9550913838120104,0.9081429990069514,0.931025706286587,0.8682648943745549,0.2880797531450273,1829,86,185,90.0284698009491
255,0.9475524475524476,0.9052192066805845,0.9259021994448003,0.8614113159567706,0.272770979020979,2168,120,227,92.45695066452026
257,0.9694055944055944,0.9112571898110107,0.939432443879712,0.881277813095995,0.3031468531468532,1109,35,108,87.50699496269226
260,0.9694189602446484,0.8161688980432544,0.8862175006989098,0.7931609674728942,0.341729218793439,1585,50,357,91.43623423576356
263,0.9727540500736377,0.8297738693467337,0.895593220338983,0.7958896773329762,0.3554023296291337,1321,37,271,89.74614691734314
265,0.9502093997208003,0.7964118564742589,0.866539359219181,0.6910613816151275,0.30146791319429755,2042,107,522,93.3821828365326
272,0.9811443433029909,0.9112318840579711,0.9448966812773951,0.8919494030027189,0.3982917602553494,1509,29,147,88.31862211227417
273,0.9742268041237113,0.8910891089108911,0.9308052203890668,0.7970946579194002,0.37806935332708524,1890,50,231,92.44060182571413
276,0.9912536443148688,0.96045197740113,0.9756097560975611,0.9011396766498808,0.49275112642459584,680,6,28,84.83788990974426
291,0.9340077071290944,0.7774659182036888,0.8485776805251641,0.6792783324575232,0.3278770362585392,1939,137,555,91.34036922454834
293,0.9223518850987432,0.7302771855010661,0.8151527171757239,0.6708013709809042,0.3125836461563571,2055,173,759,90.6556613445282
