method,precision,recall,f1-score,map50,map50-95,tp,fp,fn,segmentation_time
100,0.9334239130434783,0.9359673024523161,0.9346938775510205,0.8485671936758894,0.4611413043478262,687,49,47,4.7583770751953125
108,0.8800448430493274,0.8418230563002681,0.8605097286927925,0.7200366897676315,0.3649510803098247,1570,214,295,11.467185020446776
109,0.8614718614718615,0.8006258381761288,0.829935125115848,0.7048406139315231,0.317626481262845,1791,288,446,12.90900993347168
11,0.8210955710955711,0.7780231916068471,0.798979302523391,0.5971604153422335,0.25327399872854417,1409,307,402,5.623842000961304
111,0.8130004710315591,0.6493604213694507,0.7220246810290734,0.5173639361109922,0.24414422129919067,1726,397,932,11.97143006324768
112,0.9076782449725777,0.8451063829787234,0.875275451740855,0.7426458367957453,0.40515206913744384,993,101,182,6.860434293746948
113,0.8711111111111111,0.7580110497237569,0.8106351550960118,0.6335353535353535,0.3331197691197691,1372,203,438,8.30427861213684
116,0.8368179500254972,0.700982486117044,0.7629009762900977,0.6085948727458161,0.28425664086041447,1641,320,700,10.14335870742798
118,0.8874458874458875,0.8238446081714669,0.8544633553317125,0.7260920897284534,0.3839564475928112,1230,156,263,7.814723968505859
120,0.8613652357494722,0.765,0.8103277060575969,0.6264474441814344,0.35608726249120337,1224,197,376,8.323700904846191
134,0.9113300492610837,0.8747044917257684,0.8926417370325693,0.7456336766681595,0.47654500671742045,740,72,106,5.185778617858887
138,0.8501055594651654,0.7401960784313726,0.7913527677694071,0.6182585887019385,0.341494466125008,1208,213,424,8.286076307296753
140,0.8200962695547533,0.6869959677419355,0.7476686780032913,0.5218794442621157,0.27195602231703314,1363,299,621,8.687410116195679
142,0.8126094570928196,0.6609686609686609,0.7289866457187746,0.517115109059067,0.26353553043570555,1392,321,714,9.128393650054932
145,0.9085037674919269,0.8323471400394478,0.8687596500257334,0.7433212643115765,0.42970936490850387,844,85,170,5.6038126945495605
15,0.7993358633776091,0.7191634656423389,0.7571332284879803,0.5813351733655339,0.22875194065896154,1685,423,658,5.916035413742065
150,0.8343915343915344,0.6874455100261552,0.7538240917782026,0.5309764309764309,0.2665319865319865,1577,313,717,4.284658432006836
151,0.8599369085173502,0.7788571428571428,0.8173913043478261,0.625408660739891,0.3462804703183252,1363,222,387,4.684841871261597
155,0.9123951537744641,0.86331569664903,0.8871771635704577,0.7465051258154706,0.4233584681860544,979,94,155,3.036562204360962
162,0.8629476584022039,0.8248847926267281,0.8434870414002019,0.7060480841472577,0.28850488354620585,1253,199,266,4.162116289138794
165,0.815595363540569,0.749636803874092,0.781226343679031,0.5931602643931412,0.25720854487977773,1548,350,517,4.718431949615479
17,0.7379491673970202,0.6632532493107522,0.698610246836756,0.46960401561628556,0.19239502828459884,1684,598,855,6.274844408035278
171,0.8511426806670784,0.7147302904564315,0.7769946433605864,0.6190128586669661,0.3281599191420069,1378,241,550,3.621897220611572
186,0.689327485380117,0.5238888888888888,0.5953282828282828,0.37599681020733655,0.19058346624136097,943,425,857,4.483237504959106
19,0.8557567917205692,0.8141538461538461,0.8344370860927153,0.7001646477713748,0.2773903328237093,1323,223,302,4.773800373077393
198,0.7066666666666667,0.45907319185794715,0.556576529272775,0.3212121212121212,0.1552121212121212,1060,440,1249,4.153545618057251
199,0.7020997375328084,0.4493910121797564,0.5480153649167734,0.31913624433309473,0.14997613934621806,1070,454,1311,3.923135757446289
2,0.8796238244514106,0.7725770925110133,0.8226326590442686,0.6397264177828441,0.33264747791393556,1403,192,413,3.5549540519714355
200,0.8747368421052631,0.7858156028368795,0.8278953922789539,0.6361722488038277,0.385444976076555,1662,238,453,7.372507333755493
205,0.883270911360799,0.830886670581327,0.8562783661119515,0.7226762002042901,0.4322721598002497,1415,187,288,6.407054901123047
210,0.8465963566634708,0.7563169164882227,0.7989142727889618,0.6157064412097969,0.3619715854615184,1766,320,569,8.538822412490845
22,0.8129952456418383,0.6450125733445097,0.7193269455480252,0.517360610862988,0.25200979685924213,1539,354,847,5.056200981140137
224,0.7766002543450614,0.6955201214882308,0.7338273583016222,0.4942001618559482,0.29285136228756403,1832,527,802,10.208233833312988
226,0.8821428571428571,0.8499655884377151,0.8657553452506134,0.7217532467532467,0.4724090909090909,1235,165,218,6.44674015045166
230,0.8345473465140478,0.7294224647567076,0.7784518320795922,0.6069435247374894,0.3554015703339325,1604,318,595,10.062580347061155
233,0.9267161410018553,0.8634399308556612,0.8939597315436242,0.7582222971833361,0.5021420138303255,999,79,158,5.047903299331665
250,0.8717217787913341,0.8657984144960362,0.86875,0.7132269099201825,0.37704467710168965,1529,225,237,8.436921119689941
253,0.8707896189950304,0.845123258306538,0.8577644819146042,0.7124642337232067,0.36404296973043515,1577,234,289,8.561177492141724
255,0.8560533841754051,0.8115680072300046,0.8332173509626537,0.7004073143253314,0.3355793396308172,1796,302,417,10.549530982971191
257,0.9288224956063269,0.9026473099914603,0.9155478562148116,0.8443840869148425,0.4142035468924748,1057,81,114,5.655955076217651
260,0.839375,0.7740634005763689,0.8053973013493253,0.6104545454545455,0.3288181818181818,1343,257,392,9.07668948173523
263,0.8660251665433013,0.8080110497237569,0.8360128617363346,0.7085660453536101,0.37879012179530314,1170,181,278,7.455530881881714
265,0.8140601120733572,0.6929748482220295,0.7486530803466853,0.5180382531375909,0.2701199462788867,1598,365,708,11.223886013031006
272,0.8545845272206304,0.8049932523616734,0.8290479499652537,0.6992055222714249,0.3806785621255535,1193,203,289,8.357700824737549
273,0.825014679976512,0.7501334757074213,0.7857941834451901,0.6000106763465541,0.326391928682005,1405,298,468,10.091339349746704
276,0.9124423963133641,0.9041095890410958,0.908256880733945,0.8294930875576039,0.5230135455941908,594,57,63,4.234952211380005
291,0.8043237250554324,0.6369622475856014,0.7109260166585009,0.5118423704898206,0.23894880064503124,1451,353,827,9.985121488571169
293,0.7806417674907943,0.5774319066147859,0.6638335942742115,0.4258046004495242,0.20708717899670032,1484,417,1086,10.307987213134766
295,0.7481343283582089,0.5442823210044113,0.6301316047927715,0.4080732700135685,0.1811143147896879,1604,540,1343,11.198833227157593
298,0.8119139547710976,0.6375054135989606,0.7142163998059194,0.5166725166725167,0.2433034147319862,1472,341,837,10.293010473251345
35,0.7661290322580645,0.6236323851203501,0.6875753920386007,0.4875366568914956,0.2605979146301727,855,261,516,4.388385534286499
40,0.8077839555202542,0.5621890547263682,0.6629726205997392,0.440609430283775,0.23520831829012923,1017,242,792,4.375179767608643
61,0.8532901833872708,0.7576628352490421,0.8026382546930493,0.620574678827106,0.36837305089732275,1582,272,506,7.614338636398315
68,0.8912751677852349,0.8147239263803681,0.8512820512820513,0.7292251372788285,0.4153081147040879,1328,162,302,6.540981769561768
79,0.8645390070921986,0.8230925050641459,0.8433068142511242,0.7073500967117988,0.4274532559638941,1219,191,262,6.705903053283691
80,0.9246901811248809,0.8546255506607929,0.8882783882783883,0.7565646936476298,0.475656469364763,970,79,165,4.911868095397949
88,0.8883582089552239,0.7611253196930946,0.8198347107438017,0.646078697421981,0.3903012211668928,1488,187,467,7.750819206237793
90,0.9027895181741336,0.850996015936255,0.8761279737489746,0.7386459694152002,0.4667640052255437,1068,115,187,6.992189884185791
92,0.8512396694214877,0.7713133640552995,0.8093079480205501,0.6190833959429001,0.37904409639946823,1339,234,397,8.023487091064453
93,0.7804995196926032,0.6734355573974306,0.7230255839822024,0.4966815125316566,0.27451314295694695,1625,457,788,10.160657167434692
