method,precision,recall,f1-score,map50,map50-95,tp,fp,fn,segmentation_time
100,0.9774266365688488,0.5601552393272963,0.7121710526315789,0.5331418017648266,0.2854093987276832,433,10,340,254.03429436683655
108,0.9620034542314335,0.2707826932425863,0.4226100151745068,0.2623645784267546,0.11662741403674044,557,22,1500,229.0342082977295
109,0.9774859287054409,0.20732192598487864,0.34208798424162834,0.26658707146512023,0.10699300699300698,521,12,1992,209.66626715660095
111,0.9524680073126143,0.17200396170353252,0.2913870246085011,0.17317600132956623,0.08524181485790262,521,26,2508,209.12203073501587
112,0.9458874458874459,0.34932054356514786,0.5102159953298306,0.34395907123179853,0.16977567886658798,437,25,814,210.48437905311584
113,0.9506903353057199,0.24245472837022133,0.38637274549098194,0.2592791823561054,0.11895284202976511,482,25,1506,212.9765739440918
116,0.9651567944250871,0.20976902688375615,0.34463452566096425,0.26322458029775103,0.11382641748495408,554,20,2087,228.60515189170837
118,0.9329140461215933,0.2752009894867038,0.42502387774594086,0.25443110348770726,0.13091290261101582,445,32,1172,214.24651885032654
11,0.8452830188679246,0.10784785748675975,0.19128949615713065,0.15368782161234992,0.04576329331046312,224,41,1853,103.50754690170288
120,0.9443339960238568,0.26851328434143584,0.4181338028169013,0.2575456352792337,0.13858666184709922,475,28,1294,215.36771488189697
134,0.9556025369978859,0.5039018952062431,0.6598540145985402,0.5212377474533922,0.27241975783201994,452,21,445,226.76386547088623
138,0.9444444444444444,0.29051819184123484,0.4443507588532884,0.25757575757575757,0.13522319973932878,527,31,1287,240.4302966594696
140,0.9412915851272016,0.2134931202840657,0.3480463096960926,0.25671588685287317,0.10138765344244796,481,30,1772,209.91206407546997
142,0.9504761904761905,0.20783007080383173,0.34107997265892004,0.25922077922077924,0.10806926406926406,499,26,1902,215.55889320373535
145,0.9474835886214442,0.4027906976744186,0.5652741514360313,0.43067435846429286,0.1899144619057092,433,24,642,220.03586173057556
150,0.899641577060932,0.09732454439705313,0.17564730580825755,0.08178559791463018,0.03779732811990876,251,28,2328,103.69547128677368
151,0.8996282527881041,0.12442159383033419,0.21860885275519423,0.16356877323420074,0.05697870902331868,242,27,1703,104.30312395095825
155,0.9213483146067416,0.20381110190555096,0.3337856173677069,0.2512768130745659,0.08055839291794349,246,21,961,105.60078048706055
15,0.8678571428571429,0.08904360571637962,0.16151545363908276,0.0788961038961039,0.03337662337662337,243,37,2486,106.44243454933167
162,0.8549618320610687,0.13333333333333333,0.23069001029866118,0.1554476058292852,0.0517002081887578,224,38,1456,107.83680582046509
165,0.8467432950191571,0.09305263157894737,0.1676783004552352,0.07697666318355974,0.02939742250087078,221,40,2154,106.3972852230072
171,0.9333333333333333,0.13687150837988826,0.23873325213154686,0.1696969696969697,0.060202020202020215,294,21,1854,117.27172350883484
17,0.8666666666666667,0.08820678513731825,0.16011730205278593,0.0787878787878788,0.03125541125541125,273,42,2822,117.99258327484131
186,0.9424460431654677,0.11860570393843368,0.21069561720948934,0.17135382603008503,0.06294964028776978,262,16,1947,100.44007515907288
198,0.9,0.0926130099228225,0.16794401866044653,0.08181818181818182,0.03811688311688312,252,28,2469,101.82194137573242
199,0.9321428571428572,0.09268465909090909,0.1686046511627907,0.08474025974025974,0.0424025974025974,261,19,2555,102.73030161857605
19,0.8571428571428571,0.1497504159733777,0.254957507082153,0.15584415584415584,0.052842712842712844,270,45,1533,118.36301350593567
200,0.9742857142857143,0.1454778156996587,0.25315515961395696,0.17714285714285716,0.0754025974025974,341,9,2003,132.43902015686035
205,0.9428571428571428,0.17647058823529413,0.2972972972972973,0.17142857142857143,0.07955844155844156,330,20,1540,133.48432445526123
210,0.9140401146131805,0.12152380952380952,0.21452589105581704,0.166189111747851,0.06011982287053921,319,30,2306,134.9027488231659
224,0.9111747851002865,0.10159744408945687,0.1828111526300661,0.16566814274550665,0.04618390205782756,318,31,2812,135.44266963005066
226,0.96875,0.23163138231631383,0.37386934673366834,0.26420454545454547,0.10989583333333333,372,12,1234,152.13302206993103
22,0.925,0.09525560867966164,0.1727242414138046,0.08409090909090909,0.03922077922077922,259,21,2460,101.61240911483765
230,0.9257142857142857,0.13006824568446407,0.22808870116156285,0.1683116883116883,0.07407792207792208,324,26,2167,135.51006245613098
233,0.930635838150289,0.26567656765676567,0.41335044929396664,0.2538097740409879,0.10706778770362586,322,24,890,136.37516164779663
250,0.9762376237623762,0.2491157150075796,0.3969404186795491,0.26624662466246624,0.10766876687668767,493,12,1486,219.2070083618164
253,0.9269776876267748,0.22141472868217055,0.3574501368791552,0.25281209662548404,0.08912041305550435,457,36,1607,220.7585744857788
255,0.9409660107334525,0.2119258662369057,0.3459388359092404,0.25662709383639615,0.09089282810213042,526,33,1956,221.72047924995422
257,0.9591397849462365,0.36171938361719386,0.5253239104829212,0.3487781036168133,0.1512023460410557,446,19,787,222.5521330833435
260,0.9342629482071713,0.23940786115364981,0.3811458756603007,0.2547989858746831,0.11642520825787758,469,33,1490,225.3553273677826
263,0.9639278557114228,0.2985723153320919,0.4559241706161138,0.2628894151940244,0.1337584259427947,481,18,1130,223.8647792339325
265,0.920388349514563,0.18022813688212927,0.3014308426073132,0.1673433362753751,0.07687555163283319,474,41,2156,227.0046842098236
272,0.9323144104803494,0.2581620314389359,0.4043560606060606,0.2542675664946408,0.11409289400555778,427,31,1227,226.0613305568695
273,0.9533980582524272,0.2286911970190964,0.36889556724267464,0.2600176522506619,0.11503971756398941,491,24,1656,226.04033589363098
276,0.96875,0.62,0.7560975609756097,0.6164772727272727,0.32110389610389606,434,14,266,237.39903283119202
291,0.9208103130755064,0.19319938176197837,0.3193867773874162,0.16742005692281936,0.0786037167252637,500,43,2088,237.80598974227905
