method,precision,recall,f1-score,map50,map50-95,tp,fp,fn,segmentation_time
100,0.49037037037037035,0.7539863325740319,0.5942549371633752,0.35663299663299664,0.10018855218855219,331,344,108,48.928083419799805
108,0.4652855543113102,0.7393238434163701,0.5711340206185567,0.33838949404458923,0.09358648070854117,831,955,293,45.375202655792236
109,0.4782405240992045,0.724822695035461,0.5762616295460953,0.3478112902539669,0.0864976390011486,1022,1115,388,47.03756093978882
111,0.6421404682274248,0.6984993178717599,0.6691352646482248,0.40863484341745215,0.14571678321678322,1536,856,663,51.295600175857544
112,0.6577946768060836,0.7554585152838428,0.7032520325203253,0.47839612858624264,0.17488765986864846,692,360,224,56.14678382873535
113,0.6552357624004899,0.7379310344827587,0.6941290950373012,0.476535099927629,0.16958191838779713,1070,563,380,54.13783931732178
116,0.6616961789375583,0.7338501291989664,0.6959078657191865,0.48123358468186056,0.1695585867999661,1420,726,515,58.06805348396301
118,0.6584122359796067,0.7661016949152543,0.7081864473168822,0.4788452625306231,0.17317751440111237,904,469,276,56.7863073348999
11,0.21935483870967742,0.14655172413793102,0.17571059431524547,0.03988269794721408,0.008621700879765395,204,726,1188,27.210836172103882
120,0.7234669811320755,0.9239457831325302,0.8115079365079365,0.6576972555746141,0.23299742710120067,1227,469,101,59.2619264125824
134,0.8470191226096738,0.9629156010230179,0.9012567324955116,0.7700173841906125,0.3262501278249309,753,136,29,57.77160906791687
138,0.7948424068767909,0.9327505043712172,0.8582920792079207,0.7225840062516281,0.2759885386819484,1387,358,100,59.58436131477356
140,0.7174603174603175,0.7753001715265866,0.7452596867271228,0.5217893217893218,0.2120442520442521,1356,534,393,59.824400901794434
142,0.6886138613861386,0.7736373748609566,0.7286537454164485,0.5008100810081008,0.2018901890189019,1391,629,407,56.498908281326294
145,0.7494802494802495,0.8403263403263403,0.7923076923076924,0.6132111132111132,0.2616329616329616,721,241,137,54.59408521652222
150,0.40869565217391307,0.3149078726968174,0.35572374645222327,0.14861660079051384,0.03424242424242424,564,816,1227,27.69145178794861
151,0.35931174089068824,0.26512322628827484,0.30511388053287497,0.09799411115200587,0.024953993375046005,355,633,984,27.729788303375244
155,0.4442771084337349,0.34342258440046564,0.3873933026920551,0.1615553121577218,0.03871851040525739,295,369,564,26.82096290588379
15,0.2901049475262369,0.21275426058273778,0.24548049476688868,0.07911953114351915,0.015871609649720595,387,947,1432,27.374959707260132
162,0.25380710659898476,0.17699115044247787,0.20855057351407713,0.046146746654360866,0.010406091370558377,200,588,930,26.94280982017517
165,0.24033149171270718,0.1641509433962264,0.19506726457399104,0.04369663485685585,0.01028796249790725,261,825,1329,26.975780487060547
171,0.42825768667642755,0.4214697406340058,0.42483660130718953,0.1946625848529216,0.045454545454545456,585,781,803,28.04434037208557
17,0.28680027643400136,0.19714964370546317,0.23367117117117117,0.05214550480618207,0.013438462021737766,415,1032,1690,28.894400119781494
186,0.6137828458106098,0.8561549100968188,0.7149870054865725,0.5021859647541352,0.15755622661919141,1238,779,208,26.67747688293457
198,0.564461612747465,0.6329182458040065,0.5967330270546197,0.35920284447565953,0.10473640314297002,1169,902,678,29.259188652038574
199,0.5341819896275342,0.6134271792095289,0.5710685483870968,0.33993399339933994,0.09233209035189233,1133,988,714,27.91568374633789
19,0.31519274376417233,0.22347266881028938,0.26152398871119475,0.08596165739022882,0.017707689136260564,278,604,966,27.185032844543457
200,0.47371967654986524,0.44720101781170485,0.4600785340314136,0.21532712570448417,0.05449032099975495,703,781,869,33.08107089996338
205,0.4418032786885246,0.445822994210091,0.4438040345821326,0.20081967213114754,0.05035022354694485,539,681,670,30.88889455795288
210,0.4790011350737798,0.485895221646517,0.48242354958559586,0.2177277886698999,0.05974099680115571,844,918,893,29.930974006652832
224,0.4223300970873786,0.7007434944237918,0.527027027027027,0.3071491615180935,0.0784438862108765,1131,1547,483,32.85533356666565
226,0.4996505939902166,0.7926829268292683,0.6129447063866266,0.363382250174703,0.10750905279207165,715,716,187,29.9946026802063
22,0.4664351851851852,0.44334433443344334,0.4545967287084039,0.21201599326599327,0.0531618265993266,806,922,1012,26.517550706863403
230,0.5718201754385965,0.6008064516129032,0.5859550561797753,0.3638855661881978,0.1016347687400319,1043,781,693,38.211241722106934
233,0.5180084745762712,0.6261203585147247,0.5669565217391304,0.3296417565485362,0.09713983050847456,489,455,292,36.702574729919434
250,0.4818713450292398,0.7457013574660634,0.5854351687388988,0.35045188729399257,0.09312068048910153,824,886,281,53.14325404167175
253,0.48371065709552735,0.751931330472103,0.5887096774193549,0.35178956879674717,0.10256513227247628,876,935,289,51.18155527114868
255,0.4626935710933834,0.7197080291970803,0.5632676378177665,0.33650441534064246,0.09547374258777355,986,1145,384,53.143168687820435
257,0.48621323529411764,0.7633477633477633,0.5940482874789444,0.35360962566844917,0.10386029411764705,529,559,164,57.37550759315491
260,0.649176327028676,0.7508821453775583,0.6963350785340314,0.47212823783903707,0.16847301569693274,1064,575,353,52.95345425605774
263,0.6880058866813834,0.7759336099585062,0.7293291731669267,0.5003679175864607,0.1934711351929895,935,424,270,53.03860545158386
265,0.619530170428374,0.7289972899728997,0.669820717131474,0.4505673966751811,0.14479711904861609,1345,826,500,52.471253633499146
272,0.719375,0.9312297734627831,0.811706629055007,0.6539772727272728,0.24046022727272726,1151,449,85,47.365710496902466
273,0.7304476143630103,0.9149722735674677,0.8123632385120351,0.6640432857845547,0.2398738988507803,1485,548,138,48.19565939903259
276,0.7869565217391304,0.9576719576719577,0.863961813842482,0.7154150197628458,0.2911067193675889,543,147,24,47.70097637176514
291,0.6999548124717578,0.7874936451448907,0.7411483253588517,0.5090580454340057,0.1983280614550384,1549,664,418,49.55518293380737
293,0.6747933884297521,0.7422727272727273,0.7069264069264071,0.4907588279489106,0.17730653643876784,1633,787,567,52.91558003425598
295,0.6567216567216567,0.7457154244719012,0.69839492347891,0.47761575034302306,0.17378027378027378,1871,978,638,52.03899884223938
298,0.648868778280543,0.7652081109925294,0.702252693437806,0.4719045660222131,0.17435211846976553,1434,776,440,49.40575385093689
2,0.3980487804878049,0.293314162473041,0.33774834437086093,0.1085587583148559,0.027574279379157435,408,617,983,23.13548755645752
35,0.6453759148369926,0.8826205641492265,0.7455803228285933,0.5280348394120848,0.1797556402346821,970,533,129,23.42410969734192
40,0.5748129675810474,0.6734842951059167,0.6202489068281197,0.3657900702788483,0.11930401269553388,922,682,447,23.7870831489563
61,0.530359355638166,0.5343320848938826,0.5323383084577115,0.2892869212571815,0.07839923397544216,856,758,746,29.694856643676758
68,0.5028340080971659,0.5271646859083192,0.5147119767923747,0.27427309532572686,0.07228560912771438,621,614,557,29.188402891159058
79,0.4920212765957447,0.8149779735682819,0.6135986733001659,0.4025628626692457,0.11297147001934238,740,764,168,31.8876690864563
80,0.5620360551431601,0.66167290886392,0.6077981651376146,0.3576593078183746,0.12252000385616502,530,413,271,31.637962102890015
88,0.5432020330368488,0.600843288826423,0.5705705705705706,0.34567402102344924,0.10199838281159754,855,719,568,30.698657512664795
90,0.5863453815261044,0.8538011695906432,0.6952380952380952,0.47973713033953996,0.15650967506389193,730,515,125,31.707480907440186
92,0.5593505039193729,0.8444632290786137,0.6729538565173458,0.4576504122976688,0.14206454240048866,999,787,184,30.986817598342896
93,0.517077045274027,0.7871825876662636,0.6241610738255033,0.3760560329265651,0.10863239223048596,1302,1216,352,32.99129343032837
