file,VMD_pred,VMD_gt,VMD_error,RSF_pred,RSF_gt,RSF_error,CoveragePercentage_pred,CoveragePercentage_gt,CoveragePercentage_error,NoDroplets_pred,NoDroplets_gt,NoDroplets_error,NoOverlappedDroplets_pred,NoOverlappedDroplets_gt,NoOverlappedDroplets_error,OverlappedDropletsPercentage_pred,OverlappedDropletsPercentage_gt,OverlappedDropletsPercentage_error
100,288.209252001035,268.82,0.07212726732027008,0.585178017145461,0.49,0.19424085131726743,2.348007762991128,2.13,0.10235106243714935,749,783.0,0.04342273307790549,64,73.0,0.1232876712328767,8.544726301735647,9.32,0.08318387320432975
108,295.32660155486485,273.42,0.08012069912539256,0.7140101406925732,0.48,0.48752112644286083,6.200623151668779,5.72,0.08402502651552086,1821,2079.0,0.1240981240981241,372,372.0,0.0,20.42833607907743,17.89,0.14188575064714523
109,295.32660155486485,270.36,0.09234576695836971,0.7614671730737084,0.49,0.5540146389259355,7.261367237008871,6.87,0.05696757452821994,2138,2525.0,0.15326732673267326,532,575.0,0.07478260869565218,24.883068288119738,22.77,0.09280053966270259
11,308.493380935694,239.64,0.28732006733305804,0.8753882276034484,0.53,0.6516759011385818,6.770637629425518,4.82,0.40469660361525256,1741,2118.0,0.17799811142587346,256,325.0,0.2123076923076923,14.704192992533027,15.34,0.0414476536810282
111,452.9563943243548,398.31,0.13719563737881246,1.1713340698187085,1.03,0.13721754351330917,16.628544835234475,17.21,0.033785889875974764,2210,3055.0,0.2765957446808511,1420,1336.0,0.06287425149700598,64.25339366515837,43.73,0.4693206875179139
112,436.1397391092688,404.52,0.0781660711689628,1.1124323141052246,1.05,0.059459346766880514,7.447982678495986,7.17,0.03877024804686,1131,1276.0,0.11363636363636363,308,273.0,0.1282051282051282,27.23253757736516,21.39,0.2731434117515269
113,440.8753799853774,402.46,0.09545142370764151,1.192868466642845,1.02,0.16947888886553436,11.334627165188001,11.43,0.008344080036045358,1619,2013.0,0.1957277694982613,632,661.0,0.04387291981845688,39.03644224830142,32.84,0.18868581754876418
116,446.49185328916207,402.46,0.10940678151657826,1.1647610970884603,1.04,0.11996259335428873,14.710571134347274,15.38,0.0435259340476415,2021,2661.0,0.24051108605787297,1008,1038.0,0.028901734104046242,49.87629886194953,39.01,0.2785516242488985
118,423.57936393104836,400.39,0.05791694081033087,1.1027763994230266,1.01,0.09185782121091744,9.612576573722011,9.34,0.029183787336403765,1438,1649.0,0.12795633717404487,492,433.0,0.13625866050808313,34.21418636995828,26.26,0.3029012326716784
120,435.18642706420786,410.63,0.05980183392398964,0.7773695164992322,0.51,0.5242539539200632,11.199401932826362,11.43,0.02017480902656499,1477,1797.0,0.17807456872565386,668,631.0,0.058637083993660855,45.22681110358835,35.11,0.2881461436510497
134,463.82889508093376,443.69,0.04538956271480936,0.5971903181462215,0.38,0.571553468805846,7.1734064744402195,6.79,0.05646634380562879,834,918.0,0.0915032679738562,292,206.0,0.4174757281553398,35.011990407673856,22.44,0.5602491269016869
138,460.23326802224983,439.93,0.04615113318539273,0.7674139279517878,0.38,1.019510336715231,12.795799007182088,13.46,0.04934628475615991,1479,1845.0,0.1983739837398374,772,778.0,0.007712082262210797,52.197430696416504,42.17,0.23778588324440364
140,594.8571935516317,496.69,0.19764278232223653,1.217830350416066,1.13,0.07772597381952745,20.912085445711874,20.35,0.027620906423187833,1729,2283.0,0.24266316250547526,1608,1101.0,0.4604904632152589,93.00173510699827,48.23,0.9282963945054588
142,591.3559436356192,506.63,0.16723435966211864,1.192779709398136,1.08,0.10442565685012589,20.82118715673849,21.8,0.04489967170924366,1802,2427.0,0.25751957148743304,1592,1187.0,0.34119629317607414,88.34628190899001,48.91,0.8063030445510123
145,546.0785812051192,502.51,0.08670191877797306,1.1465109555993596,1.06,0.08161410905599953,10.18470109843684,9.75,0.04458472804480406,963,1099.0,0.12374886260236578,448,312.0,0.4358974358974359,46.52128764278297,28.39,0.6386504981607246
15,313.7671540816289,239.64,0.309327132705846,0.9617779024642563,0.56,0.7174605401147433,8.67614134519038,6.22,0.39487802977337316,2159,2766.0,0.21945046999276935,456,550.0,0.1709090909090909,21.12088930060213,19.88,0.06241897890352771
150,373.457612350255,308.49,0.2105987628456513,1.44609724716052,1.27,0.13865924973269292,10.650728540414162,9.75,0.09238241440145255,1951,2607.0,0.25163022631377063,540,700.0,0.22857142857142856,27.678113787801127,26.85,0.0308422267337477
151,348.45581251563465,303.13,0.1495259872517885,1.3140799311823834,1.3,0.010830716294141058,7.492915518537075,7.09,0.05682870501228135,1626,1972.0,0.17545638945233266,232,379.0,0.38786279683377306,14.268142681426815,19.22,0.25764085944709597
155,343.71469618941467,305.82,0.1239117657099427,1.2857783108853333,1.3,0.010939760857435924,4.856522941716767,4.67,0.039940672744489696,1095,1228.0,0.10830618892508144,124,163.0,0.2392638036809816,11.32420091324201,13.27,0.1466314308031643
162,305.82239229896237,239.64,0.27617422925622764,0.8126706324838784,0.56,0.45119755800692557,5.487472340514362,3.91,0.40344561138474727,1473,1718.0,0.14260768335273574,168,214.0,0.21495327102803738,11.405295315682281,12.46,0.08464724593240128
165,305.82239229896237,239.64,0.27617422925622764,0.9515528518700007,0.52,0.8299093305192321,7.349399319472277,5.5,0.3362544217222322,1937,2415.0,0.1979296066252588,364,435.0,0.1632183908045977,18.79194630872483,18.01,0.043417340850906726
