file,VMD_pred,VMD_gt,VMD_error,RSF_pred,RSF_gt,RSF_error,CoveragePercentage_pred,CoveragePercentage_gt,CoveragePercentage_error,NoDroplets_pred,NoDroplets_gt,NoDroplets_error,NoOverlappedDroplets_pred,NoOverlappedDroplets_gt,NoOverlappedDroplets_error,OverlappedDropletsPercentage_pred,OverlappedDropletsPercentage_gt,OverlappedDropletsPercentage_error
100,252.90259224260038,268.82,0.05921214105125964,0.5314795491293555,0.49,0.0846521410803173,1.061074144486692,2.13,0.5018431246541352,444,783.0,0.4329501915708812,0,73.0,1.0,0.0,9.32,1.0
108,251.25500081319183,273.42,0.08106575666303924,0.5442006712434002,0.48,0.1337513984237505,1.3928495986480778,5.72,0.7564948254111752,575,2079.0,0.7234247234247234,0,372.0,1.0,0.0,17.89,1.0
109,267.27426499297803,270.36,0.011413430267132641,0.6234666723788246,0.49,0.27238096403841755,1.4585643747359527,6.87,0.7876907751476052,532,2525.0,0.7893069306930693,0,575.0,1.0,0.0,22.77,1.0
111,388.8155382041372,398.31,0.02383686524531841,1.1927633881478494,1.03,0.1580227069396596,3.0245960076045626,17.21,0.824253573061908,540,3055.0,0.823240589198036,24,1336.0,0.9820359281437125,4.444444444444445,43.73,0.8983662372640191
112,398.3131108983014,404.52,0.015343837391720083,1.1321592575365227,1.05,0.07824691193954537,2.699817807351077,7.17,0.6234563727543826,458,1276.0,0.6410658307210031,8,273.0,0.9706959706959707,1.7467248908296942,21.39,0.9183391822894019
113,377.98289042637003,402.46,0.06081873869112445,1.1157792481433568,1.02,0.09390122366995765,2.6858563054499367,11.43,0.7650169461548612,503,2013.0,0.7501241927471436,12,661.0,0.9818456883509834,2.3856858846918487,32.84,0.9273542666049985
116,426.5107439870671,402.46,0.05975934002650477,1.0580046747117522,1.04,0.017312187222838612,4.41787468314322,15.38,0.7127519711870468,572,2661.0,0.785043216835776,64,1038.0,0.9383429672447013,11.188811188811188,39.01,0.7131809487615691
118,395.17261687180786,400.39,0.01303075283646476,1.0621531276804181,1.01,0.05163676007962191,2.7427915082382763,9.34,0.7063392389466513,474,1649.0,0.7125530624620983,12,433.0,0.9722863741339491,2.5316455696202533,26.26,0.9035930856961062
11,239.64362236165616,239.64,1.5115847338382217e-05,0.6030359832162693,0.53,0.13780374191748915,0.5947441758517035,4.82,0.8766090921469495,262,2118.0,0.8762983947119924,0,325.0,1.0,0.0,15.34,1.0
120,396.2222139844037,410.63,0.035087027288791095,0.6732833228072401,0.51,0.320163378053412,3.109850285171103,11.43,0.7279221097838056,498,1797.0,0.7228714524207012,12,631.0,0.9809825673534073,2.4096385542168677,35.11,0.9313688819647716
134,424.5587394903343,443.69,0.043118529851170206,0.5019262749674973,0.38,0.3208586183355192,3.294122306717364,6.79,0.5148568031344088,473,918.0,0.48474945533769065,16,206.0,0.9223300970873787,3.382663847780127,22.44,0.8492574042878732
138,409.62231059449397,439.93,0.06889207238766631,0.5636930295756729,0.38,0.4834027094096655,3.566586132234897,13.46,0.7350233185560999,555,1845.0,0.6991869918699187,24,778.0,0.9691516709511568,4.324324324324325,42.17,0.8974549602958425
140,462.9326065234657,496.69,0.06796471335548183,1.281929692933557,1.13,0.13445105569341345,4.475569021968736,20.35,0.7800703183307747,509,2283.0,0.777047744196233,60,1101.0,0.9455040871934605,11.787819253438114,48.23,0.7555915560141382
142,453.8723839238408,506.63,0.1041344098773448,1.2568983757716141,1.08,0.1637947923811241,4.039164818335446,21.8,0.8147172101680987,521,2427.0,0.7853316852080758,24,1187.0,0.9797809604043808,4.606525911708253,48.91,0.9058162765956195
