file,VMD_pred,VMD_gt,VMD_error,RSF_pred,RSF_gt,RSF_error,CoveragePercentage_pred,CoveragePercentage_gt,CoveragePercentage_error,NoDroplets_pred,NoDroplets_gt,NoDroplets_error,NoOverlappedDroplets_pred,NoOverlappedDroplets_gt,NoOverlappedDroplets_error,OverlappedDropletsPercentage_pred,OverlappedDropletsPercentage_gt,OverlappedDropletsPercentage_error
100,221.37772705041422,268.82,0.17648341994489164,0.7940879054475161,0.49,0.6205875621377879,1.1741524081115335,2.13,0.44875473797580584,684,783.0,0.12643678160919541,24,73.0,0.6712328767123288,3.508771929824561,9.32,0.62352232512612
108,217.59321353210393,273.42,0.20417960086276088,0.7880801124949207,0.48,0.6418335676977516,2.99373547739755,5.72,0.47661967178364506,1817,2079.0,0.12602212602212604,148,372.0,0.6021505376344086,8.145294441386902,17.89,0.5447012609621631
109,217.59321353210393,270.36,0.19517231272339133,0.7880801124949207,0.49,0.6083267601937158,3.626095796366709,6.87,0.47218401799611226,2181,2525.0,0.13623762376237625,252,575.0,0.5617391304347826,11.554332874828061,22.77,0.49256333443882033
111,363.41803886571705,398.31,0.08760001289016833,1.07059365093303,1.03,0.03941131158546604,11.538603717786227,17.21,0.3295407485307248,2497,3055.0,0.18265139116202947,732,1336.0,0.45209580838323354,29.31517821385663,43.73,0.32963232989122726
112,369.08792938804385,404.52,0.08759040495391114,1.154741989100994,1.05,0.09975427533427997,5.109843683988171,7.17,0.28733003012717284,1083,1276.0,0.15125391849529782,144,273.0,0.4725274725274725,13.29639889196676,21.39,0.37838247349384013
113,363.41803886571705,402.46,0.09700830177976179,1.1198279348850741,1.02,0.0978705243971315,7.8376835128855085,11.43,0.31428840657169654,1698,2013.0,0.15648286140089418,312,661.0,0.5279878971255674,18.374558303886925,32.84,0.4404823902592289
116,370.2114873276403,402.46,0.08012849145842979,1.0735151224880979,1.04,0.032226079315478696,10.732863329108575,15.38,0.30215452996693276,2236,2661.0,0.15971439308530627,572,1038.0,0.4489402697495183,25.581395348837212,39.01,0.3442349308167851
118,355.3282297640789,400.39,0.11254469451265285,1.1051644176040762,1.01,0.09422219564760023,6.338884928179129,9.34,0.32131853017354073,1420,1649.0,0.13887204366282596,232,433.0,0.46420323325635104,16.338028169014084,26.26,0.3778359417740258
11,151.56393467921853,239.64,0.36753490786505366,0.8039032490291153,0.53,0.5167985830738023,1.0247056613226453,4.82,0.7874054644558827,965,2118.0,0.54438149197356,124,325.0,0.6184615384615385,12.849740932642487,15.34,0.1623376184718066
120,349.4351473740503,410.63,0.1490267457953625,0.6599227912756963,0.51,0.29396625740332605,7.5985886670891425,11.43,0.3352065908058493,1769,1797.0,0.015581524763494713,372,631.0,0.410459587955626,21.028829847371398,35.11,0.401058677089963
134,382.3527799985677,443.69,0.13824341319712477,0.5259844515719752,0.38,0.3841696093999346,5.02822005703422,6.79,0.2594668546341355,926,918.0,0.008714596949891068,140,206.0,0.32038834951456313,15.118790496760258,22.44,0.3262571079875108
138,372.44843509957656,439.93,0.15339159616398848,0.5235763738051762,0.38,0.3778325626452005,9.25452841149134,13.46,0.31244216853704765,1822,1845.0,0.012466124661246613,400,778.0,0.48586118251928023,21.953896816684964,42.17,0.4793953802066644
140,457.51800380560996,496.69,0.07886608587728772,1.1107997730119217,1.13,0.01699135131688338,14.847248626953949,20.35,0.2704054728769559,1996,2283.0,0.12571178274200615,744,1101.0,0.3242506811989101,37.27454909819639,48.23,0.22715013273488718
142,469.1706707460939,506.63,0.07393823747884276,1.0949811343425937,1.08,0.013871420687586691,16.241946556822985,21.8,0.25495657996224846,2161,2427.0,0.1096003296250515,1052,1187.0,0.11373209772535804,48.68116612679315,48.91,0.004678672525185961
145,465.61629628996,502.51,0.07341884481908813,1.110593409640543,1.06,0.04772963173636125,7.589875105618928,9.75,0.2215512712185715,1018,1099.0,0.07370336669699727,288,312.0,0.07692307692307693,28.290766208251473,28.39,0.003495378363808664
150,300.4091788413113,308.49,0.02619475885341083,1.107926570550197,1.27,0.12761687358252202,4.239925162825651,9.75,0.5651358807358307,1424,2607.0,0.4537782892213272,228,700.0,0.6742857142857143,16.01123595505618,26.85,0.40367836294017956
151,277.70313490256643,303.13,0.08388105795346407,1.123724312924836,1.3,0.1355966823655108,2.768688418503674,7.09,0.6094938760925708,1026,1972.0,0.47971602434077076,156,379.0,0.5883905013192612,15.204678362573098,19.22,0.20891371682762233
155,311.14144135876523,305.82,0.017400566865362767,1.1073597099107466,1.3,0.14818483853019493,2.2088447728790914,4.67,0.5270139672635779,685,1228.0,0.44218241042345274,64,163.0,0.6073619631901841,9.343065693430656,13.27,0.2959257201634773
15,162.02866164600607,239.64,0.32386637603903323,0.8110255793404035,0.56,0.4482599631078633,1.7299573104542418,6.22,0.721871815039511,1373,2766.0,0.5036153289949385,172,550.0,0.6872727272727273,12.527312454479242,19.88,0.36985349826563163
162,162.02866164600607,239.64,0.32386637603903323,0.7905694150420949,0.56,0.41173109828945503,0.8872562834001335,3.91,0.7730802344245183,814,1718.0,0.5261932479627474,88,214.0,0.5887850467289719,10.81081081081081,12.46,0.13235868292048075
165,162.02866164600607,239.64,0.32386637603903323,0.8936742781716649,0.52,0.7186043810993555,1.2332607924181698,5.5,0.7757707650148782,1124,2415.0,0.5345755693581781,164,435.0,0.6229885057471264,14.590747330960854,18.01,0.18985300772010813
171,311.14144135876523,366.81,0.151764015815367,1.0532936680273606,0.99,0.06393299800743493,4.636225576152304,10.29,0.5494435786052182,1409,2169.0,0.3503918856615952,208,604.0,0.6556291390728477,14.762242725337119,27.85,0.4699374245839455
17,162.02866164600607,239.64,0.32386637603903323,0.8839745962155612,0.56,0.5785260646706448,1.8043247954241817,7.07,0.7447914009301015,1491,3137.0,0.5247051322919988,188,648.0,0.7098765432098766,12.608987256874581,20.66,0.38969083945427974
186,426.76946928511256,550.96,0.22540752634472097,0.6575959492214293,0.38,0.7305156558458665,14.120493591349364,25.52,0.44668912259602805,2108,2225.0,0.052584269662921346,732,1291.0,0.43299767621998453,34.72485768500949,58.02,0.40150193579783716
198,480.995939072399,565.65,0.14965802338478035,0.9906045994743911,1.05,0.05656704811962761,17.55757608967936,31.34,0.43977102457947165,2180,2749.0,0.20698435794834485,1180,1698.0,0.3050647820965842,54.12844036697248,61.77,0.1237098855921568
199,463.6256991446781,565.65,0.18036648255161652,0.9772325328346978,1.04,0.06035333381279061,17.00653911990648,32.19,0.47168253743689087,2252,2835.0,0.2056437389770723,1380,1765.0,0.21813031161473087,61.278863232682056,62.26,0.01575870169158275
19,162.02866164600607,243.04,0.3333251248929967,0.8295570919968781,0.51,0.6265825333272119,1.1449330953573815,4.22,0.7286888399627058,908,1848.0,0.5086580086580087,120,247.0,0.5141700404858299,13.215859030837004,13.37,0.011528868299401283
