method,precision,recall,f1-score,map50,map50-95,tp,fp,fn,segmentation_time
100_0_0-11_55893536121673,0.9803921568627451,0.9090909090909091,0.9433962264150944,0.89126559714795,0.4140819964349376,50,1,5,27.18658137321472
100_0_320-11_55893536121673,0.9818181818181818,0.9,0.9391304347826087,0.8925619834710744,0.36033057851239675,54,1,6,13.183685302734377
100_0_640-11_55893536121673,0.875,0.875,0.875,0.7159090909090909,0.3681818181818182,7,1,1,3.7603836059570312
100_1280_0-11_55893536121673,0.9591836734693877,0.8867924528301887,0.9215686274509803,0.7847866419294991,0.3552875695732839,47,2,6,11.782152891159058
100_1280_320-11_55893536121673,0.9795918367346939,0.8727272727272727,0.923076923076923,0.8014842300556585,0.39647495361781077,48,1,7,10.7718403339386
100_1280_640-11_55893536121673,1.0,0.875,0.9333333333333333,0.8181818181818182,0.38181818181818183,7,0,1,3.672790050506592
100_1600_0-11_55893536121673,0.9736842105263158,0.8809523809523809,0.925,0.7966507177033493,0.39617224880382773,37,1,5,9.442345142364502
100_1600_320-11_55893536121673,0.9818181818181818,0.8571428571428571,0.9152542372881356,0.8033057851239669,0.35140495867768595,54,1,9,9.155004739761353
100_1600_640-11_55893536121673,1.0,0.8888888888888888,0.9411764705882353,0.8181818181818182,0.35454545454545455,8,0,1,3.6030566692352295
100_1920_0-6_64638783269962,1.0,0.8709677419354839,0.9310344827586207,0.8181818181818182,0.36262626262626263,27,0,4,6.735648155212402
100_1920_320-6_64638783269962,0.9696969696969697,0.8648648648648649,0.9142857142857143,0.793388429752066,0.33829201101928374,32,1,5,7.504087448120117
100_1920_640-6_64638783269962,1.0,1.0,1.0,1.0,0.5333333333333334,6,0,0,3.085881471633911
100_320_0-11_55893536121673,0.9814814814814815,0.9137931034482759,0.9464285714285714,0.8922558922558923,0.37104377104377106,53,1,5,10.604052782058716
100_320_320-11_55893536121673,0.9807692307692307,0.9272727272727272,0.9532710280373831,0.8916083916083916,0.4015734265734266,51,1,4,11.260318517684937
100_320_640-11_55893536121673,1.0,0.8888888888888888,0.9411764705882353,0.8181818181818182,0.3852272727272727,8,0,1,4.264032602310181
100_640_0-11_55893536121673,1.0,0.8297872340425532,0.9069767441860465,0.8181818181818182,0.3755244755244756,39,0,8,9.465777158737184
100_640_320-11_55893536121673,0.9787234042553191,0.8214285714285714,0.8932038834951456,0.8007736943907156,0.3760154738878143,46,1,10,9.64875054359436
100_640_640-11_55893536121673,1.0,0.7,0.8235294117647058,0.6363636363636364,0.225974025974026,7,0,3,4.156731843948364
100_960_0-11_55893536121673,0.9824561403508771,0.9333333333333333,0.9572649572649572,0.8931419457735246,0.3732057416267942,56,1,4,9.034696340560911
100_960_320-11_55893536121673,1.0,0.7647058823529411,0.8666666666666666,0.7272727272727273,0.3146853146853147,39,0,12,9.358089685440063
100_960_640-11_55893536121673,1.0,0.9411764705882353,0.9696969696969697,0.9090909090909091,0.45284090909090907,16,0,1,3.726240158081055
108_0_0-11_55893536121673,0.9779411764705882,0.910958904109589,0.9432624113475178,0.8890374331550802,0.31143048128342243,133,3,13,8.788240909576416
108_0_320-11_55893536121673,0.9553571428571429,0.8629032258064516,0.9067796610169493,0.7816558441558442,0.28603896103896104,107,5,17,9.528240442276
108_0_640-11_55893536121673,0.9375,0.9375,0.9375,0.8522727272727273,0.3210227272727273,30,2,2,3.483833312988281
108_1280_0-11_55893536121673,0.9603174603174603,0.9236641221374046,0.9416342412451363,0.873015873015873,0.28773448773448773,121,5,10,9.329172611236572
108_1280_320-11_55893536121673,0.9541984732824428,0.9124087591240876,0.9328358208955224,0.8674531575294935,0.2802914642609299,125,6,12,9.395957469940186
108_1280_640-11_55893536121673,0.9428571428571428,0.9428571428571428,0.9428571428571428,0.8571428571428572,0.2761038961038961,33,2,2,3.787910461425781
108_1600_0-11_55893536121673,0.9333333333333333,0.9,0.9163636363636364,0.8484848484848485,0.2702356902356903,126,9,14,9.388007640838625
108_1600_320-11_55893536121673,0.9121621621621622,0.8823529411764706,0.8970099667774085,0.7463144963144963,0.23009828009828012,135,13,18,9.626384258270264
108_1600_640-11_55893536121673,0.9230769230769231,1.0,0.9600000000000001,0.9230769230769232,0.31794871794871793,36,3,0,4.21267557144165
108_1920_0-6_64638783269962,0.9615384615384616,0.9259259259259259,0.9433962264150944,0.8741258741258741,0.3027972027972028,75,3,6,7.027387380599976
108_1920_320-6_64638783269962,0.9577464788732394,0.918918918918919,0.9379310344827587,0.8706786171574904,0.2903969270166453,68,3,6,6.451617956161499
108_1920_640-6_64638783269962,0.96,0.9230769230769231,0.9411764705882353,0.8727272727272729,0.2876363636363637,24,1,2,3.380906343460083
108_320_0-11_55893536121673,0.9710144927536232,0.864516129032258,0.9146757679180886,0.7944664031620554,0.2787878787878788,134,4,21,9.662180423736572
108_320_320-11_55893536121673,0.9824561403508771,0.8888888888888888,0.9333333333333333,0.8038277511961721,0.29848484848484846,112,2,14,9.25181245803833
108_320_640-11_55893536121673,0.9705882352941176,1.0,0.9850746268656716,0.9705882352941176,0.3941176470588235,33,1,0,3.937089204788208
108_640_0-11_55893536121673,0.9571428571428572,0.9640287769784173,0.960573476702509,0.8701298701298701,0.3259090909090909,134,6,5,9.935637950897217
108_640_320-11_55893536121673,0.9548872180451128,0.8758620689655172,0.9136690647482015,0.7812713602187287,0.26295283663704716,127,6,18,10.199784517288208
108_640_640-11_55893536121673,0.9310344827586207,0.8709677419354839,0.9,0.7617554858934169,0.2836990595611285,27,2,4,3.769462823867798
108_960_0-11_55893536121673,0.9702970297029703,0.8990825688073395,0.9333333333333333,0.7938793879387938,0.3055805580558056,98,3,11,9.428604125976562
108_960_320-11_55893536121673,0.94,0.9463087248322147,0.94314381270903,0.8545454545454544,0.29733333333333334,141,9,8,10.075504541397097
