file,precision,recall,f1_score,map50,map50-95,tp,fp,fn,segmentation_time
100_0_0-11_55893536121673,0.9636363636363636,0.9814814814814815,0.9724770642201834,0.8760330578512395,0.6998347107438017,53,2,1,0.188561201095581
100_0_320-11_55893536121673,0.9827586206896551,0.95,0.9661016949152542,0.8934169278996865,0.7009404388714733,57,1,3,0.2977168560028076
100_0_640-11_55893536121673,1.0,1.0,1.0,1.0,0.8111111111111111,9,0,0,0.0471973419189453
100_1280_0-11_55893536121673,1.0,0.8909090909090909,0.9423076923076923,0.8181818181818182,0.6339517625231911,49,0,6,0.234633207321167
100_1280_320-11_55893536121673,0.9038461538461539,0.9215686274509803,0.9126213592233009,0.8216783216783217,0.6657342657342658,47,5,4,0.264216661453247
100_1280_640-11_55893536121673,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7012987012987012,0.5766233766233766,6,1,1,0.0795414447784423
100_1600_0-11_55893536121673,0.9523809523809523,0.975609756097561,0.963855421686747,0.8658008658008658,0.7177489177489178,40,2,1,0.1596808433532714
100_1600_320-11_55893536121673,0.9649122807017544,0.8870967741935484,0.9243697478991597,0.7894736842105263,0.6668261562998405,55,2,7,0.1802318096160888
100_1600_640-11_55893536121673,1.0,0.8888888888888888,0.9411764705882353,0.8181818181818182,0.5545454545454545,8,0,1,0.0644583702087402
100_1920_0-6_64638783269962,1.0,1.0,1.0,1.0,0.6903225806451613,31,0,0,0.1411957740783691
100_1920_320-6_64638783269962,0.9714285714285714,0.918918918918919,0.9444444444444445,0.8831168831168831,0.5914285714285714,34,1,3,0.2082099914550781
100_1920_640-6_64638783269962,1.0,0.8333333333333334,0.9090909090909091,0.8181818181818182,0.3254545454545455,5,0,1,0.0095102787017822
100_320_0-11_55893536121673,0.92,0.8363636363636363,0.8761904761904761,0.7527272727272728,0.596,46,4,9,0.1945850849151611
100_320_320-11_55893536121673,0.9454545454545454,0.9811320754716981,0.9629629629629629,0.859504132231405,0.7079338842975206,52,3,1,0.1827800273895263
100_320_640-11_55893536121673,0.8888888888888888,1.0,0.9411764705882353,0.888888888888889,0.711111111111111,8,1,0,0.0352287292480468
100_640_0-11_55893536121673,0.9782608695652174,0.9782608695652174,0.9782608695652174,0.8893280632411067,0.7529644268774704,45,1,1,0.1304163932800293
100_640_320-11_55893536121673,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.8928571428571428,0.7487012987012988,55,1,1,0.1792464256286621
100_640_640-11_55893536121673,1.0,0.8,0.888888888888889,0.8181818181818182,0.5681818181818181,8,0,2,0.0311458110809326
100_960_0-11_55893536121673,0.9821428571428571,0.9166666666666666,0.9482758620689654,0.8928571428571428,0.750487012987013,55,1,5,0.2133166790008545
100_960_320-11_55893536121673,0.9782608695652174,0.9,0.9375,0.8893280632411067,0.6780632411067194,45,1,5,0.1847872734069824
100_960_640-11_55893536121673,1.0,1.0,1.0,1.0,0.8588235294117647,17,0,0,0.0497040748596191
108_0_0-11_55893536121673,0.9312977099236641,0.8714285714285714,0.9003690036900369,0.7619708535739069,0.6145038167938931,122,9,18,0.4942102432250976
108_0_320-11_55893536121673,0.9203539823008849,0.8666666666666667,0.8927038626609441,0.753016894609815,0.606275140788415,104,9,16,0.482635498046875
108_0_640-11_55893536121673,0.896551724137931,0.8387096774193549,0.8666666666666666,0.7335423197492162,0.49561128526645765,26,3,5,0.0734961032867431
108_1280_0-11_55893536121673,0.9310344827586207,0.84375,0.8852459016393444,0.7617554858934169,0.572257053291536,108,8,20,0.2276918888092041
108_1280_320-11_55893536121673,0.9,0.8244274809160306,0.8605577689243029,0.7363636363636363,0.5151515151515151,108,12,23,0.2172949314117431
108_1280_640-11_55893536121673,0.8571428571428571,0.9375,0.8955223880597014,0.7792207792207791,0.6548051948051947,30,5,2,0.0890944004058837
108_1600_0-11_55893536121673,0.8907563025210085,0.7794117647058824,0.8313725490196079,0.6478227654698243,0.5194041252864782,106,13,30,0.2259156703948974
108_1600_320-11_55893536121673,0.9398496240601504,0.7911392405063291,0.859106529209622,0.683526999316473,0.5116883116883117,125,8,33,0.2321670055389404
108_1600_640-11_55893536121673,0.9142857142857143,0.8888888888888888,0.9014084507042254,0.748051948051948,0.5615584415584415,32,3,4,0.0734755992889404
108_1920_0-6_64638783269962,0.9295774647887324,0.8354430379746836,0.88,0.7605633802816901,0.44737516005121636,66,5,13,0.1314141750335693
108_1920_320-6_64638783269962,0.9393939393939394,0.8493150684931506,0.8920863309352518,0.768595041322314,0.47451790633608815,62,4,11,0.1186962127685546
108_1920_640-6_64638783269962,0.875,0.875,0.875,0.7159090909090909,0.4465909090909091,21,3,3,0.0375101566314697
108_320_0-11_55893536121673,0.917910447761194,0.831081081081081,0.8723404255319148,0.7510176390773405,0.532157394843962,123,11,25,0.234544038772583
108_320_320-11_55893536121673,0.8695652173913043,0.8849557522123894,0.8771929824561404,0.7114624505928854,0.5727272727272726,100,15,13,0.2010726928710937
108_320_640-11_55893536121673,0.7741935483870968,0.8888888888888888,0.8275862068965517,0.6334310850439883,0.472140762463343,24,7,3,0.0726995468139648
108_640_0-11_55893536121673,0.849624060150376,0.904,0.875968992248062,0.7723855092276145,0.5986329460013671,113,20,12,0.2257084846496582
108_640_320-11_55893536121673,0.9384615384615385,0.8531468531468531,0.8937728937728937,0.7678321678321679,0.593986013986014,122,8,21,0.2088370323181152
108_640_640-11_55893536121673,0.9642857142857143,0.84375,0.8999999999999999,0.788961038961039,0.6827922077922077,27,1,5,0.0621123313903808
108_960_0-11_55893536121673,0.90625,0.8446601941747572,0.8743718592964823,0.7414772727272727,0.6051136363636365,87,9,16,0.1388313770294189
108_960_320-11_55893536121673,0.9124087591240876,0.8561643835616438,0.8833922261484098,0.7465162574651626,0.5561380225613802,125,12,21,0.228428840637207
108_960_640-11_55893536121673,0.8,0.8648648648648649,0.8311688311688312,0.6545454545454545,0.525,32,8,5,0.0606501102447509
109_0_0-11_55893536121673,0.8590604026845637,0.7619047619047619,0.807570977917981,0.62477120195241,0.4753508236729713,128,21,40,0.3196001052856445
109_0_320-11_55893536121673,0.9349593495934959,0.8455882352941176,0.888030888030888,0.7649667405764966,0.5774575018477458,115,8,21,0.184690237045288
109_0_640-11_55893536121673,0.9444444444444444,0.7555555555555555,0.8395061728395062,0.6868686868686869,0.47398989898989896,34,2,11,0.0778062343597412
109_1280_0-11_55893536121673,0.8985507246376812,0.8104575163398693,0.8522336769759451,0.7351778656126483,0.5287220026350462,124,14,29,0.243283987045288
109_1280_320-11_55893536121673,0.8951048951048951,0.8366013071895425,0.8648648648648649,0.7323585505403688,0.5431023521932612,128,15,25,0.2160253524780273
109_1280_640-11_55893536121673,1.0,0.8918918918918919,0.9428571428571428,0.8181818181818182,0.6774104683195591,33,0,4,0.0749721527099609
109_1600_0-11_55893536121673,0.8372093023255814,0.8372093023255814,0.8372093023255814,0.6849894291754757,0.5062896405919661,144,28,28,0.289494514465332
109_1600_320-11_55893536121673,0.8896551724137931,0.7818181818181819,0.832258064516129,0.6470219435736677,0.5139811912225705,129,16,36,0.2473657131195068
