method,precision,recall,f1-score,map50,map50-95,tp,fp,fn,segmentation_time
0_1-16_245824983299933,0.9545454545454546,0.13636363636363635,0.23863636363636362,0.17355371900826447,0.062396694214876036,21,1,133,29.767147541046143
0_4-11_016700066800267,0.7727272727272727,0.17894736842105263,0.2905982905982906,0.14049586776859505,0.050826446280991734,17,5,78,9.234402418136597
0_6-16_245824983299933,0.9285714285714286,0.14130434782608695,0.2452830188679245,0.16883116883116883,0.050649350649350645,13,1,79,9.521721601486206
0_8-16_245824983299933,0.8461538461538461,0.11458333333333333,0.20183486238532108,0.15384615384615385,0.03566433566433567,11,2,85,10.469003915786743
100_12-11_55893536121673,0.9705882352941176,0.5238095238095238,0.6804123711340205,0.5294117647058824,0.17165775401069522,33,1,30,11.56666135787964
100_2-11_55893536121673,0.9285714285714286,0.5777777777777777,0.7123287671232876,0.5064935064935064,0.1805194805194805,26,2,19,13.426621437072754
100_3-11_55893536121673,0.875,0.49122807017543857,0.6292134831460674,0.3977272727272727,0.1627840909090909,28,4,29,13.518325328826904
100_5-11_55893536121673,0.8620689655172413,0.6410256410256411,0.7352941176470588,0.54858934169279,0.24984326018808778,25,4,14,14.545264482498167
101_1-11_55893536121673,0.9629629629629629,0.24528301886792453,0.39097744360902253,0.2626262626262626,0.09393939393939395,26,1,80,15.472851753234863
101_15-11_55893536121673,0.5,0.17647058823529413,0.2608695652173913,0.09090909090909091,0.045454545454545456,3,3,14,16.230045080184937
102_1-11_55893536121673,0.8,0.1728395061728395,0.2842639593908629,0.14545454545454548,0.05662337662337663,28,7,134,7.745033502578735
102_14-11_55893536121673,0.7272727272727273,0.25806451612903225,0.38095238095238093,0.1983471074380165,0.0793388429752066,8,3,23,8.800550937652588
102_16-11_55893536121673,0.8,0.1951219512195122,0.3137254901960785,0.14545454545454548,0.05818181818181819,8,2,33,9.509832382202148
103_14-11_55893536121673,0.875,0.2,0.32558139534883723,0.23863636363636365,0.060227272727272727,7,1,28,10.561631202697754
103_15-11_55893536121673,0.8888888888888888,0.36363636363636365,0.5161290322580644,0.3232323232323232,0.09595959595959594,8,1,14,11.584240674972534
103_18-11_55893536121673,0.8,0.27586206896551724,0.4102564102564103,0.21818181818181823,0.06636363636363637,8,2,21,12.533761501312256
104_0-11_55893536121673,0.8928571428571429,0.10245901639344263,0.18382352941176472,0.16233766233766234,0.039285714285714285,25,3,219,13.572905778884888
104_10-11_55893536121673,0.7647058823529411,0.11659192825112108,0.20233463035019456,0.13903743315508021,0.04518716577540107,26,8,197,14.68863844871521
104_14-11_55893536121673,0.9090909090909091,0.2777777777777778,0.4255319148936171,0.24793388429752064,0.08099173553719007,10,1,26,15.642318964004517
104_15-11_55893536121673,0.875,0.14285714285714285,0.2456140350877193,0.1590909090909091,0.04431818181818181,7,1,42,16.26884150505066
104_5-11_55893536121673,0.7368421052631579,0.05668016194331984,0.10526315789473684,0.06698564593301436,0.019138755980861243,14,5,233,7.831076860427856
104_6-6_64638783269962,0.6111111111111112,0.0859375,0.15068493150684933,0.05555555555555556,0.01919191919191919,11,7,117,8.800005435943604
104_8-11_55893536121673,0.8235294117647058,0.05343511450381679,0.1003584229390681,0.0748663101604278,0.03048128342245989,14,3,248,9.525315284729004
105_11-11_55893536121673,0.9714285714285714,0.3541666666666667,0.5190839694656488,0.35324675324675325,0.13428571428571429,34,1,62,10.416506290435793
105_2-11_55893536121673,0.8571428571428571,0.2542372881355932,0.39215686274509803,0.23376623376623373,0.10181818181818181,30,5,88,11.624352931976318
106_19-11_55893536121673,1.0,0.14084507042253522,0.2469135802469136,0.18181818181818182,0.06818181818181818,10,0,61,12.5253005027771
106_9-11_55893536121673,0.76,0.0867579908675799,0.15573770491803277,0.06909090909090909,0.02945454545454545,19,6,200,13.53893232345581
107_1-11_55893536121673,0.8888888888888888,0.15286624203821655,0.2608695652173913,0.1616161616161616,0.04074074074074073,24,3,133,14.701395750045776
107_10-11_55893536121673,0.7407407407407407,0.125,0.21390374331550802,0.13468013468013468,0.03535353535353536,20,7,140,15.69111967086792
107_13-6_64638783269962,0.6470588235294118,0.1134020618556701,0.19298245614035087,0.11764705882352942,0.034224598930481284,11,6,86,16.6323504447937
107_15-11_55893536121673,0.5555555555555556,0.1282051282051282,0.20833333333333334,0.10101010101010101,0.01616161616161616,5,4,34,7.724165439605713
107_3-11_55893536121673,0.7058823529411765,0.06521739130434782,0.11940298507462686,0.06417112299465241,0.02566844919786096,12,5,172,8.812231540679932
107_4-11_55893536121673,0.7,0.08092485549132948,0.1450777202072539,0.06363636363636363,0.024545454545454544,14,6,159,9.564210176467896
108_10-11_55893536121673,0.8571428571428571,0.19607843137254902,0.3191489361702127,0.15584415584415584,0.06415584415584416,30,5,123,10.575327396392822
108_11-11_55893536121673,0.8571428571428571,0.21739130434782608,0.3468208092485549,0.23376623376623373,0.08025974025974025,30,5,108,11.675292253494264
108_19-11_55893536121673,0.75,0.16216216216216217,0.26666666666666666,0.13636363636363635,0.053409090909090906,6,2,31,12.658795833587646
109_13-6_64638783269962,0.9166666666666666,0.22916666666666666,0.36666666666666664,0.25,0.07651515151515152,22,2,74,13.747922420501707
109_14-11_55893536121673,0.9,0.1956521739130435,0.3214285714285714,0.16363636363636364,0.050909090909090904,9,1,37,14.688535690307615
109_16-11_55893536121673,0.8888888888888888,0.21621621621621623,0.34782608695652173,0.2424242424242424,0.06666666666666667,8,1,29,15.668281078338625
109_17-11_55893536121673,0.7857142857142857,0.23404255319148937,0.36065573770491804,0.2142857142857143,0.08506493506493507,11,3,36,16.649062156677246
109_7-11_55893536121673,0.8461538461538461,0.15714285714285714,0.26506024096385544,0.15384615384615385,0.051048951048951054,22,4,118,7.707159757614136
110_10-11_55893536121673,0.9714285714285714,0.17258883248730963,0.29310344827586204,0.17662337662337663,0.08,34,1,163,8.805385828018188
110_12-11_55893536121673,0.8,0.1794871794871795,0.29319371727748694,0.14545454545454548,0.06597402597402599,28,7,128,9.532362222671509
110_17-11_55893536121673,0.7857142857142857,0.28205128205128205,0.4150943396226415,0.2142857142857143,0.07467532467532467,11,3,28,10.760511875152588
110_18-11_55893536121673,0.8333333333333334,0.22727272727272727,0.35714285714285715,0.22727272727272727,0.07121212121212121,10,2,34,11.595482349395752
110_3-11_55893536121673,0.9714285714285714,0.2138364779874214,0.35051546391752575,0.2649350649350649,0.08987012987012986,34,1,125,12.821444988250732
110_8-11_55893536121673,0.9714285714285714,0.20118343195266272,0.33333333333333337,0.2649350649350649,0.112987012987013,34,1,135,13.68081545829773
111_12-11_55893536121673,1.0,0.15418502202643172,0.26717557251908397,0.18181818181818182,0.07168831168831169,35,0,192,14.881768941879272
111_14-11_55893536121673,1.0,0.30357142857142855,0.4657534246575342,0.36363636363636365,0.10320855614973261,17,0,39,15.459007501602173
111_17-11_55893536121673,0.9,0.33962264150943394,0.4931506849315068,0.32727272727272727,0.09954545454545453,18,2,35,16.638729572296143
111_2-11_55893536121673,1.0,0.18324607329842932,0.30973451327433627,0.18181818181818182,0.08129870129870129,35,0,156,7.735380172729492
112_14-11_55893536121673,1.0,0.5454545454545454,0.7058823529411764,0.5454545454545454,0.22045454545454546,12,0,10,8.835577726364136
112_16-11_55893536121673,1.0,0.36363636363636365,0.5333333333333333,0.36363636363636365,0.16931818181818184,8,0,14,9.631513595581056
112_17-11_55893536121673,1.0,0.3181818181818182,0.4827586206896552,0.36363636363636365,0.11428571428571425,7,0,15,10.695841789245604
112_2-11_55893536121673,1.0,0.38461538461538464,0.5555555555555556,0.36363636363636365,0.18363636363636365,35,0,56,11.602527618408203
112_3-11_55893536121673,0.9714285714285714,0.40476190476190477,0.5714285714285714,0.44155844155844154,0.18311688311688312,34,1,50,12.706512689590454
113_12-11_55893536121673,0.9428571428571428,0.25984251968503935,0.4074074074074074,0.2571428571428571,0.12545454545454543,33,2,94,13.735116481781006
113_13-6_64638783269962,0.967741935483871,0.37037037037037035,0.5357142857142857,0.3519061583577713,0.13900293255131965,30,1,51,14.676500082015991
113_15-11_55893536121673,0.8,0.21621621621621623,0.3404255319148936,0.21818181818181823,0.06454545454545454,8,2,29,15.64013934135437
113_4-11_55893536121673,1.0,0.24305555555555555,0.39106145251396646,0.2727272727272727,0.12519480519480516,35,0,109,16.695369005203247
114_11-11_55893536121673,0.9714285714285714,0.2786885245901639,0.4331210191082802,0.2649350649350649,0.11090909090909092,34,1,88,7.818199872970581
114_3-11_55893536121673,0.9428571428571428,0.24812030075187969,0.39285714285714285,0.2571428571428571,0.0812987012987013,33,2,100,8.894446611404419
114_5-11_55893536121673,0.9142857142857143,0.24242424242424243,0.3832335329341317,0.24935064935064935,0.09220779220779221,32,3,100,9.7426278591156
115_0-11_55893536121673,1.0,0.8461538461538461,0.9166666666666666,0.8181818181818182,0.46611570247933887,11,0,2,10.784899711608888
115_16-11_55893536121673,1.0,1.0,1.0,1.0,0.1,1,0,0,11.7684805393219
115_2-11_55893536121673,0.8666666666666667,0.7222222222222222,0.7878787878787877,0.6303030303030304,0.26303030303030306,13,2,5,12.756834745407104
115_9-11_55893536121673,0.9090909090909091,0.7692307692307693,0.8333333333333333,0.6611570247933884,0.2661157024793388,10,1,3,14.168485641479492
116_8-11_55893536121673,0.9428571428571428,0.19298245614035087,0.3203883495145631,0.17142857142857143,0.07792207792207792,33,2,138,14.733989953994753
117_1-11_55893536121673,0.9714285714285714,0.2809917355371901,0.4358974358974359,0.2649350649350649,0.13012987012987012,34,1,87,15.847403049468994
117_13-6_64638783269962,0.96875,0.43661971830985913,0.6019417475728155,0.4403409090909091,0.17102272727272727,31,1,40,16.632439136505127
118_19-11_55893536121673,1.0,0.3783783783783784,0.5490196078431372,0.36363636363636365,0.12987012987012986,14,0,23,7.849738836288452
118_8-11_55893536121673,0.9142857142857143,0.27586206896551724,0.423841059602649,0.24935064935064935,0.1103896103896104,32,3,84,8.982399225234985
119_10-11_55893536121673,0.9615384615384616,0.5813953488372093,0.7246376811594203,0.5244755244755245,0.26468531468531464,25,1,18,9.714348793029783
119_13-6_64638783269962,0.9523809523809523,0.6666666666666666,0.7843137254901961,0.606060606060606,0.21904761904761902,20,1,10,10.777711868286133
119_6-6_64638783269962,0.95,0.7916666666666666,0.8636363636363635,0.6909090909090909,0.3109090909090909,19,1,5,11.983232498168944
119_8-11_55893536121673,0.9090909090909091,0.5555555555555556,0.6896551724137931,0.4958677685950413,0.25413223140495866,20,2,16,12.764914751052856
11_2-16_245824983299933,0.7777777777777778,0.022435897435897436,0.04361370716510903,0.0707070707070707,0.02121212121212121,7,2,305,13.890673637390137
11_3-16_245824983299933,0.6666666666666666,0.006920415224913495,0.013698630136986302,0.0606060606060606,0.02727272727272727,2,1,287,14.904452800750732
11_4-11_016700066800267,0.3333333333333333,0.005025125628140704,0.009900990099009901,0.0303030303030303,0.00303030303030303,1,2,198,15.883979558944702
120_16-11_55893536121673,0.9230769230769231,0.3157894736842105,0.47058823529411764,0.3356643356643357,0.12097902097902098,12,1,26,16.66165542602539
121_1-11_55893536121673,0.9142857142857143,0.23703703703703705,0.3764705882352941,0.24935064935064935,0.10363636363636364,32,3,103,10.674197673797607
121_10-11_55893536121673,1.0,0.30434782608695654,0.4666666666666667,0.36363636363636365,0.12493506493506494,35,0,80,8.630051374435425
121_11-11_55893536121673,1.0,0.24305555555555555,0.39106145251396646,0.2727272727272727,0.12129870129870128,35,0,109,9.77849578857422
121_19-11_55893536121673,1.0,0.6388888888888888,0.7796610169491525,0.6363636363636364,0.208300395256917,23,0,13,10.798080682754517
121_9-11_55893536121673,0.9714285714285714,0.26153846153846155,0.4121212121212121,0.2649350649350649,0.12155844155844153,34,1,96,11.79162621498108
122_12-11_55893536121673,0.9428571428571428,0.34375,0.5038167938931298,0.34285714285714286,0.1553246753246753,33,2,63,12.932263612747192
122_13-6_64638783269962,0.9714285714285714,0.6181818181818182,0.7555555555555554,0.6181818181818182,0.22519480519480517,34,1,21,13.918741226196287
122_7-11_55893536121673,0.9714285714285714,0.26153846153846155,0.4121212121212121,0.2649350649350649,0.11428571428571428,34,1,96,14.745325326919556
123_12-11_55893536121673,0.9142857142857143,0.2,0.3282051282051282,0.24935064935064935,0.08831168831168831,32,3,128,15.669331073760986
123_15-11_55893536121673,1.0,0.6,0.7499999999999999,0.5454545454545454,0.15303030303030302,18,0,12,16.78533411026001
123_17-11_55893536121673,0.8947368421052632,0.4358974358974359,0.5862068965517242,0.40669856459330145,0.15550239234449761,17,2,22,7.702014207839966
123_19-11_55893536121673,1.0,0.5357142857142857,0.6976744186046512,0.5454545454545454,0.16727272727272727,15,0,13,8.879545450210571
124_1-11_55893536121673,0.9428571428571428,0.2972972972972973,0.4520547945205479,0.2571428571428571,0.09272727272727273,33,2,78,9.590590000152588
124_10-11_55893536121673,1.0,0.35714285714285715,0.5263157894736842,0.36363636363636365,0.17324675324675326,35,0,63,10.763192892074583
124_16-11_55893536121673,1.0,0.48,0.6486486486486487,0.45454545454545453,0.1424242424242424,12,0,13,11.752617597579956
124_2-11_55893536121673,0.9428571428571428,0.36666666666666664,0.5279999999999999,0.34285714285714286,0.14935064935064934,33,2,57,12.971877813339232
124_5-11_55893536121673,1.0,0.4117647058823529,0.5833333333333334,0.45454545454545453,0.1664935064935065,35,0,50,13.943336963653564
124_7-11_55893536121673,0.9714285714285714,0.4,0.5666666666666667,0.44155844155844154,0.16025974025974027,34,1,51,14.72922658920288
125_0-11_55893536121673,1.0,0.5,0.6666666666666666,0.5454545454545454,0.23376623376623376,35,0,35,16.053773164749146
125_19-11_55893536121673,0.8181818181818182,0.5625,0.6666666666666666,0.4462809917355372,0.17685950413223142,9,2,7,16.78991413116455
126_12-11_55893536121673,1.0,0.2892561983471074,0.44871794871794873,0.2727272727272727,0.1148051948051948,35,0,86,7.887494087219238
126_13-6_64638783269962,0.9428571428571428,0.4520547945205479,0.611111111111111,0.4285714285714286,0.15740259740259738,33,2,40,8.895151853561401
126_16-11_55893536121673,0.75,0.36,0.48648648648648657,0.2727272727272727,0.12045454545454545,9,3,16,9.72542142868042
127_14-11_55893536121673,0.9333333333333333,0.32558139534883723,0.4827586206896553,0.3393939393939394,0.10909090909090909,14,1,29,10.811885833740234
127_15-11_55893536121673,0.95,0.38,0.5428571428571428,0.34545454545454546,0.13136363636363638,19,1,31,11.989162921905518
127_17-11_55893536121673,0.85,0.3953488372093023,0.5396825396825397,0.3090909090909091,0.09909090909090909,17,3,26,12.94356894493103
127_20-6_64638783269962,0.875,0.6086956521739131,0.717948717948718,0.5568181818181818,0.16647727272727272,14,2,9,13.937401294708252
127_9-11_55893536121673,0.9428571428571428,0.15789473684210525,0.2704918032786885,0.17142857142857143,0.08181818181818182,33,2,176,14.942599534988403
128_14-11_55893536121673,1.0,0.6842105263157895,0.8125000000000001,0.6363636363636364,0.2363636363636364,13,0,6,15.82651400566101
128_15-11_55893536121673,0.8888888888888888,0.5714285714285714,0.6956521739130435,0.4848484848484848,0.18484848484848482,8,1,6,16.82768487930298
128_5-11_55893536121673,0.9714285714285714,0.4788732394366197,0.6415094339622641,0.44155844155844154,0.2116883116883117,34,1,37,7.840530395507812
128_7-11_55893536121673,1.0,0.4861111111111111,0.6542056074766355,0.45454545454545453,0.23168831168831167,35,0,37,8.981017112731934
129_13-6_64638783269962,0.8857142857142857,0.26956521739130435,0.41333333333333333,0.24155844155844156,0.08415584415584416,31,4,84,9.585307836532593
129_14-11_55893536121673,0.9375,0.38461538461538464,0.5454545454545454,0.3409090909090909,0.11420454545454543,15,1,24,10.711146593093872
129_15-11_55893536121673,0.8461538461538461,0.275,0.41509433962264153,0.23076923076923075,0.0944055944055944,11,2,29,11.98273777961731
129_2-11_55893536121673,0.9714285714285714,0.19428571428571428,0.3238095238095238,0.17662337662337663,0.08207792207792208,34,1,141,12.98237133026123
129_20-6_64638783269962,0.9047619047619048,0.6333333333333333,0.7450980392156863,0.5757575757575758,0.15670995670995672,19,2,11,13.914517164230348
129_3-11_55893536121673,0.9714285714285714,0.16585365853658537,0.2833333333333333,0.17662337662337663,0.07974025974025974,34,1,171,15.109018325805664
12_1-16_245824983299933,0.5714285714285714,0.014814814814814815,0.02888086642599278,0.051948051948051945,0.015584415584415584,4,3,266,16.008851528167725
12_5-16_245824983299933,0.4,0.009900990099009901,0.01932367149758454,0.03636363636363637,0.005454545454545455,2,3,200,16.669075965881348
130_12-11_55893536121673,1.0,0.2413793103448276,0.3888888888888889,0.2727272727272727,0.10727272727272726,35,0,110,7.778492212295532
130_14-11_55893536121673,0.9545454545454546,0.7,0.8076923076923077,0.6074380165289256,0.20578512396694215,21,1,9,8.87921142578125
130_19-11_55893536121673,0.9411764705882353,0.5517241379310345,0.6956521739130435,0.5133689839572192,0.2390374331550802,16,1,13,9.685091972351074
130_6-6_64638783269962,0.9714285714285714,0.4,0.5666666666666667,0.44155844155844154,0.15324675324675327,34,1,51,10.813590288162231
131_12-11_55893536121673,0.9714285714285714,0.7555555555555555,0.85,0.7064935064935065,0.2924675324675325,34,1,11,12.001558065414429
131_18-11_55893536121673,0.7272727272727273,0.4444444444444444,0.5517241379310345,0.3305785123966942,0.10495867768595042,8,3,10,13.115046262741089
132_0-11_55893536121673,1.0,0.17676767676767677,0.30042918454935624,0.18181818181818182,0.09038961038961038,35,0,163,13.996230125427246
132_16-11_55893536121673,0.8181818181818182,0.3673469387755102,0.5070422535211268,0.2975206611570248,0.1103305785123967,18,4,31,15.03554344177246
132_20-6_64638783269962,0.8888888888888888,0.48484848484848486,0.6274509803921569,0.40404040404040403,0.14393939393939395,16,2,17,15.893505811691284
132_8-11_55893536121673,1.0,0.16355140186915887,0.28112449799196787,0.18181818181818182,0.07896103896103897,35,0,179,16.6843478679657
133_19-11_55893536121673,0.8666666666666667,0.35135135135135137,0.5000000000000001,0.3151515151515152,0.10181818181818184,13,2,24,7.799007177352905
134_13-6_64638783269962,0.9583333333333334,0.7931034482758621,0.8679245283018867,0.696969696969697,0.3003787878787879,23,1,6,8.85469365119934
134_15-11_55893536121673,0.9,0.5625,0.6923076923076923,0.49090909090909096,0.16545454545454547,9,1,7,9.493059158325195
134_20-6_64638783269962,1.0,0.7777777777777778,0.8750000000000001,0.7272727272727273,0.23896103896103896,7,0,2,10.793030738830566
134_7-11_55893536121673,1.0,0.5384615384615384,0.7000000000000001,0.5454545454545454,0.26545454545454544,35,0,30,11.818538665771484
135_10-11_55893536121673,1.0,0.4375,0.6086956521739131,0.45454545454545453,0.20493506493506497,35,0,45,12.968990564346312
135_11-11_55893536121673,0.8857142857142857,0.4696969696969697,0.6138613861386139,0.4025974025974026,0.18415584415584413,31,4,35,14.11970853805542
135_18-11_55893536121673,0.8181818181818182,0.47368421052631576,0.6,0.371900826446281,0.13140495867768595,9,2,10,15.054518461227415
135_5-11_55893536121673,1.0,0.44871794871794873,0.6194690265486726,0.45454545454545453,0.24207792207792206,35,0,43,15.921768426895142
135_6-6_64638783269962,1.0,0.7608695652173914,0.8641975308641976,0.7272727272727273,0.2885714285714286,35,0,11,16.836467504501343
136_0-11_55893536121673,0.9714285714285714,0.2556390977443609,0.4047619047619047,0.2649350649350649,0.12233766233766234,34,1,99,8.059568166732788
136_14-11_55893536121673,1.0,0.5121951219512195,0.6774193548387097,0.5454545454545454,0.1571428571428571,21,0,20,8.899658679962158
136_18-11_55893536121673,0.8571428571428571,0.4186046511627907,0.5625000000000001,0.3896103896103896,0.14112554112554113,18,3,25,9.600672483444214
136_19-11_55893536121673,0.8888888888888888,0.45714285714285713,0.6037735849056604,0.40404040404040403,0.12424242424242427,16,2,19,10.888100147247314
136_5-11_55893536121673,1.0,0.25,0.4,0.2727272727272727,0.12857142857142856,35,0,105,11.820942640304564
136_8-11_55893536121673,0.9714285714285714,0.22666666666666666,0.36756756756756753,0.2649350649350649,0.12441558441558442,34,1,116,12.95311951637268
136_9-11_55893536121673,1.0,0.3181818181818182,0.4827586206896552,0.36363636363636365,0.15896103896103894,35,0,75,13.918748140335085
137_0-11_55893536121673,1.0,0.2966101694915254,0.457516339869281,0.2727272727272727,0.15038961038961038,35,0,83,14.908085346221924
137_18-11_55893536121673,0.8333333333333334,0.4838709677419355,0.6122448979591837,0.37878787878787884,0.11767676767676769,15,3,16,15.832706451416016
137_5-11_55893536121673,1.0,0.29411764705882354,0.45454545454545453,0.2727272727272727,0.14103896103896102,35,0,84,16.86496591567993
137_9-11_55893536121673,1.0,0.2536231884057971,0.4046242774566474,0.2727272727272727,0.1225974025974026,35,0,103,8.15203070640564
138_1-11_55893536121673,1.0,0.2755905511811024,0.4320987654320988,0.2727272727272727,0.12779220779220776,35,0,92,9.05331802368164
138_17-11_55893536121673,1.0,0.41379310344827586,0.5853658536585366,0.45454545454545453,0.16666666666666666,12,0,17,9.786929607391356
139_1-11_55893536121673,1.0,0.19337016574585636,0.32407407407407407,0.18181818181818182,0.08155844155844157,35,0,146,10.844939470291138
139_11-11_55893536121673,0.9714285714285714,0.17258883248730963,0.29310344827586204,0.17662337662337663,0.0664935064935065,34,1,163,11.993495225906372
139_15-11_55893536121673,0.8333333333333334,0.42857142857142855,0.5660377358490566,0.37878787878787884,0.1393939393939394,15,3,20,12.9086594581604
139_2-11_55893536121673,1.0,0.16990291262135923,0.29045643153526973,0.18181818181818182,0.08233766233766233,35,0,171,14.172419786453249
139_3-11_55893536121673,0.9444444444444444,0.17616580310880828,0.296943231441048,0.1717171717171717,0.07045454545454546,34,2,159,15.09251308441162
139_5-11_55893536121673,0.9142857142857143,0.16326530612244897,0.277056277056277,0.16623376623376623,0.06233766233766234,32,3,164,16.071167469024658
139_6-6_64638783269962,0.9714285714285714,0.3269230769230769,0.48920863309352514,0.35324675324675325,0.10909090909090909,34,1,70,16.829203128814697
140_10-11_55893536121673,0.9428571428571428,0.2037037037037037,0.33502538071065985,0.2571428571428571,0.1225974025974026,33,2,129,7.788774251937866
140_13-6_64638783269962,0.8918918918918919,0.3548387096774194,0.5076923076923078,0.32432432432432434,0.1058968058968059,33,4,60,8.854171991348267
140_14-11_55893536121673,0.8666666666666667,0.40625,0.5531914893617021,0.393939393939394,0.1296969696969697,13,2,19,9.864789485931396
140_16-11_55893536121673,0.9,0.32727272727272727,0.48,0.32727272727272727,0.10272727272727274,18,2,37,10.819430828094482
140_20-6_64638783269962,0.6923076923076923,0.6428571428571429,0.6666666666666666,0.4405594405594405,0.1846153846153846,9,4,5,11.786738872528076
141_0-11_55893536121673,1.0,0.3153153153153153,0.4794520547945206,0.36363636363636365,0.16051948051948053,35,0,76,12.992588996887209
141_1-11_55893536121673,0.9428571428571428,0.2796610169491525,0.43137254901960786,0.2571428571428571,0.12129870129870131,33,2,85,13.932043313980104
141_10-11_55893536121673,0.9142857142857143,0.3137254901960784,0.4671532846715328,0.33246753246753247,0.13558441558441556,32,3,70,15.1004319190979
141_13-6_64638783269962,0.9655172413793104,0.5490196078431373,0.7000000000000002,0.5266457680250783,0.20125391849529778,28,1,23,16.0043785572052
141_15-11_55893536121673,0.9166666666666666,0.4074074074074074,0.5641025641025641,0.41666666666666663,0.1386363636363636,11,1,16,17.037132740020752
142_14-11_55893536121673,1.0,0.375,0.5454545454545454,0.36363636363636365,0.11757575757575758,15,0,25,10.939227819442747
142_4-11_55893536121673,0.9714285714285714,0.19318181818181818,0.3222748815165877,0.17662337662337663,0.07948051948051948,34,1,142,8.861014604568481
143_15-11_55893536121673,0.9230769230769231,0.41379310344827586,0.5714285714285715,0.41958041958041964,0.1251748251748252,12,1,17,9.72766923904419
143_17-11_55893536121673,1.0,0.34375,0.5116279069767442,0.36363636363636365,0.16446280991735535,11,0,21,10.807984590530396
143_18-11_55893536121673,0.9,0.23684210526315788,0.375,0.24545454545454548,0.10363636363636364,9,1,29,11.965951442718506
143_4-11_55893536121673,0.9722222222222222,0.3153153153153153,0.4761904761904762,0.35353535353535354,0.13434343434343435,35,1,76,13.000195264816284
143_5-11_55893536121673,0.9714285714285714,0.3269230769230769,0.48920863309352514,0.35324675324675325,0.1527272727272727,34,1,70,13.945664405822754
144_11-11_55893536121673,0.9714285714285714,0.2537313432835821,0.4023668639053255,0.2649350649350649,0.12,34,1,100,14.90182399749756
144_13-6_64638783269962,0.8857142857142857,0.4626865671641791,0.6078431372549019,0.4025974025974026,0.1522077922077922,31,4,36,15.86829924583435
144_6-6_64638783269962,0.9714285714285714,0.5396825396825397,0.6938775510204082,0.5298701298701298,0.19376623376623375,34,1,29,16.835299968719482
145_13-6_64638783269962,0.8695652173913043,0.5714285714285714,0.689655172413793,0.4743083003952569,0.2118577075098814,20,3,15,11.004995584487917
145_15-11_55893536121673,0.7777777777777778,0.30434782608695654,0.43750000000000006,0.2828282828282828,0.06767676767676768,7,2,16,8.940740585327148
145_20-6_64638783269962,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.5289256198347108,0.1834710743801653,8,3,3,9.829935550689695
145_6-6_64638783269962,1.0,0.46808510638297873,0.6376811594202899,0.45454545454545453,0.19586776859504132,22,0,25,10.823219060897827
146_0-11_55893536121673,0.9428571428571428,0.23404255319148937,0.375,0.2571428571428571,0.11688311688311688,33,2,108,11.802158117294312
146_12-11_55893536121673,0.9428571428571428,0.2037037037037037,0.33502538071065985,0.2571428571428571,0.09818181818181818,33,2,129,12.945837259292604
146_14-11_55893536121673,1.0,0.5428571428571428,0.7037037037037037,0.5454545454545454,0.19234449760765548,19,0,16,14.073635578155518
146_2-11_55893536121673,0.8857142857142857,0.19745222929936307,0.3229166666666667,0.16103896103896104,0.08467532467532467,31,4,126,14.941688060760498
146_3-11_55893536121673,1.0,0.25925925925925924,0.4117647058823529,0.2727272727272727,0.13350649350649352,35,0,100,16.08995270729065
146_6-6_64638783269962,0.9428571428571428,0.3235294117647059,0.4817518248175183,0.34285714285714286,0.12181818181818183,33,2,69,16.634305953979492
147_2-11_55893536121673,0.9714285714285714,0.4788732394366197,0.6415094339622641,0.44155844155844154,0.17896103896103893,34,1,37,7.841644525527954
147_3-11_55893536121673,0.9090909090909091,0.46153846153846156,0.6122448979591837,0.4132231404958677,0.15867768595041318,30,3,35,8.795416116714478
148_11-11_55893536121673,1.0,0.13157894736842105,0.23255813953488372,0.18181818181818182,0.08155844155844157,35,0,231,9.699436902999878
148_15-11_55893536121673,0.9444444444444444,0.2236842105263158,0.3617021276595745,0.25757575757575757,0.06464646464646465,17,1,59,10.793536901474
148_18-11_55893536121673,0.9375,0.29411764705882354,0.44776119402985076,0.2556818181818182,0.07613636363636364,15,1,36,11.975392818450928
148_19-11_55893536121673,0.782608695652174,0.2571428571428571,0.3870967741935484,0.21343873517786563,0.07865612648221346,18,5,52,12.959022045135498
