method,precision,recall,f1-score,map50,map50-95,tp,fp,fn,segmentation_time
0_1-16_245824983299933,0.45,0.32432432432432434,0.3769633507853403,0.16363636363636364,0.04852272727272727,36,44,75,4.980292558670044
0_4-11_016700066800267,0.4166666666666667,0.38461538461538464,0.4,0.15151515151515152,0.03803030303030303,25,35,40,2.179675340652466
0_6-16_245824983299933,0.5454545454545454,0.3287671232876712,0.4102564102564102,0.1983471074380165,0.05227272727272728,24,20,49,2.3197195529937744
0_8-16_245824983299933,0.3877551020408163,0.27941176470588236,0.3247863247863248,0.10575139146567718,0.03024118738404453,19,30,49,2.189420700073242
100_12-11_55893536121673,0.5283018867924528,0.717948717948718,0.6086956521739131,0.38421955403087477,0.11337907375643223,28,25,11,2.247100114822388
100_2-11_55893536121673,0.5641025641025641,0.7333333333333333,0.6376811594202899,0.41025641025641024,0.11748251748251748,22,17,8,2.287604570388794
100_3-11_55893536121673,0.4909090909090909,0.8181818181818182,0.6136363636363636,0.40165289256198344,0.10429752066115701,27,28,6,2.4446780681610107
100_5-11_55893536121673,0.5714285714285714,0.7142857142857143,0.634920634920635,0.41558441558441556,0.09558441558441558,20,15,8,2.225520133972168
101_1-11_55893536121673,0.46875,0.8035714285714286,0.5921052631578947,0.3835227272727273,0.13323863636363636,45,51,11,2.344728469848633
101_15-11_55893536121673,0.23076923076923078,0.3,0.2608695652173913,0.06293706293706293,0.01048951048951049,3,10,7,2.139496088027954
101_16-11_55893536121673,0.4827586206896552,0.8235294117647058,0.608695652173913,0.3949843260188088,0.08746081504702194,14,15,3,2.078340530395508
102_1-11_55893536121673,0.4782608695652174,0.6804123711340206,0.5617021276595745,0.30434782608695654,0.07931488801054018,66,72,31,2.5269463062286377
102_14-11_55893536121673,0.5666666666666667,0.8095238095238095,0.6666666666666666,0.4636363636363636,0.11363636363636362,17,13,4,2.178163766860962
102_16-11_55893536121673,0.5333333333333333,0.5517241379310345,0.5423728813559322,0.29090909090909095,0.06909090909090909,16,14,13,2.059382200241089
103_14-11_55893536121673,0.6774193548387096,0.8076923076923077,0.7368421052631579,0.5542521994134897,0.12434017595307915,21,10,5,2.035207271575928
103_15-11_55893536121673,0.6,0.8,0.6857142857142857,0.49090909090909085,0.12363636363636363,12,8,3,2.028818368911743
103_18-11_55893536121673,0.44,0.6470588235294118,0.5238095238095238,0.28,0.08436363636363636,11,14,6,2.118574619293213
104_0-11_55893536121673,0.3910891089108911,0.6370967741935484,0.4846625766871166,0.2488748874887489,0.05535553555355536,79,123,45,2.3195390701293945
104_10-11_55893536121673,0.43617021276595747,0.656,0.5239616613418531,0.2775628626692457,0.06716634429400387,82,106,43,2.3262336254119877
104_14-11_55893536121673,0.5,0.85,0.6296296296296295,0.4090909090909091,0.12807486631016043,17,17,3,2.078197479248047
