file,VMD_pred,VMD_gt,VMD_error,RSF_pred,RSF_gt,RSF_error,CoveragePercentage_pred,CoveragePercentage_gt,CoveragePercentage_error,NoDroplets_pred,NoDroplets_gt,NoDroplets_error,NoOverlappedDroplets_pred,NoOverlappedDroplets_gt,NoOverlappedDroplets_error,OverlappedDropletsPercentage_pred,OverlappedDropletsPercentage_gt,OverlappedDropletsPercentage_error
100_0_0-11_55893536121673,339.79369680028583,271.9,0.2497009812441554,0.497667960424416,0.53,0.06100384825581887,3.1933593750000004,2.28,0.4005962171052635,51,56.0,0.08928571428571429,0,8.0,1.0,0.0,14.29,1.0
100_0_320-11_55893536121673,350.62168779143457,285.31,0.22891482174278702,0.37113670890083916,0.46,0.19318106760687143,3.7700195312499996,2.62,0.43893875238549596,55,61.0,0.09836065573770492,0,12.0,1.0,0.0,19.67,1.0
100_0_640-11_55893536121673,279.4292371292888,235.91,0.1844738973731034,0.6537831205832149,0.79,0.1724264296415002,1.498046875,1.12,0.3375418526785713,8,9.0,0.1111111111111111,0,0.0,0,0.0,0.0,0
100_1280_0-11_55893536121673,329.87056635911745,268.82,0.2271057449561694,0.4130254721240164,0.52,0.20572024591535307,3.029296875,2.22,0.3645481418918918,49,55.0,0.10909090909090909,0,24.0,1.0,0.0,43.64,1.0
100_1280_320-11_55893536121673,326.07154638501504,259.39,0.2570706133043489,0.3985673511490736,0.46,0.13354923663244872,3.0234375,2.21,0.3680712669683258,49,56.0,0.125,0,16.0,1.0,0.0,28.57,1.0
100_1280_640-11_55893536121673,390.94605025214514,268.82,0.45430418217448537,0.3677586431078214,0.54,0.31896547572625666,2.001953125,1.56,0.2833032852564102,7,8.0,0.125,0,4.0,1.0,0.0,50.0,1.0
100_1600_0-11_55893536121673,318.33752368449314,264.15,0.20513921515992112,0.4762818030157728,0.54,0.11799666108190232,2.32275390625,1.69,0.37441059541420124,38,43.0,0.11627906976744186,0,4.0,1.0,0.0,9.3,1.0
100_1600_320-11_55893536121673,324.79533191307576,260.98,0.2445219247186594,0.35288000057839897,0.52,0.3213846142723097,3.31103515625,2.37,0.39706124736286913,55,64.0,0.140625,0,24.0,1.0,0.0,37.5,1.0
100_1600_640-11_55893536121673,324.79533191307576,259.39,0.2521505528859084,0.6353612542234574,0.85,0.2525161715018149,1.8613281249999998,1.32,0.41009706439393917,9,9.0,0.0,0,0.0,0,0.0,0.0,0
100_1920_0-6_64638783269962,601.4801780891164,274.93,1.187757531332035,0.34924216318941,0.42,0.1684710400252143,2.9729959239130435,2.14,0.38925043173506696,27,31.0,0.12903225806451613,0,0.0,0,0.0,0.0,0
100_1920_320-6_64638783269962,555.8948227482487,271.9,1.0444826140060637,0.4021994772978456,0.42,0.042382196909891375,3.390794836956522,2.43,0.3953888217928073,33,38.0,0.13157894736842105,0,16.0,1.0,0.0,42.11,1.0
100_1920_640-6_64638783269962,551.3568299150235,251.26,1.1943677064197384,0.4559932622299974,0.55,0.17092134140000476,1.8376358695652173,1.41,0.3032878507554733,6,6.0,0.0,4,4.0,0.0,66.66666666666666,66.67,4.999750012516143e-05
100_320_0-11_55893536121673,317.03017720113854,260.98,0.21476809411119058,0.3815330370641682,0.41,0.0694316169166629,3.10693359375,2.25,0.380859375,54,59.0,0.0847457627118644,0,32.0,1.0,0.0,54.24,1.0
100_320_320-11_55893536121673,332.37912390651854,273.42,0.21563573954545578,0.3735687333851211,0.41,0.08885674784116802,3.2021484375,2.23,0.4359410033632287,52,56.0,0.07142857142857142,0,8.0,1.0,0.0,14.29,1.0
100_320_640-11_55893536121673,334.86888996687156,285.31,0.17370190307690428,0.21001212394964824,0.28,0.24995670017982777,1.9296875000000002,1.37,0.40853102189781026,8,9.0,0.1111111111111111,0,0.0,0,0.0,0.0,0
100_640_0-11_55893536121673,332.37912390651854,268.82,0.2364374819824364,0.27985872541275886,0.49,0.4288597440555942,2.41845703125,1.78,0.3586837254213483,39,47.0,0.1702127659574468,0,0.0,0,0.0,0.0,0
100_640_320-11_55893536121673,326.07154638501504,262.57,0.24184616058580588,0.43775729473942937,0.52,0.15815904857802046,2.62841796875,2.0,0.314208984375,47,57.0,0.17543859649122806,0,4.0,1.0,0.0,7.02,1.0
100_640_640-11_55893536121673,331.12722068636225,259.39,0.27656124247797625,0.7948946769092322,0.65,0.2229148875526649,1.853515625,1.45,0.27828663793103453,8,10.0,0.2,0,8.0,1.0,0.0,80.0,1.0
100_960_0-11_55893536121673,328.60910641778463,271.9,0.20856604052145883,0.4438512716305857,0.52,0.1464398622488737,3.537109375,2.41,0.46768023858921154,58,61.0,0.04918032786885246,0,4.0,1.0,0.0,6.56,1.0
100_960_320-11_55893536121673,332.37912390651854,264.15,0.2582968915635759,0.3178101137151031,0.52,0.38882670439403255,2.52294921875,1.99,0.2678136777638191,39,51.0,0.23529411764705882,0,20.0,1.0,0.0,39.22,1.0
100_960_640-11_55893536121673,311.7459708458562,264.15,0.1801853902928497,0.5844099960036805,0.53,0.10266036981826501,3.5136718749999996,2.5,0.4054687499999998,16,17.0,0.058823529411764705,0,0.0,0,0.0,0.0,0
108_0_0-11_55893536121673,339.79369680028583,270.36,0.25681941411557113,0.40382589177248057,0.52,0.22341174659138355,8.982421875,6.04,0.4871559395695364,136,149.0,0.087248322147651,0,64.0,1.0,0.0,42.95,1.0
108_0_320-11_55893536121673,339.79369680028583,273.42,0.24275362738748377,0.4680565431434201,0.52,0.0998912631857306,7.616210937499999,5.2,0.46465594951923056,112,129.0,0.13178294573643412,0,68.0,1.0,0.0,52.71,1.0
108_0_640-11_55893536121673,323.5140830058795,254.54,0.2709754184249215,0.44609747989231063,0.52,0.14212023097632573,6.947265625,4.67,0.48763717880085655,32,34.0,0.058823529411764705,0,20.0,1.0,0.0,58.82,1.0
108_1280_0-11_55893536121673,336.1068568134763,267.27,0.2575554937459361,0.3992610371443564,0.5,0.2014779257112872,8.2294921875,5.34,0.5411034058988764,126,136.0,0.07352941176470588,0,76.0,1.0,0.0,55.88,1.0
108_1280_320-11_55893536121673,338.56921102754546,271.9,0.24519753963790178,0.44036862462437926,0.46,0.042676902990479916,8.818359375,5.87,0.5022758730834753,131,143.0,0.08391608391608392,0,68.0,1.0,0.0,47.55,1.0
108_1280_640-11_55893536121673,332.37912390651854,262.57,0.2658686213448549,0.42626833179395385,0.45,0.052737040457880364,8.697265625,5.46,0.5929057921245421,35,37.0,0.05405405405405406,0,16.0,1.0,0.0,43.24,1.0
108_1600_0-11_55893536121673,350.62168779143457,277.94,0.26150135925535933,0.41620171546829826,0.47,0.11446443517383344,9.0966796875,6.04,0.5060727959437086,135,149.0,0.09395973154362416,0,72.0,1.0,0.0,48.32,1.0
108_1600_320-11_55893536121673,341.0137858131171,265.72,0.2833576163371861,0.48905025308362227,0.55,0.1108177216661414,9.47607421875,6.11,0.5509123107610474,149,166.0,0.10240963855421686,0,100.0,1.0,0.0,60.24,1.0
108_1600_640-11_55893536121673,324.79533191307576,265.72,0.2223217368398153,0.43704395758861364,0.48,0.08949175502372154,9.361328125,6.04,0.5498887624172185,39,39.0,0.0,0,20.0,1.0,0.0,51.28,1.0
108_1920_0-6_64638783269962,617.9621387201372,280.91,1.1998580994629495,0.40568160570149014,0.42,0.034091414996452005,9.44038722826087,6.28,0.50324637392689,78,84.0,0.07142857142857142,12,44.0,0.7272727272727273,15.384615384615385,52.38,0.7062883660821805
108_1920_320-6_64638783269962,599.3880667830599,274.93,1.180147916862692,0.40431035197802445,0.48,0.15768676671244902,8.09952445652174,5.25,0.5427665631469981,71,77.0,0.07792207792207792,8,32.0,0.75,11.267605633802818,41.56,0.7288834063088832
108_1920_640-6_64638783269962,603.5650376440775,267.27,1.2582595788681017,0.46505661185917924,0.61,0.23761211170626353,11.239809782608695,7.38,0.5230094556380346,25,27.0,0.07407407407407407,8,12.0,0.3333333333333333,32.0,44.44,0.2799279927992799
108_320_0-11_55893536121673,329.87056635911745,267.27,0.23422219612795103,0.4179842801965402,0.53,0.21135041472350907,8.38916015625,5.79,0.44890503562176165,138,159.0,0.1320754716981132,0,120.0,1.0,0.0,75.47,1.0
108_320_320-11_55893536121673,327.34278530510636,254.54,0.2860170712073009,0.3986459933967736,0.52,0.23337308962158929,6.87890625,4.57,0.5052311269146608,115,128.0,0.1015625,0,40.0,1.0,0.0,31.25,1.0
108_320_640-11_55893536121673,320.936240465852,267.27,0.20079410508419207,0.343304168036076,0.38,0.0965679788524316,7.796875,5.27,0.47948292220113864,34,34.0,0.0,0,20.0,1.0,0.0,58.82,1.0
108_640_0-11_55893536121673,339.79369680028583,274.93,0.23592804277556403,0.43800456761808554,0.53,0.17357628751304618,8.9697265625,6.02,0.48998780107973433,140,145.0,0.034482758620689655,0,72.0,1.0,0.0,49.66,1.0
108_640_320-11_55893536121673,336.1068568134763,265.72,0.2648910763716555,0.4509775305665439,0.49,0.079637692721339,8.59912109375,5.67,0.5165998401675486,133,151.0,0.11920529801324503,0,76.0,1.0,0.0,50.33,1.0
108_640_640-11_55893536121673,354.15745811416156,280.91,0.26075062516165864,0.4196939227584857,0.55,0.23692014043911694,8.06640625,5.48,0.4719719434306568,29,33.0,0.12121212121212122,0,20.0,1.0,0.0,60.61,1.0
108_960_0-11_55893536121673,339.79369680028583,273.42,0.24275362738748377,0.4468597279374066,0.5,0.10628054412518684,6.5859375,4.48,0.47007533482142844,101,112.0,0.09821428571428571,0,60.0,1.0,0.0,53.57,1.0
108_960_320-11_55893536121673,339.79369680028583,268.82,0.26401940629523785,0.45007403280453623,0.54,0.16652956888048853,9.65185546875,6.2,0.5567508820564516,150,158.0,0.05063291139240506,0,52.0,1.0,0.0,32.91,1.0
