file,VMD_pred,VMD_gt,VMD_error,RSF_pred,RSF_gt,RSF_error,CoveragePercentage_pred,CoveragePercentage_gt,CoveragePercentage_error,NoDroplets_pred,NoDroplets_gt,NoDroplets_error,NoOverlappedDroplets_pred,NoOverlappedDroplets_gt,NoOverlappedDroplets_error,OverlappedDropletsPercentage_pred,OverlappedDropletsPercentage_gt,OverlappedDropletsPercentage_error
0_1-16_245824983299933,346.0933729880657,300.41,0.15207008084972432,1.3488026269388926,1.31,0.02962032590755159,4.541015625,4.13,0.09951952179176758,134,155.0,0.13548387096774195,4,25.81,0.8450213095699342,2.9850746268656714,40.0,0.9253731343283583
0_4-11_016700066800267,350.8023428165865,321.52,0.09107471639893784,1.1757446514596712,1.23,0.04411003946368192,4.559331797235023,4.35,0.04812225223793644,93,100.0,0.07,8,28.0,0.7142857142857143,8.60215053763441,28.0,0.6927803379416283
0_6-16_245824983299933,348.45581251563465,280.64,0.24164699442572216,1.2199600998933235,1.36,0.10297051478432098,4.671223958333334,3.68,0.2693543365036233,87,93.0,0.06451612903225806,24,17.2,0.39534883720930236,27.586206896551722,16.0,0.7241379310344827
0_8-16_245824983299933,346.0933729880657,265.62,0.30296428351805477,1.259927240333078,1.41,0.10643458132405817,4.573567708333334,3.47,0.318031039865514,86,98.0,0.12244897959183673,20,40.82,0.5100440960313571,23.25581395348837,40.0,0.4186046511627907
100_12-11_55893536121673,285.31260308688815,260.98,0.09323550880101206,0.5562556000568252,0.52,0.06972230780158684,2.58984375,2.37,0.09276107594936704,57,64.0,0.109375,0,37.5,1.0,0.0,24.0,1.0
100_2-11_55893536121673,291.07707638660935,268.82,0.08279546308537072,0.5582917554643906,0.49,0.13937092951916447,1.966796875,1.78,0.10494206460674156,46,47.0,0.02127659574468085,0,0.0,0,0.0,0.0,0
100_3-11_55893536121673,292.5004446614842,271.9,0.07576478360236938,0.5819598642317926,0.52,0.11915358506113953,2.626953125,2.41,0.09002204356846466,56,61.0,0.08196721311475409,0,6.56,1.0,0.0,4.0,1.0
100_5-11_55893536121673,274.9341036948426,264.15,0.04082568122219421,0.560931644255729,0.54,0.038762304177275754,1.8735351562499998,1.69,0.10860068417159753,43,43.0,0.0,0,9.3,1.0,0.0,4.0,1.0
101_1-11_55893536121673,286.7645849989258,259.39,0.10553446547255406,0.575631653338141,0.53,0.08609745912856794,4.63232421875,4.16,0.11353947566105765,95,107.0,0.11214953271028037,0,26.17,1.0,0.0,28.0,1.0
101_15-11_55893536121673,283.85319401202133,268.82,0.055922900126558074,0.647769836343931,0.62,0.044790058619243615,3.26171875,2.79,0.16907482078853045,20,20.0,0.0,0,0.0,0,0.0,0.0,0
101_16-11_55893536121673,276.44060321138863,242.85,0.13831831670326802,0.6127384320377104,0.53,0.1561102491277554,4.5390625,4.19,0.08330847255369918,28,32.0,0.125,0,12.5,1.0,0.0,4.0,1.0
102_1-11_55893536121673,285.31260308688815,267.27,0.06750702692740736,0.8732936264923479,0.53,0.6477238235704676,7.26123046875,6.8,0.06782801011029414,143,169.0,0.15384615384615385,32,68.64,0.5337995337995338,22.377622377622377,116.0,0.8070894622618761
102_14-11_55893536121673,309.06999026085583,276.44,0.11803642837815018,0.7172819951643482,0.61,0.17587212322024298,5.958984375,5.68,0.04911696742957752,30,34.0,0.11764705882352941,12,35.29,0.6599603287050155,40.0,12.0,2.3333333333333335
102_16-11_55893536121673,293.91691999025153,271.9,0.0809743287614989,0.9075703013872723,0.72,0.26051430748232274,6.259765624999999,6.4,0.021911621093750194,36,43.0,0.16279069767441862,0,37.21,1.0,0.0,16.0,1.0
103_14-11_55893536121673,262.57112472502905,271.9,0.03430994952177612,0.9740621844330936,0.54,0.8038188600612842,6.0546875,6.01,0.007435524126455943,33,36.0,0.08333333333333333,0,44.44,1.0,0.0,16.0,1.0
103_15-11_55893536121673,305.01200253707333,265.72,0.14786994782881716,0.8368517501544203,0.6,0.3947529169240338,3.919921875,3.47,0.12966048270893366,22,23.0,0.043478260869565216,4,0.0,0,18.181818181818183,0.0,0
103_18-11_55893536121673,254.53951931363616,246.25,0.03366302259344635,0.5748795746963725,0.44,0.3065444879463012,4.666015625,4.3,0.08511991279069772,32,31.0,0.03225806451612903,0,25.81,1.0,0.0,8.0,1.0
104_0-11_55893536121673,296.72958618131736,264.15,0.12333744532014909,0.846761522682967,0.55,0.5395664048781217,9.88818359375,9.57,0.03324802442528733,198,247.0,0.19838056680161945,88,108.5,0.1889400921658986,44.44444444444444,268.0,0.8341625207296849
104_10-11_55893536121673,296.72958618131736,271.9,0.09131881640793447,0.9292366607273971,0.52,0.7869935783219174,9.77490234375,9.26,0.055605004724622056,187,231.0,0.19047619047619047,56,76.19,0.26499540622128887,29.946524064171122,176.0,0.8298492950899369
104_14-11_55893536121673,285.31260308688815,260.98,0.09323550880101206,0.9068917705193764,0.54,0.6794292046655118,6.36328125,5.83,0.09147191252144081,32,37.0,0.13513513513513514,0,10.81,1.0,0.0,4.0,1.0
104_15-11_55893536121673,276.44060321138863,260.98,0.059240567136901734,0.8693302650171837,0.41,1.1203177195541068,7.501953124999999,7.37,0.017904087516960515,41,50.0,0.18,4,72.0,0.9444444444444444,9.75609756097561,36.0,0.7289972899728997
104_19-11_55893536121673,318.33752368449314,270.36,0.17745792160265245,1.02229426712043,0.39,1.6212673515908462,12.23828125,10.12,0.2093163290513835,50,64.0,0.21875,28,112.5,0.7511111111111111,56.00000000000001,72.0,0.22222222222222213
104_5-11_55893536121673,295.32660155486485,268.82,0.09860353230736128,0.9563781850905186,0.5,0.9127563701810373,10.92431640625,10.02,0.09025113834830344,212,252.0,0.15873015873015872,104,93.65,0.11051788574479438,49.056603773584904,236.0,0.7921330348576912
104_6-6_64638783269962,298.12596841725457,271.9,0.09645446273355864,0.9172375240034404,0.54,0.6985880074137784,9.45906929347826,9.34,0.012748318359556747,112,135.0,0.17037037037037037,20,88.89,0.7750028124648441,17.857142857142858,120.0,0.8511904761904762
104_8-11_55893536121673,295.32660155486485,267.27,0.10497475045783242,0.8917181682878091,0.47,0.8972726984847004,10.896484375,10.06,0.08314954025844926,199,265.0,0.2490566037735849,76,95.09,0.20075717741087393,38.19095477386934,252.0,0.8484485921671852
