file,VMD_pred,VMD_gt,VMD_error,RSF_pred,RSF_gt,RSF_error,CoveragePercentage_pred,CoveragePercentage_gt,CoveragePercentage_error,NoDroplets_pred,NoDroplets_gt,NoDroplets_error,NoOverlappedDroplets_pred,NoOverlappedDroplets_gt,NoOverlappedDroplets_error,OverlappedDropletsPercentage_pred,OverlappedDropletsPercentage_gt,OverlappedDropletsPercentage_error
0_1-16_245824983299933,411.10282937058304,300.41,0.36847251879292636,0.636252125779859,1.31,0.5143113543665199,0.982421875,4.13,0.7621254539951574,25,155.0,0.8387096774193549,0,25.81,1.0,0.0,40.0,1.0
0_4-11_016700066800267,609.1703649727614,321.52,0.8946577661506637,0.7417759381078004,1.23,0.39693013161967444,1.8901209677419355,4.35,0.5654894327030033,27,100.0,0.73,0,28.0,1.0,0.0,28.0,1.0
0_6-16_245824983299933,364.56448870351363,280.64,0.299046781298153,0.8711561429416986,1.36,0.3594440125428687,1.1051432291666667,3.68,0.6996893399003624,21,93.0,0.7741935483870968,0,17.2,1.0,0.0,16.0,1.0
0_8-16_245824983299933,338.90726088007045,265.62,0.27591017574004384,0.732353483366346,1.41,0.4806003664068468,1.103515625,3.47,0.681983969740634,19,98.0,0.8061224489795918,0,40.82,1.0,0.0,40.0,1.0
100_12-11_55893536121673,346.0933729880657,260.98,0.32612986814340444,0.43929331980740854,0.52,0.15520515421652206,1.30078125,2.37,0.4511471518987342,35,64.0,0.453125,0,37.5,1.0,0.0,24.0,1.0
100_2-11_55893536121673,346.0933729880657,268.82,0.28745395799444134,0.447604701349921,0.49,0.08652101765322248,0.9838867187499999,1.78,0.4472546523876405,30,47.0,0.3617021276595745,0,0.0,0,0.0,0.0,0
100_3-11_55893536121673,360.0355614717869,271.9,0.32414697120922,0.5039051899719694,0.52,0.030951557746212676,1.2802734375,2.41,0.4687662085062241,35,61.0,0.4262295081967213,0,6.56,1.0,0.0,4.0,1.0
100_5-11_55893536121673,355.44893392012773,264.15,0.3456329128151723,0.6304940225877143,0.54,0.16758152331058188,1.185546875,1.69,0.298492973372781,34,43.0,0.20930232558139536,0,9.3,1.0,0.0,4.0,1.0
101_1-11_55893536121673,346.0933729880657,259.39,0.3342587339067263,0.419319877274533,0.53,0.2088304202367302,1.27294921875,4.16,0.6940025916466346,35,107.0,0.6728971962616822,0,26.17,1.0,0.0,28.0,1.0
101_15-11_55893536121673,303.12786935843707,268.82,0.12762394672434,0.6047228738615688,0.62,0.024640526029727806,0.990234375,2.79,0.6450772849462366,9,20.0,0.55,0,0.0,0,0.0,0.0,0
102_1-11_55893536121673,386.4137302431188,267.27,0.44578041023354215,0.5253980708922009,0.53,0.00868288510905492,1.470703125,6.8,0.7837201286764706,35,169.0,0.7928994082840237,0,68.64,1.0,0.0,116.0,1.0
102_14-11_55893536121673,373.457612350255,276.44,0.3509535969839928,0.3175733854590734,0.61,0.4793878926900436,2.392578125,5.68,0.5787714568661971,15,34.0,0.5588235294117647,0,35.29,1.0,0.0,12.0,1.0
102_16-11_55893536121673,424.8427349787471,271.9,0.5624962669317659,0.6975939200777715,0.72,0.031119555447539485,2.61328125,6.4,0.5916748046875,14,43.0,0.6744186046511628,0,37.21,1.0,0.0,16.0,1.0
103_14-11_55893536121673,348.45581251563465,271.9,0.28155870730281235,0.5147412215616134,0.54,0.04677551562664193,2.58203125,6.01,0.5703774958402662,18,36.0,0.5,0,44.44,1.0,0.0,16.0,1.0
103_15-11_55893536121673,388.53108160104324,265.72,0.4621823031802017,0.4082646646614094,0.6,0.31955889223098427,1.7988281250000002,3.47,0.48160572766570603,11,23.0,0.5217391304347826,0,0.0,0,0.0,0.0,0
103_18-11_55893536121673,388.53108160104324,246.25,0.5777911943189573,0.4027227053768562,0.44,0.08472112414350857,1.6171874999999998,4.3,0.6239098837209303,10,31.0,0.6774193548387096,0,25.81,1.0,0.0,8.0,1.0
104_0-11_55893536121673,379.9908940637624,264.15,0.4385420937488641,0.5165334461280763,0.55,0.06084827976713411,1.57666015625,9.57,0.8352497224399165,35,247.0,0.8582995951417004,0,108.5,1.0,0.0,268.0,1.0
104_10-11_55893536121673,419.009377120844,271.9,0.5410422108159031,0.48168083537846346,0.52,0.07369070119526261,1.84716796875,9.26,0.8005218176295896,35,231.0,0.8484848484848485,0,76.19,1.0,0.0,176.0,1.0
104_14-11_55893536121673,353.1332810360425,260.98,0.35310476295517845,0.5183945946130618,0.54,0.04001000997581153,2.978515625,5.83,0.48910538164665524,20,37.0,0.4594594594594595,0,10.81,1.0,0.0,4.0,1.0
104_15-11_55893536121673,377.82568615924305,260.98,0.44771892926370993,0.7474013914481057,0.41,0.8229302230441603,2.21875,7.37,0.6989484396200815,12,50.0,0.76,0,72.0,1.0,0.0,36.0,1.0
104_5-11_55893536121673,350.8023428165865,268.82,0.3049711435778085,0.6550611738416402,0.5,0.3101223476832804,1.14599609375,10.02,0.8856291323602794,27,252.0,0.8928571428571429,4,93.65,0.9572877736252002,14.814814814814813,236.0,0.9372253609541745
104_6-6_64638783269962,768.4887061808685,271.9,1.826365230529123,0.5198646392977937,0.54,0.03728770500408581,3.0222486413043477,9.34,0.6764187750209478,31,135.0,0.7703703703703704,0,88.89,1.0,0.0,120.0,1.0
104_8-11_55893536121673,373.457612350255,267.27,0.39730464455515024,0.43670790226982975,0.47,0.07083425048972389,1.0498046875,10.06,0.8956456573061631,26,265.0,0.9018867924528302,4,95.09,0.9579345882847828,15.384615384615385,252.0,0.938949938949939
105_11-11_55893536121673,360.0355614717869,265.72,0.35494340460555035,0.553135435273009,0.51,0.08457928484903726,1.392578125,3.75,0.6286458333333333,35,97.0,0.6391752577319587,4,32.99,0.8787511367080933,11.428571428571429,32.0,0.6428571428571428
105_2-11_55893536121673,396.887544738778,280.91,0.4128637098671388,0.5247548783981962,0.46,0.14077147477868743,1.65087890625,4.96,0.6671615108366935,35,123.0,0.7154471544715447,0,45.53,1.0,0.0,56.0,1.0
106_19-11_55893536121673,415.07492964023754,268.82,0.5440626800098116,0.5491785958171111,0.57,0.036528779268225973,3.08203125,11.04,0.7208305027173912,15,71.0,0.7887323943661971,0,90.14,1.0,0.0,64.0,1.0
106_9-11_55893536121673,350.8023428165865,268.82,0.3049711435778085,0.4788897449072022,0.47,0.018914350866387736,1.14111328125,9.05,0.8739101346685083,33,225.0,0.8533333333333334,0,80.0,1.0,0.0,180.0,1.0
107_1-11_55893536121673,338.90726088007045,267.27,0.26803330295233463,0.510835211322767,0.51,0.001637669260327416,1.18310546875,6.4,0.8151397705078125,35,160.0,0.78125,0,55.0,1.0,0.0,88.0,1.0
107_10-11_55893536121673,331.56543868172974,270.36,0.22638496331457955,0.7354256189842189,0.55,0.337137489062216,1.326171875,6.32,0.7901626780063291,35,167.0,0.7904191616766467,0,76.65,1.0,0.0,128.0,1.0
107_13-6_64638783269962,755.4625302882177,267.27,1.8265893302211913,0.4707953919233041,0.47,0.0016923232410726255,2.2528872282608696,6.93,0.6749080478700045,25,103.0,0.7572815533980582,0,100.97,1.0,0.0,104.0,1.0
107_15-11_55893536121673,428.6875439799615,273.42,0.5678719332161564,0.5304919541876805,0.48,0.10519157122433435,1.6875,6.51,0.7407834101382489,10,43.0,0.7674418604651163,0,93.02,1.0,0.0,40.0,1.0
107_3-11_55893536121673,331.56543868172974,271.9,0.21943890651610803,0.7431609706365021,0.47,0.5811935545457493,1.0390625,7.55,0.8623758278145696,30,189.0,0.8412698412698413,0,67.72,1.0,0.0,128.0,1.0
107_4-11_55893536121673,343.71469618941467,265.72,0.29352211421577085,0.45873622003530135,0.54,0.15048848141610868,1.0947265625,7.06,0.8449395803824362,33,179.0,0.8156424581005587,0,75.98,1.0,0.0,136.0,1.0
108_10-11_55893536121673,403.04120697243815,268.82,0.49929769724141865,0.4685389599739283,0.54,0.13233525930754023,1.56201171875,6.2,0.7480626260080645,35,158.0,0.7784810126582279,4,32.91,0.8784563962321482,11.428571428571429,52.0,0.7802197802197802
108_11-11_55893536121673,379.9908940637624,271.9,0.3975391469796339,0.5169099669003674,0.46,0.12371731934862472,1.46728515625,5.87,0.750036600298126,35,143.0,0.7552447552447552,0,47.55,1.0,0.0,68.0,1.0
108_19-11_55893536121673,369.0378399608959,265.72,0.38882221872985046,0.4083898390566205,0.48,0.14918783529870722,1.94140625,6.04,0.6785751241721855,12,39.0,0.6923076923076923,0,51.28,1.0,0.0,20.0,1.0
109_13-6_64638783269962,668.3212396045384,276.44,1.4175996223576124,0.6509964713110099,0.49,0.32856422716532635,2.2783627717391304,7.05,0.6768279756398398,30,98.0,0.6938775510204082,4,48.98,0.9183340138832177,13.333333333333334,48.0,0.7222222222222222
109_14-11_55893536121673,360.0355614717869,265.72,0.35494340460555035,0.5341174935622663,0.47,0.13642019906865185,1.9589843749999998,7.13,0.7252476332398317,13,47.0,0.723404255319149,4,51.06,0.9216607912260086,30.76923076923077,24.0,0.2820512820512821
