file,VMD_pred,VMD_gt,VMD_error,RSF_pred,RSF_gt,RSF_error,CoveragePercentage_pred,CoveragePercentage_gt,CoveragePercentage_error,NoDroplets_pred,NoDroplets_gt,NoDroplets_error,NoOverlappedDroplets_pred,NoOverlappedDroplets_gt,NoOverlappedDroplets_error,OverlappedDropletsPercentage_pred,OverlappedDropletsPercentage_gt,OverlappedDropletsPercentage_error
0_1-16_245824983299933,326.5792082004891,300.41,0.08711164142501612,1.1146089538603958,1.31,0.14915347033557574,2.02099609375,4.13,0.5106546988498789,82,155.0,0.47096774193548385,8,25.81,0.6900426191398683,9.75609756097561,40.0,0.7560975609756098
0_4-11_016700066800267,274.7329625018415,321.52,0.1455182803500824,1.1487063040696879,1.23,0.06609243571570089,1.9052419354838708,4.35,0.5620133481646273,61,100.0,0.39,4,28.0,0.8571428571428571,6.557377049180328,28.0,0.765807962529274
0_6-16_245824983299933,318.9537394040618,280.64,0.13652273162792844,1.191404823773396,1.36,0.12396704134309118,1.7561848958333335,3.68,0.5227758435235507,45,93.0,0.5161290322580645,4,17.2,0.7674418604651163,8.88888888888889,16.0,0.4444444444444444
0_8-16_245824983299933,256.1898085150731,265.62,0.03550256563860749,1.7706820663687592,1.41,0.2558028839494747,1.7041015625,3.47,0.5089044488472623,49,98.0,0.5,4,40.82,0.9020088192062714,8.16326530612245,40.0,0.7959183673469388
100_12-11_55893536121673,217.59321353210393,260.98,0.16624563747373777,0.8719403452749073,0.52,0.6768083562978985,1.36669921875,2.37,0.42333366297468356,53,64.0,0.171875,0,37.5,1.0,0.0,24.0,1.0
100_2-11_55893536121673,237.66343765610506,268.82,0.11590120654674106,0.6856075476017215,0.49,0.39919907673820715,1.04345703125,1.78,0.41378818469101125,39,47.0,0.1702127659574468,0,0.0,0,0.0,0.0,0
100_3-11_55893536121673,221.37772705041422,271.9,0.1858119637719226,0.7414726789181192,0.52,0.4259089979194599,1.3837890625,2.41,0.42581366701244816,55,61.0,0.09836065573770492,0,6.56,1.0,0.0,4.0,1.0
100_5-11_55893536121673,232.36172750766738,264.15,0.12034174708435585,0.5003306411058206,0.54,0.07346177572996192,0.9375,1.69,0.4452662721893491,35,43.0,0.18604651162790697,0,9.3,1.0,0.0,4.0,1.0
101_1-11_55893536121673,203.79471649063439,259.39,0.214330866684782,0.8564903838421838,0.53,0.6160195921550636,2.25830078125,4.16,0.45713923527644235,98,107.0,0.08411214953271028,8,26.17,0.6943064577760795,8.16326530612245,28.0,0.7084548104956269
101_15-11_55893536121673,184.54396469402192,268.82,0.3135035909008931,0.6877669289873216,0.62,0.10930149836664776,1.216796875,2.79,0.5638720878136201,13,20.0,0.35,0,0.0,0,0.0,0.0,0
