file,VMD_pred,VMD_gt,VMD_error,VMD_abs_error,RSF_pred,RSF_gt,RSF_error,RSF_abs_error,CoveragePercentage_pred,CoveragePercentage_gt,CoveragePercentage_error,CoveragePercentage_abs_error,NoDroplets_pred,NoDroplets_gt,NoDroplets_error,NoDroplets_abs_error,OtherCoveragePercentage_pred,OtherCoveragePercentage_gt,OtherCoveragePercentage_error,OtherCoveragePercentage_abs_error
0,601.48,305.82,0.9667778431757243,295.66,1.380528031,1.27,0.0870299456692914,0.11052803100000008,96.69,4.22,21.912322274881518,92.47,999.0,1163.0,0.1410146173688736,164.0,3.3100000000000023,4.22,0.2156398104265397,0.9099999999999975
100,604.89,268.82,1.2501673982590582,336.07,0.5345269388,0.49,0.09087130367346945,0.04452693880000003,36.84,2.13,16.295774647887324,34.71,728.0,783.0,0.070242656449553,55.0,63.16,2.13,28.652582159624412,61.029999999999994
130,970.48,443.69,1.1872929297482475,526.79,0.7430755915,0.38,0.9554620828947369,0.3630755915,66.6,14.5,3.5931034482758615,52.099999999999994,1316.0,1969.0,0.33164042661249366,653.0,33.400000000000006,14.5,1.3034482758620693,18.900000000000006
240,723.26,356.51,1.028722896973437,366.75,0.7863700467,0.51,0.5419020523529411,0.2763700467,76.97,9.72,6.9187242798353905,67.25,1521.0,2036.0,0.25294695481335955,515.0,23.03,9.72,1.3693415637860082,13.31
220,692.99,305.76,1.2664508110936683,387.23,0.5901095254,0.35,0.6860272154285714,0.24010952539999997,96.6,4.98,18.39759036144578,91.61999999999999,1150.0,1412.0,0.18555240793201133,262.0,3.4000000000000057,4.98,0.3172690763052198,1.5799999999999947
10,590.24,243.04,1.4285714285714288,347.20000000000005,0.6948698834,0.52,0.33628823730769225,0.17486988339999998,95.22,4.72,19.173728813559322,90.5,1660.0,2051.0,0.19063871282301317,391.0,4.780000000000001,4.72,0.012711864406779955,0.060000000000001386
20,674.96,353.13,0.9113640868801859,321.83000000000004,1.328508356,1.04,0.2774118807692307,0.2885083559999999,88.97,11.71,6.597779675491032,77.25999999999999,1758.0,2589.0,0.320973348783314,831.0,11.030000000000001,11.71,0.05807002561912892,0.6799999999999997
200,531.97,289.88,0.8351386780736858,242.09000000000003,1.692971408,0.99,0.7100721292929293,0.702971408,96.08,7.0,12.725714285714286,89.08,1772.0,2353.0,0.24691882702932427,581.0,3.9200000000000017,7.0,0.4399999999999998,3.0799999999999983
150,578.78,308.49,0.8761710266135043,270.28999999999996,1.535402053,1.27,0.20897799448818904,0.2654020530000001,94.19,9.75,8.660512820512821,84.44,1919.0,2607.0,0.26390487149980824,688.0,5.810000000000002,9.75,0.40410256410256384,3.9399999999999977
210,563.29,315.89,0.7831840197537117,247.39999999999998,1.324735039,0.93,0.42444627849462346,0.39473503899999984,95.53,9.32,9.25,86.21000000000001,1922.0,2655.0,0.2760828625235405,733.0,4.469999999999999,9.32,0.5203862660944207,4.850000000000001
190,1104.23,574.29,0.9227742081526756,529.94,1.509785099,0.98,0.5405970397959183,0.5297850989999999,94.01,22.43,3.1912617030762376,71.58000000000001,988.0,1954.0,0.49437052200614123,966.0,5.989999999999995,22.43,0.7329469460543917,16.440000000000005
180,1398.67,553.93,1.5249941328326688,844.7400000000001,1.193655401,0.38,2.1411984236842105,0.813655401,45.34,26.89,0.6861286723689105,18.450000000000003,896.0,2328.0,0.6151202749140894,1432.0,54.66,26.89,1.0327259204165116,27.769999999999996
230,717.31,376.57,0.9048516876012427,340.73999999999995,1.164963544,1.01,0.1534292514851484,0.1549635439999999,81.02,12.0,5.751666666666666,69.02,1601.0,2517.0,0.36392530790623756,916.0,18.980000000000004,12.0,0.581666666666667,6.980000000000004
270,886.56,415.66,1.132897079343694,470.8999999999999,0.7484547013,0.5,0.49690940260000005,0.24845470130000002,53.29,8.75,5.090285714285714,44.54,1053.0,1365.0,0.22857142857142856,312.0,46.71,8.75,4.338285714285714,37.96
250,552.18,270.36,1.0423879272081666,281.81999999999994,0.6594407621,0.48,0.37383492104166677,0.17944076210000004,84.72,5.47,14.488117001828154,79.25,1674.0,1991.0,0.1592164741336012,317.0,15.280000000000001,5.47,1.7934186471663625,9.810000000000002
160,530.46,239.64,1.2135703555333002,290.82000000000005,0.8327112318,0.55,0.5140204214545453,0.2827112317999999,93.14,8.14,10.44226044226044,85.0,2561.0,3611.0,0.29077817779008586,1050.0,6.859999999999999,8.14,0.15724815724815738,1.2800000000000011
