id,no_droplets,coverage_percentage,dv01,vmd,dv09,rsf,rsf_old
0,999,96.69,347.27,601.48,1177.63,1.380528031,#VALUE!
100,728,36.84,435.57,604.89,758.9,0.5345269388,#VALUE!
130,1316,66.6,717.6,970.48,1438.74,0.7430755915,#VALUE!
240,1521,76.97,507.21,723.26,1075.96,0.7863700467,#VALUE!
220,1150,96.6,539.97,692.99,948.91,0.5901095254,#VALUE!
10,1660,95.22,448.32,590.24,858.46,0.6948698834,#VALUE!
20,1758,88.97,366.05,674.96,1262.74,1.328508356,#VALUE!
200,1772,96.08,20.79,531.97,921.4,1.692971408,#VALUE!
150,1919,94.19,347.27,578.78,1235.93,1.535402053,#VALUE!
210,1922,95.53,307.13,563.29,1053.34,1.324735039,#VALUE!
190,988,94.01,572.93,1104.23,2240.08,1.509785099,#VALUE!
180,896,45.34,957.37,1398.67,2626.9,1.193655401,#VALUE!
230,1601,81.02,392.89,717.31,1228.53,1.164963544,#VALUE!
270,1053,53.29,607.67,886.56,1271.22,0.7484547013,#VALUE!
250,1674,84.72,394.77,552.18,758.9,0.6594407621,#VALUE!
160,2561,93.14,400.99,530.46,842.71,0.8327112318,#VALUE!
280,1624,94.52,698.46,966.98,1520.04,0.8496349459,#VALUE!
260,1377,96.42,386.09,740.83,1342.51,1.291011433,#VALUE!
60,1431,72.42,307.13,592.96,1010.19,1.185678629,#VALUE!
299,891,97.24,427.72,833.37,1623.5,1.434872866,#VALUE!
40,1046,93.87,567.08,1073.47,2300.59,1.614865809,#VALUE!
30,783,95.23,918.78,1225.04,1839.38,0.7514856658,#VALUE!
290,1267,64.12,486.98,956.41,1983.25,1.564465031,#VALUE!
50,2006,95.6,292.84,547.85,1001.67,1.293839555,#VALUE!
80,1001,97.18,346.49,692.99,1242.41,1.292832508,#VALUE!
90,1109,96.77,531.97,763.63,1069.97,0.7045296806,#VALUE!
70,1466,69.04,547.85,705.25,975.64,0.6065792272,#VALUE!
120,1260,96.21,615.99,890.37,1324.73,0.7960061547,#VALUE!
170,1407,95.08,347.27,684.82,1219.56,1.273750767,#VALUE!
110,1593,95.74,427.72,785.23,1416.19,1.258828623,#VALUE!
140,1281,95.47,486.98,966.98,1886.2,1.446999938,#VALUE!
