Wall time,Step,Value
1725636832.7052243,0,6.319777965545654
1725636908.2982488,1,4.65087890625
1725636966.6686375,2,3.3812665939331055
1725637024.9034064,3,2.6772854328155518
1725637083.8843627,4,2.566532850265503
1725637142.9924443,5,2.3837480545043945
1725637201.3803813,6,2.164043664932251
1725637260.4076412,7,2.0990099906921387
1725637320.5368369,8,2.0741865634918213
1725637381.9285111,9,1.9492086172103882
1725637440.894634,10,1.9628819227218628
1725637502.2266965,11,1.9117333889007568
1725637560.8795226,12,1.8004409074783325
1725637619.10632,13,1.8811405897140503
1725637679.4812632,14,1.8203097581863403
1725637738.2245975,15,1.7653032541275024
1725637796.7978282,16,1.6799372434616089
1725637857.3622174,17,1.669046401977539
1725637916.7922332,18,1.7427394390106201
1725637975.1122222,19,1.6719027757644653
1725638033.7135038,20,1.6916545629501343
1725638091.9631567,21,1.648527979850769
1725638150.7152681,22,1.63572096824646
1725638209.3004346,23,1.6290557384490967
1725638268.1149955,24,1.5512075424194336
1725638326.485432,25,1.5060172080993652
1725638385.2872663,26,1.4473906755447388
1725638444.6162322,27,1.5200660228729248
1725638502.9652789,28,1.5257526636123657
1725638561.5676632,29,1.4564790725708008
1725638620.4038346,30,1.4987198114395142
1725638678.9242883,31,1.5577027797698975
1725638737.6679873,32,1.4742286205291748
1725638795.9299989,33,1.4330840110778809
1725638854.7116258,34,1.4230337142944336
1725638913.0117228,35,1.4350947141647339
1725638971.4715633,36,1.4531053304672241
1725639030.5369647,37,1.4509273767471313
1725639090.8217037,38,1.4522581100463867
1725639149.1421466,39,1.4123057126998901
1725639208.188153,40,1.42682945728302
1725639266.5680559,41,1.4266897439956665
1725639325.6737022,42,1.3883463144302368
1725639384.1369445,43,1.4408830404281616
1725639443.2508028,44,1.3797396421432495
1725639502.0862894,45,1.3922154903411865
1725639560.4745533,46,1.390999674797058
1725639619.247932,47,1.3535349369049072
1725639677.5896873,48,1.3579654693603516
1725639736.407386,49,1.3157788515090942
1725639796.576812,50,1.3315651416778564
1725639854.9678948,51,1.3645434379577637
1725639913.3599265,52,1.3390623331069946
1725639972.1544871,53,1.3240103721618652
1725640031.3196144,54,1.3370392322540283
1725640089.7005184,55,1.3779573440551758
1725640148.2820926,56,1.3961460590362549
1725640207.2045696,57,1.3695112466812134
1725640265.6575992,58,1.2984353303909302
1725640323.8588655,59,1.3070182800292969
1725640383.21663,60,1.2496424913406372
1725640441.8073268,61,1.3118762969970703
1725640500.192912,62,1.2823866605758667
1725640559.1283505,63,1.2743167877197266
1725640617.9057946,64,1.334464192390442
1725640676.2971666,65,1.2927616834640503
1725640734.8995254,66,1.3093006610870361
1725640793.7149634,67,1.2873677015304565
1725640852.052333,68,1.2949767112731934
1725640910.4322133,69,1.2766954898834229
1725640969.2315388,70,1.254520297050476
1725641027.6253521,71,1.2232621908187866
1725641085.972147,72,1.2982456684112549
1725641144.799971,73,1.2691270112991333
1725641204.737543,74,1.250666856765747
1725641263.3194053,75,1.2344858646392822
1725641321.5399806,76,1.207719087600708
1725641380.6347027,77,1.1975833177566528
1725641439.0149558,78,1.2857940196990967
1725641497.4652615,79,1.243541955947876
1725641556.420922,80,1.1613662242889404
1725641614.8109798,81,1.2768781185150146
1725641673.2260659,82,1.2589212656021118
1725641731.9336333,83,1.2545942068099976
1725641790.6695213,84,1.2740155458450317
1725641849.1541622,85,1.1400197744369507
1725641907.5127833,86,1.1742907762527466
1725641966.3064673,87,1.185676097869873
1725642024.696733,88,1.1682230234146118
1725642082.988891,89,1.182661533355713
1725642142.6588342,90,1.2844513654708862
1725642201.2401087,91,1.2086676359176636
1725642259.810876,92,1.242302417755127
1725642319.622582,93,1.2088173627853394
1725642379.3225398,94,1.1382148265838623
1725642438.164725,95,1.1628713607788086
1725642498.1274054,96,1.2000130414962769
1725642556.7204447,97,1.2068136930465698
1725642615.2894142,98,1.1897257566452026
1725642673.681472,99,1.1692289113998413
