                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3241,                 3.8397,                 1.3281,                0.94582,                0.91479,                0.47738,                0.63917,                0.37379,                0.66556,                0.35263,                0.43047,                0.16355,                 1.8169,                 3.7569,                 0.7899,                0.88884,              0.0006654,              0.0006654,              0.0006654
                      2,                 1.9828,                  3.418,                0.86666,                0.87907,                0.92456,                0.48658,                0.64361,                0.40658,                0.69739,                0.37144,                0.44825,                0.17248,                 1.6547,                 3.2957,                0.75415,                0.87191,              0.0013255,              0.0013255,              0.0013255
                      3,                 1.9155,                 3.3162,                0.82222,                0.87014,                0.93308,                 0.4903,                0.64739,                0.41961,                0.73075,                0.38777,                0.47724,                0.19028,                 1.6313,                 3.3012,                0.74246,                0.86842,              0.0019789,              0.0019789,              0.0019789
                      4,                 1.8365,                 3.2382,                0.79215,                0.86366,                0.93709,                0.49442,                0.65287,                0.42945,                0.73794,                 0.3938,                  0.484,                0.19487,                 1.5661,                 3.1953,                0.72255,                0.86132,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.7806,                 3.1604,                0.76001,                0.85729,                 0.9349,                0.49428,                0.65368,                 0.4022,                 0.6639,                0.35616,                0.42641,                0.15503,                 1.7275,                 3.4194,                0.74177,                0.86509,              0.0019604,              0.0019604,              0.0019604
                      6,                 1.7387,                 3.1232,                0.74239,                0.85424,                0.94858,                0.49966,                0.65664,                0.44856,                0.74866,                0.39766,                0.48439,                0.19487,                 1.4726,                 3.0795,                0.70111,                 0.8572,              0.0019505,              0.0019505,              0.0019505
                      7,                 1.7369,                 3.1264,                0.75002,                0.85418,                0.94208,                0.49899,                0.65853,                0.42963,                0.70882,                 0.3815,                0.45926,                0.17445,                 1.5686,                 3.1303,                0.70726,                0.85872,              0.0019406,              0.0019406,              0.0019406
                      8,                 1.6876,                  3.073,                0.72285,                0.84856,                0.95527,                0.49811,                0.65809,                0.44429,                0.75797,                0.39713,                0.48947,                0.19691,                 1.4858,                  3.118,                 0.6695,                0.85355,              0.0019307,              0.0019307,              0.0019307
                      9,                 1.6348,                 3.0244,                0.70524,                0.84654,                0.95222,                 0.5029,                0.66179,                0.45951,                0.75373,                0.40164,                0.49094,                0.19522,                  1.431,                 3.0219,                0.68103,                0.85196,              0.0019208,              0.0019208,              0.0019208
                     10,                 1.6487,                 3.0238,                0.71088,                0.84694,                0.96074,                0.50398,                0.66656,                0.47027,                0.77597,                0.40962,                0.51057,                0.21128,                  1.397,                  2.994,                0.67229,                0.84857,              0.0019109,              0.0019109,              0.0019109
