                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1026,                 1.1794,                0.68415,                0.86456,                0.98235,                0.81355,                0.85517,                0.56827,                0.90499,                0.74772,                0.79134,                0.38618,                 1.2191,                0.95264,                0.54935,                0.84969,              0.0033275,              0.0033275,              0.0033275
                      2,                  1.117,                0.92041,                0.53288,                0.83626,                 0.9914,                0.82304,                0.87156,                 0.6744,                0.91629,                0.75833,                0.81563,                 0.4411,                0.90642,                0.67849,                0.51907,                0.82607,              0.0066388,              0.0066388,              0.0066388
                      3,                  1.207,                 0.8935,                0.58821,                0.84379,                0.98815,                0.81928,                0.87527,                0.57636,                0.91794,                0.75985,                0.81797,                0.42326,                 1.0956,                0.73343,                0.52605,                0.84358,              0.0099282,              0.0099282,              0.0099282
                      4,                 1.1789,                  0.852,                0.56729,                0.83563,                0.99165,                0.82466,                  0.892,                0.70448,                0.96456,                0.80256,                0.87524,                0.59673,                0.72379,                0.64536,                0.46344,                0.80515,               0.009901,               0.009901,               0.009901
                      5,                 1.0835,                0.79865,                0.51281,                0.82682,                0.99253,                0.82487,                0.89277,                0.69453,                0.91581,                0.75848,                0.83526,                0.44551,                0.92627,                0.75264,                 0.4653,                0.81765,               0.009868,               0.009868,               0.009868
                      6,                 1.0187,                   0.77,                0.48523,                0.81922,                0.99477,                0.82692,                0.90077,                0.72953,                0.92015,                0.76441,                0.85206,                0.49059,                0.76618,                0.71189,                0.43542,                0.80542,               0.009835,               0.009835,               0.009835
                      7,                0.98281,                0.75333,                0.46605,                0.81373,                0.99474,                0.82715,                0.90579,                0.71028,                0.92289,                0.76665,                0.85891,                0.47911,                0.86186,                0.67873,                0.44142,                0.81203,               0.009802,               0.009802,               0.009802
                      8,                0.94018,                0.74003,                0.45105,                0.81042,                 0.9956,                0.82827,                0.86493,                0.73898,                0.92633,                0.76973,                0.81362,                0.46203,                0.58702,                  0.661,                0.37954,                0.79819,               0.009769,               0.009769,               0.009769
                      9,                0.91452,                0.72466,                0.44119,                 0.8081,                0.99568,                0.82812,                0.90345,                0.77063,                0.91477,                0.76031,                0.84871,                0.47286,                0.63914,                0.65672,                0.39973,                0.79684,               0.009736,               0.009736,               0.009736
                     10,                 0.9005,                0.71709,                0.43253,                0.80483,                0.99545,                 0.8282,                 0.9074,                0.80354,                 0.9286,                0.77251,                0.86292,                0.52527,                0.50109,                0.62641,                0.35107,                0.79186,               0.009703,               0.009703,               0.009703
                     11,                0.89075,                0.71796,                0.42296,                0.80473,                0.99542,                0.82816,                0.90112,                0.76812,                0.93135,                0.77347,                0.85571,                0.49603,                0.59748,                0.67635,                0.37397,                0.79339,                0.00967,                0.00967,                0.00967
                     12,                 0.8678,                0.70649,                0.42202,                0.80304,                0.99528,                0.82833,                0.90964,                0.74597,                0.92615,                0.77094,                0.86307,                0.49383,                0.74172,                0.65497,                 0.4016,                0.80139,               0.009637,               0.009637,               0.009637
                     13,                0.86398,                0.69773,                0.41411,                0.80158,                0.99438,                0.82765,                0.90921,                0.73999,                0.92102,                0.76662,                0.85716,                0.49059,                0.77333,                0.67054,                0.40572,                0.79763,               0.009604,               0.009604,               0.009604
                     14,                0.84755,                0.69593,                0.41217,                0.79955,                0.99538,                0.82918,                0.90471,                0.78116,                0.93311,                0.77587,                0.86074,                0.50165,                0.63676,                0.62341,                0.37279,                0.79629,               0.009571,               0.009571,               0.009571
                     15,                0.83338,                0.69039,                0.40673,                0.79936,                0.99464,                 0.8282,                0.90979,                0.72572,                0.91798,                0.76452,                0.85728,                0.47769,                0.78469,                0.67157,                0.40994,                0.79955,               0.009538,               0.009538,               0.009538
                     16,                0.83045,                0.68656,                0.40437,                0.79847,                0.99498,                0.82885,                0.91022,                  0.788,                0.92951,                0.77431,                0.86844,                0.54138,                0.58292,                0.61049,                0.36891,                0.79006,               0.009505,               0.009505,               0.009505
                     17,                0.83112,                0.69013,                0.40062,                0.79707,                0.99583,                0.82861,                0.90518,                0.76704,                0.92193,                0.76712,                0.85245,                0.47883,                0.66199,                0.67591,                0.36378,                0.79655,               0.009472,               0.009472,               0.009472
                     18,                0.81941,                0.67691,                0.40298,                0.79631,                0.99573,                0.82949,                0.90963,                0.78065,                0.93472,                0.77884,                0.87076,                0.53898,                0.62398,                 0.6425,                 0.3725,                0.79164,               0.009439,               0.009439,               0.009439
                     19,                0.81261,                0.67887,                0.39488,                  0.795,                 0.9949,                0.82871,                0.91142,                0.75292,                0.92177,                0.76805,                0.86314,                0.48747,                0.74172,                0.66262,                0.37994,                0.80091,               0.009406,               0.009406,               0.009406
                     20,                0.79867,                 0.6761,                0.39075,                  0.796,                0.99551,                0.82964,                0.91127,                 0.7651,                0.92084,                0.76715,                0.86077,                 0.5052,                0.70074,                0.66363,                0.38402,                0.79633,               0.009373,               0.009373,               0.009373
                     21,                0.78897,                0.66395,                0.38827,                0.79454,                0.99551,                0.82884,                0.91043,                0.78995,                 0.9177,                0.76405,                0.85783,                0.50313,                0.57059,                0.63497,                0.35026,                 0.7894,                0.00934,                0.00934,                0.00934
                     22,                0.79029,                0.66461,                0.38783,                0.79484,                0.99548,                0.82891,                0.91142,                0.73718,                0.91552,                0.76238,                0.85191,                0.47027,                0.77429,                0.66528,                0.39159,                0.80075,               0.009307,               0.009307,               0.009307
