                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99376,                 1.0513,                0.57716,                0.83737,                 0.9851,                0.82129,                0.88085,                0.68318,                0.91354,                0.75903,                0.82011,                0.42852,                0.85293,                 1.0053,                0.45494,                0.81079,             0.00066549,             0.00066549,             0.00066549
                      2,                0.87516,                0.82416,                0.43412,                0.80807,                 0.9923,                0.82529,                0.89131,                 0.7524,                0.93243,                0.77511,                0.85148,                 0.5143,                0.65266,                0.66139,                0.38838,                0.79618,               0.001319,               0.001319,               0.001319
                      3,                0.86117,                0.79112,                0.42653,                0.80431,                0.99517,                0.82742,                0.88706,                0.77081,                0.93116,                 0.7736,                0.84177,                0.50191,                0.58624,                0.66854,                0.37493,                0.79035,              0.0019592,              0.0019592,              0.0019592
                      4,                0.86163,                0.79263,                0.42387,                0.80198,                0.99547,                0.82668,                0.89164,                 0.7744,                0.93833,                0.77785,                0.85167,                 0.5153,                0.55028,                0.68395,                0.36669,                0.79216,              0.0019406,              0.0019406,              0.0019406
                      5,                0.81829,                0.74758,                 0.4085,                0.79864,                0.99398,                 0.8267,                0.88451,                0.77039,                0.92325,                0.76773,                 0.8344,                0.47296,                0.55725,                0.65129,                0.35449,                0.78929,              0.0019208,              0.0019208,              0.0019208
                      6,                0.79137,                0.74573,                0.40015,                0.79686,                0.99503,                0.82708,                0.89193,                0.75502,                 0.9251,                0.76802,                 0.8329,                0.45843,                0.63261,                0.66189,                0.37265,                0.79024,               0.001901,               0.001901,               0.001901
                      7,                0.79686,                0.73484,                0.40106,                0.79507,                0.99423,                0.82702,                0.89866,                 0.7373,                0.91951,                0.76587,                0.83681,                0.47643,                0.65819,                0.68996,                0.37828,                 0.7911,              0.0018812,              0.0018812,              0.0018812
                      8,                0.77653,                0.72287,                0.39049,                0.79428,                0.99646,                0.82652,                0.88228,                0.78776,                0.92745,                0.77152,                0.83142,                0.48702,                0.46921,                0.63783,                0.31832,                0.78463,              0.0018614,              0.0018614,              0.0018614
                      9,                0.76802,                0.71807,                0.38209,                0.79314,                0.99529,                0.82875,                0.90246,                 0.7591,                0.92339,                 0.7684,                0.85468,                0.49204,                0.67446,                0.72379,                0.36629,                0.79386,              0.0018416,              0.0018416,              0.0018416
                     10,                0.78238,                0.71993,                 0.3865,                0.79386,                0.99591,                0.82854,                0.91063,                0.80651,                0.93196,                0.77495,                0.86479,                0.50294,                 0.5163,                0.62567,                0.34222,                0.78604,              0.0018218,              0.0018218,              0.0018218
