                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2647,                 2.2203,                0.68529,                0.87316,                 0.9393,                0.77951,                  0.869,                0.59106,                0.78949,                0.65712,                0.69665,                0.29687,                0.96593,                 2.0067,                 0.4862,                0.81986,             0.00066481,             0.00066481,             0.00066481
                      2,                 1.0784,                 1.8728,                0.48996,                0.82944,                0.94562,                0.80795,                0.88609,                0.62695,                0.82014,                0.69723,                0.75921,                0.35715,                0.96878,                 1.9578,                0.50476,                0.82022,              0.0013051,              0.0013051,              0.0013051
                      3,                 1.0651,                 1.8126,                0.48763,                0.82456,                0.94001,                0.81276,                0.88131,                0.67669,                 0.8145,                0.69886,                0.75686,                0.35496,                0.79222,                 1.8983,                0.45291,                0.81095,               0.001919,               0.001919,               0.001919
                      4,                 1.0288,                 1.7787,                0.46912,                0.82113,                 0.9309,                 0.8247,                0.89779,                0.65496,                0.77446,                 0.6855,                0.73939,                0.33038,                0.88015,                 1.8722,                0.45367,                0.81375,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.0024,                 1.7253,                0.45833,                0.81863,                0.94913,                0.82015,                0.88583,                0.66116,                 0.8078,                0.70049,                0.74583,                0.34239,                 0.8426,                 1.7835,                0.45115,                   0.81,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.0048,                 1.7142,                0.45544,                0.81653,                0.94703,                0.81163,                0.89492,                0.62868,                0.75956,                0.68445,                 0.7325,                0.32948,                0.95864,                 1.8619,                0.46608,                0.81331,               0.001802,               0.001802,               0.001802
                      7,                0.97089,                 1.6722,                0.44027,                0.81563,                 0.9426,                0.82999,                0.90191,                0.61494,                0.78129,                0.69922,                0.74622,                0.33529,                 1.1037,                 1.8744,                0.54173,                 0.8201,              0.0017624,              0.0017624,              0.0017624
                      8,                 0.9795,                 1.6668,                0.44384,                0.81563,                0.95167,                0.82675,                0.89734,                0.59595,                0.76479,                0.68004,                0.71137,                0.30067,                 1.0839,                 1.7008,                0.51226,                0.81946,              0.0017228,              0.0017228,              0.0017228
                      9,                0.95813,                 1.6907,                0.43664,                0.81408,                0.95218,                0.84189,                0.90669,                0.70616,                0.81247,                0.71893,                0.76815,                0.36307,                0.73277,                 1.7119,                0.40957,                0.80369,              0.0016832,              0.0016832,              0.0016832
                     10,                0.96213,                 1.6671,                0.43752,                0.81173,                0.94734,                 0.8325,                 0.9061,                    0.7,                0.77498,                0.68055,                0.74345,                0.34476,                0.73895,                 1.7181,                0.40106,                0.80404,              0.0016436,              0.0016436,              0.0016436
                     11,                0.93491,                 1.6401,                0.42593,                0.81094,                0.93989,                 0.8298,                0.89738,                0.62021,                0.75204,                0.67868,                0.72105,                0.32393,                 1.0438,                 1.7602,                0.46998,                  0.815,               0.001604,               0.001604,               0.001604
                     12,                0.90743,                 1.6092,                0.41438,                0.81076,                0.95358,                0.83898,                0.90779,                0.70843,                0.80536,                0.70891,                0.76379,                0.36578,                0.73379,                 1.7064,                0.40572,                0.80455,              0.0015644,              0.0015644,              0.0015644
                     13,                0.92775,                 1.6107,                0.41766,                0.80962,                 0.9518,                0.83763,                0.90597,                0.64119,                0.79576,                0.70044,                0.75453,                 0.3503,                0.99525,                 1.7799,                0.46359,                0.81205,              0.0015248,              0.0015248,              0.0015248
                     14,                0.91802,                 1.5982,                 0.4157,                0.80933,                0.96579,                0.84102,                0.91238,                 0.7277,                0.83949,                0.72909,                0.79387,                  0.408,                0.69885,                 1.7074,                 0.4097,                0.80283,              0.0014852,              0.0014852,              0.0014852
                     15,                0.89776,                 1.5871,                0.40936,                0.80738,                0.95334,                0.83855,                0.90439,                0.66209,                 0.8035,                0.70833,                 0.7585,                0.36197,                0.82762,                 1.7863,                0.45249,                0.80559,              0.0014456,              0.0014456,              0.0014456
                     16,                0.90561,                 1.5898,                0.41145,                0.80836,                  0.957,                0.84157,                0.91025,                0.65908,                0.79599,                 0.7028,                0.76182,                0.36237,                0.97942,                 1.7521,                0.47871,                0.81451,               0.001406,               0.001406,               0.001406
                     17,                 0.8941,                  1.573,                0.40855,                0.80688,                0.94787,                0.83967,                0.91017,                0.67447,                0.79261,                0.71026,                 0.7648,                0.36488,                0.84634,                 1.7339,                0.44123,                0.80602,              0.0013664,              0.0013664,              0.0013664
