                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.50014,                0.66485,                0.99501,                0.95303,                0.96241,                      1,                0.99482,                0.75033,                0.96241,                      1,                0.99482,                0.90579,                0.76685,                0.40092,                 1.0961,                 1.3089,             0.00066216,             0.00066216,             0.00066216
                      2,                0.57949,                0.32186,                0.63183,                0.97001,                0.67543,                0.87037,                0.74311,                0.56101,                0.58796,                0.75926,                0.57718,                0.27836,                0.81037,                 12.441,                 1.0213,                 1.1824,              0.0013025,              0.0013025,              0.0013025
                      3,                0.62458,                0.35566,                0.62894,                0.99436,                0.96432,                      1,                0.99282,                0.80627,                0.96432,                      1,                0.99282,                0.88006,                  0.691,                0.53044,                 0.8114,                  1.129,              0.0019165,              0.0019165,              0.0019165
                      4,                0.58989,                0.36514,                0.54153,                0.97392,                0.98058,                0.93498,                0.98468,                0.85684,                0.98058,                0.93498,                0.98468,                0.96108,                0.54476,                0.21789,                0.50407,                0.98316,              0.0018812,              0.0018812,              0.0018812
                      5,                0.55812,                0.31811,                0.47795,                 0.9433,                0.94633,                      1,                0.98896,                0.86509,                0.94633,                      1,                0.98896,                0.96991,                0.52804,                0.24489,                0.47371,                0.98127,              0.0018416,              0.0018416,              0.0018416
                      6,                0.51972,                0.27387,                0.45411,                0.93854,                0.94605,                      1,                0.99092,                0.90394,                0.94605,                      1,                0.99092,                0.97886,                 0.4573,                0.17926,                 0.4415,                0.95688,               0.001802,               0.001802,               0.001802
                      7,                0.48859,                0.24166,                 0.4058,                0.92093,                0.99442,                      1,                  0.995,                0.90964,                0.99442,                      1,                  0.995,                0.99187,                0.47192,                0.19991,                0.40456,                0.95255,              0.0017624,              0.0017624,              0.0017624
                      8,                0.46834,                0.25164,                0.40169,                0.91634,                0.99864,                      1,                  0.995,                0.89297,                0.99864,                      1,                  0.995,                0.99329,                0.45856,                0.17954,                 0.3574,                0.92648,              0.0017228,              0.0017228,              0.0017228
                      9,                0.44836,                0.24813,                0.39848,                0.91351,                 0.9976,                      1,                  0.995,                 0.9226,                 0.9976,                      1,                  0.995,                0.99334,                0.39848,                0.16202,                0.36391,                0.88488,              0.0016832,              0.0016832,              0.0016832
                     10,                0.43412,                0.24022,                0.39638,                0.90878,                0.99719,                      1,                  0.995,                0.94659,                0.99719,                      1,                  0.995,                0.99297,                0.35845,                0.15055,                0.29971,                0.87149,              0.0016436,              0.0016436,              0.0016436
